 	je	n'	ai	jamais	foulé	le	sol	de	ngaé	</S>
n	0.721929	0.10009	0.0455211	0.0268641	0.0650136	0.0176227	0.0135684	0.00888422	0.000345647	0.000161152
g	0.977212	0.00395171	0.00447242	0.00378204	0.00175959	0.00331326	0.00334139	0.00141248	0.000713457	4.18716e-05
á	0.956091	0.0151104	0.0109712	0.00495026	0.000758827	0.00191244	0.00346637	0.000860162	0.00579592	8.28962e-05
i	0.172131	0.209097	0.243527	0.089731	0.00374795	0.0403155	0.00927253	0.0285372	0.0202186	0.183422
s	0.00935735	0.478716	0.237864	0.0879361	0.0492742	0.0307413	0.00666601	0.00361143	0.00701815	0.0888149
á	0.0809633	0.390179	0.340317	0.0289095	0.0035874	0.00772527	0.00427082	0.00571638	0.0513318	0.0870001
a	0.0195852	0.118613	0.313415	0.261262	0.0108027	0.0864954	0.0222709	0.0255046	0.00925013	0.1328
o	0.00820296	0.0718419	0.223352	0.386885	0.125937	0.109445	0.0337026	0.012053	0.00451042	0.0240703
k	8.97369e-05	0.0291914	0.0455736	0.302566	0.180282	0.0958549	0.326202	0.00432842	0.00209487	0.0138171
a	8.46448e-06	0.00556839	0.0201914	0.261683	0.449102	0.0885789	0.158041	0.00371425	0.00151457	0.0115979
n	0.000117752	0.0153254	0.0269423	0.275234	0.143991	0.201211	0.31107	0.0119483	0.00301178	0.0111483
á	0.000367985	0.0129378	0.0267041	0.218736	0.192271	0.218989	0.277977	0.00736625	0.00159883	0.0430524
a	0.00253271	0.0089234	0.0300489	0.0333257	0.0398815	0.341023	0.219209	0.295288	0.0135849	0.0161842
t	0.000775525	0.00586297	0.0199305	0.0373479	0.0828695	0.357789	0.228558	0.13851	0.0582755	0.0700815
á	5.3287e-05	0.00223757	0.00966181	0.0402699	0.163822	0.257589	0.45956	0.0243966	0.00652968	0.0358808
m	0.00042748	0.00661579	0.00972498	0.0118152	0.0333893	0.26773	0.132924	0.0775714	0.0227307	0.43707
b	0.00031861	0.00094841	0.000827748	0.00140039	0.00056558	0.055623	0.107871	0.622303	0.119711	0.0904315
í	0.00202942	0.00265284	0.00598432	0.0224087	0.00293363	0.172617	0.261818	0.11401	0.180342	0.235204
ó	0.000445453	0.00285698	0.0075012	0.016456	0.0123272	0.21362	0.0527481	0.321058	0.0982264	0.274761
n	0.000358558	0.00862664	0.0285407	0.0179747	0.00652958	0.0807148	0.00804196	0.160406	0.488716	0.200091
g	0.00771172	0.00166863	0.00309207	0.00624609	0.000227846	0.0178376	0.016571	0.116221	0.717648	0.112775
a	0.000513477	0.000138347	0.000799318	0.00309916	0.00052683	0.0218109	0.0740665	0.0459529	0.826565	0.0265273
é	1.38136e-05	0.000111716	0.000254514	0.00160692	0.000273715	0.0616722	0.111884	0.126117	0.346998	0.351069
k	0.000129037	0.00255456	0.00756798	0.0139437	0.00358216	0.0725697	0.0121892	0.197815	0.153673	0.535976
a	0.000175345	0.00505659	0.0218374	0.0399064	0.132354	0.27481	0.0115696	0.15054	0.206812	0.156939
á	0.000162228	0.000543572	0.00254691	0.0018864	0.00630838	0.0420518	0.00269522	0.0351915	0.118509	0.790105
</S>	0.00131768	0.00387008	0.0096231	0.00657097	0.00197107	0.0189055	0.00189751	0.0674099	0.138075	0.75036
