 	cette	savane	a	été	brûlée	</S>
o	0.525657	0.416992	0.0497407	0.006385	0.000782785	0.000442358
l	0.0241337	0.954648	0.0117563	0.00411972	0.00364254	0.0016997
ω	0.00704205	0.984201	0.000912709	0.00101933	0.00386207	0.00296332
n	0.0162279	0.954772	0.0102671	0.00569419	0.00765825	0.00538048
g	0.0928102	0.741547	0.0442701	0.00711004	0.0207276	0.0935349
ω	0.331419	0.558874	0.0420254	0.00602048	0.00358506	0.0580758
m	0.211553	0.0255475	0.63693	0.0911164	0.0126052	0.0222481
ú	0.835535	0.00137215	0.0889607	0.0425377	0.0145968	0.0169979
ó	0.161557	0.00121273	0.258358	0.402827	0.0891677	0.086878
m	0.0626743	0.0029377	0.173632	0.291867	0.333795	0.135094
i	0.0583163	0.000315256	0.111971	0.227078	0.334571	0.267749
b	0.00330963	0.000251585	0.0125364	0.129701	0.469931	0.38427
o	0.00260403	0.000555859	0.0292326	0.215618	0.53295	0.219039
n	0.0047485	0.00144304	0.0151304	0.0375135	0.292467	0.648698
g	0.033871	0.00837704	0.0439278	0.0792623	0.347786	0.486776
a	0.238908	0.112713	0.125088	0.0667213	0.237129	0.219441
</S>	0.0512271	0.00673501	0.145507	0.187497	0.228494	0.38054
