 	maman	a	mis	le	manioc	dans	un	panier	pour	faire	couler	l'	eau	</S>
m	0.966341	0.00447262	0.00395862	0.00661108	0.0029042	0.00235444	0.00263601	0.00255455	0.00195564	0.00175651	0.00194378	0.00104106	0.00132348	0.000147277
a	0.634865	0.258946	0.0164709	0.0668256	0.000243662	0.0100558	0.00275791	0.00124271	0.00299554	0.000676996	0.000219285	0.0030593	0.000103297	0.00153784
á	0.0367772	0.392782	0.381897	0.103642	0.0158374	0.00168153	0.0201972	0.0141937	0.00238192	0.00945018	0.0131823	0.00146334	0.0012116	0.00530295
á	0.0380086	0.565775	0.106586	0.0568374	0.0110865	0.0114568	0.00954931	0.0100225	0.0143125	0.0102594	0.00599878	0.00685992	0.00804879	0.145199
k	0.000971775	0.123047	0.752236	0.064187	0.022362	0.0053862	0.00530933	0.00268312	0.00221984	0.00449624	0.00859054	0.00207753	0.000656281	0.00577723
a	1.14285e-05	0.0324133	0.774714	0.0646312	0.0842851	0.00984296	0.0087524	0.00322546	0.00292375	0.00579211	0.00505526	0.00145292	0.000678451	0.00622166
n	4.29936e-05	0.0423563	0.64735	0.0652614	0.213468	0.00542172	0.0052326	0.00345007	0.00126168	0.00227716	0.00842392	0.000375787	0.000175375	0.00490297
i	0.000342358	0.0702968	0.55789	0.163528	0.0883295	0.0391676	0.0147883	0.00819312	0.00609446	0.0086013	0.00826917	0.00392187	0.00185616	0.0287217
i	0.000758127	0.173384	0.071836	0.240371	0.109895	0.271197	0.0533944	0.0283602	0.0194187	0.00870895	0.00502471	0.00724287	0.00343672	0.00697292
k	0.000228317	0.0235964	0.0883207	0.137841	0.156434	0.077837	0.288009	0.112438	0.0255813	0.0273613	0.0381908	0.00364463	0.00921564	0.0113017
ώ	7.14911e-07	0.00116659	0.0261691	0.0367862	0.816981	0.00916076	0.0416749	0.0183209	0.0040892	0.0123775	0.0279276	0.000722188	0.00141055	0.00321245
ώ	3.51225e-06	0.00191397	0.0326832	0.0392396	0.677152	0.0149216	0.038777	0.0232115	0.0128347	0.0211317	0.0922285	0.00488133	0.00652172	0.0345
s	2.02495e-06	0.00620927	0.0111908	0.0369572	0.0361851	0.555721	0.131819	0.0780691	0.0836573	0.0317665	0.00819322	0.0164113	0.00143766	0.00238096
á	1.13205e-06	0.00150943	0.0066892	0.0224702	0.00600952	0.0924085	0.301862	0.188247	0.0862912	0.106772	0.0446496	0.0264246	0.0219137	0.0947516
e	0.000145257	0.00280822	0.000748115	0.00725914	0.00103115	0.10787	0.270343	0.275118	0.137819	0.0714502	0.0485734	0.0216216	0.046448	0.00876438
t	1.56441e-05	0.00131209	0.0022573	0.00465375	0.0220864	0.0110984	0.179419	0.251726	0.07246	0.133665	0.290541	0.00540076	0.0174588	0.00790581
a	7.47195e-06	0.000528355	0.00235022	0.00711353	0.0179194	0.00326596	0.11875	0.236384	0.0365108	0.241719	0.295792	0.00446782	0.0125625	0.0226301
n	1.41223e-06	0.000351727	0.00285251	0.00510424	0.00847993	0.0109514	0.0953508	0.12037	0.0549136	0.242037	0.365734	0.00686094	0.00589386	0.0810984
g	1.31605e-06	0.00116639	0.0101012	0.0114922	0.00673959	0.0227451	0.160553	0.173404	0.100903	0.18577	0.262518	0.0140095	0.00808266	0.0425144
í	8.02377e-06	0.00132968	0.00588836	0.0132843	0.00186975	0.0345694	0.0876157	0.166913	0.0979624	0.0897584	0.427543	0.0258502	0.00732643	0.0400814
m	1.33191e-06	0.000937652	0.00235227	0.00293403	0.00151071	0.0293597	0.0157622	0.0236499	0.135007	0.117892	0.141501	0.414168	0.0324682	0.0824549
