 	cette	termitière	n'	a	pas	de	joints	récents	</S>
o	0.355181	0.234583	0.183053	0.0728679	0.0722991	0.0443817	0.0218367	0.0071	0.0086979
s	0.123512	0.800261	0.0288695	0.00492261	0.00842875	0.0071883	0.014281	0.00761164	0.00492461
é	0.232008	0.740763	0.00836745	0.00103268	0.0031651	0.00386801	0.00406382	0.00109636	0.00563633
m	0.141102	0.665199	0.0129238	0.00306979	0.00327332	0.00824604	0.0169641	0.00907448	0.140147
b	0.401764	0.249258	0.192772	0.0372838	0.0239674	0.00959748	0.00232658	0.00239812	0.080632
á	0.35116	0.101889	0.0974513	0.0424666	0.0403328	0.0193464	0.00655599	0.0200317	0.320767
m	0.281049	0.109927	0.404503	0.114673	0.0299014	0.0216265	0.0140365	0.00124105	0.0230419
ú	0.611518	0.0361385	0.141156	0.116477	0.043079	0.0210651	0.00694097	0.00101214	0.0226131
o	0.178118	0.0564196	0.343692	0.262464	0.110555	0.0244871	0.00408951	0.00114947	0.0190256
d	0.0923886	0.0234987	0.185048	0.220673	0.204571	0.142124	0.0806115	0.0179759	0.0331081
í	0.0689407	0.0933089	0.0583466	0.0586285	0.045159	0.114494	0.0714483	0.0127441	0.47693
a	0.0476263	0.0101512	0.0971961	0.139732	0.152422	0.15564	0.10242	0.057269	0.237543
l	0.0045112	0.00498801	0.0417804	0.233611	0.122965	0.14895	0.20953	0.0659855	0.167679
ω	0.00310401	0.00556483	0.0197888	0.0725719	0.052883	0.113656	0.155093	0.0581203	0.519219
n	0.00271569	0.00364686	0.0192694	0.0351313	0.0423478	0.153393	0.237531	0.360395	0.145569
g	0.00691908	0.00438011	0.00742027	0.0268579	0.0328184	0.1701	0.408055	0.26584	0.0776097
ω	0.0067986	0.00601805	0.00449857	0.0129829	0.0197445	0.150248	0.372268	0.322321	0.10512
k	0.00056425	0.000235995	0.00688897	0.00947734	0.0274883	0.179301	0.286671	0.268131	0.221241
a	0.023137	0.00415819	0.0317902	0.037846	0.0916564	0.116859	0.0356979	0.246018	0.412837
á	0.00119604	0.00163849	0.0215474	0.0450158	0.086159	0.111141	0.0407977	0.171593	0.520912
</S>	0.0021578	0.0020398	0.0192864	0.0398721	0.0222698	0.0500206	0.0932309	0.136743	0.63438
