 	tous	les	habitants	d'	ongondza	se	sont	levés	pour	aller	accueillir	le	chef	</S>
o	0.420447	0.341299	0.0912239	0.0363785	0.0413754	0.0523105	0.00823537	0.000611726	0.00498786	0.000472867	0.000272438	0.00211799	0.000238925	2.94345e-05
n	0.194622	0.523293	0.0404824	0.0132062	0.0549337	0.00835235	0.0298691	0.0694373	0.00633244	0.029996	0.00367087	0.00426003	0.0145568	0.00698822
g	0.0279972	0.115037	0.0368941	0.0213947	0.764897	0.0030657	0.00679558	0.00134571	0.00510479	0.00809421	0.00227137	0.00216899	0.00351777	0.00141538
ó	0.0526983	0.213299	0.0114352	0.00837316	0.705089	0.000939175	0.00143137	0.00319747	0.000721956	0.000891765	0.000221904	0.000445111	0.00060441	0.00065199
n	0.0516998	0.145347	0.014955	0.0282504	0.751587	0.00153527	0.00224561	0.00163299	0.000438446	0.000448713	0.000123199	0.000213725	0.000459177	0.00106284
d	0.144739	0.239792	0.131194	0.0335883	0.0433136	0.0170556	0.0135363	0.0390643	0.0161893	0.0244004	0.0336034	0.00872212	0.0199564	0.234846
z	0.198909	0.136275	0.0768357	0.0973748	0.274717	0.0215007	0.00975386	0.0367753	0.00855834	0.00865523	0.00642382	0.00350034	0.00947909	0.111242
a	0.195348	0.109208	0.0897698	0.0658311	0.178492	0.0116633	0.0061902	0.0227101	0.00630869	0.0178078	0.0107529	0.00746073	0.0168572	0.261601
ó	0.112624	0.0763676	0.261159	0.275378	0.054212	0.094633	0.0879149	0.00805915	0.0144099	0.0017765	0.0041956	0.00265607	8.62996e-05	0.00652786
y	0.0390082	0.00943985	0.0134979	0.0223979	0.031226	0.0621573	0.446527	0.306819	0.0363709	0.00976057	0.00903363	0.00244217	0.000600256	0.0107194
u	0.0425321	0.00960817	0.0212423	0.0352652	0.07667	0.0420303	0.574642	0.136036	0.033515	0.00571907	0.00738813	0.00176387	0.000197485	0.0133907
b	0.0620696	0.0169452	0.0580074	0.126287	0.150785	0.0424042	0.232304	0.0588523	0.046034	0.0245578	0.0203094	0.00883198	0.00139699	0.151215
h	0.070263	0.0283207	0.0479911	0.118869	0.153938	0.155695	0.238158	0.0437709	0.106523	0.00745657	0.0131961	0.00963956	0.00150635	0.00467334
u	0.0622916	0.0313907	0.0902967	0.186946	0.312383	0.0550423	0.0438108	0.0847286	0.0443245	0.00265624	0.00877488	0.0173512	0.00655436	0.0534494
ó	0.0138926	0.004726	0.011902	0.10058	0.0753411	0.337853	0.160488	0.0177835	0.247435	0.0109488	0.00305971	0.0107459	0.000226306	0.00501799
t	0.00349261	0.00179406	0.00321749	0.00858472	0.00560505	0.0401167	0.107571	0.0897289	0.523201	0.174445	0.0335542	0.00449387	0.00143486	0.00276097
s	0.000512488	0.00106125	0.00147648	0.0042619	0.00263347	0.00422956	0.0307359	0.543814	0.258216	0.059397	0.0606309	0.00528937	0.0163453	0.0113961
ω	0.000634224	0.00210459	0.00711722	0.0283137	0.00705285	0.00860372	0.00645296	0.569423	0.25099	0.0211495	0.0185876	0.0161471	0.0106035	0.0528204
m	0.00308658	0.00315017	0.012083	0.061168	0.0214613	0.0750851	0.0370992	0.0841261	0.545208	0.0573374	0.0387921	0.0203505	0.00367152	0.0373808
í	0.00406058	0.00289154	0.024396	0.0566013	0.00713585	0.0293684	0.00340828	0.00346846	0.208515	0.40426	0.121316	0.0577773	0.000575125	0.0762271
d	0.00456771	0.00193538	0.00496157	0.0174097	0.00473631	0.0238404	0.00682632	0.00501811	0.243356	0.356183	0.151478	0.12615	0.0110224	0.0425151
z	0.00103375	0.000442722	0.00108905	0.00211309	0.00162217	0.00153181	0.00221883	0.00242008	0.134843	0.431027	0.356575	0.0109614	0.00197475	0.0521472
w	0.000551162	0.000142353	0.000864751	0.00168929	0.00118692	0.00127982	0.0020906	0.000948953	0.03859	0.700577	0.240023	0.00391269	0.00145811	0.00668538
a	0.00036797	0.000112413	0.00167976	0.00215448	0.00117607	0.00197944	0.00277595	0.000293939	0.0386337	0.820679	0.117071	0.00561092	0.000439517	0.00702514
o	0.000559628	0.000304018	0.00134379	0.00324942	0.00141306	0.00757903	0.00527481	0.0011955	0.118291	0.221413	0.3139	0.18525	0.0117894	0.128438
y	0.000693923	0.00117687	0.000826672	0.0008159	0.000188393	0.000478045	0.00247648	0.0265876	0.079604	0.227917	0.43765	0.0893893	0.1033	0.0288953
a	0.000489809	0.000741667	0.00123094	0.00321346	0.00316984	0.00060058	0.00438329	0.0103846	0.0443718	0.128471	0.679054	0.035798	0.0097174	0.078374
m	0.000390398	0.00034898	0.000836729	0.00172697	0.000754231	0.000820094	0.00256325	0.000823394	0.0299319	0.220391	0.466818	0.0512302	0.0193277	0.204037
b	0.00049591	0.000358704	0.00089485	0.00158159	0.00025506	0.00109195	0.00266845	0.000573712	0.0484999	0.188712	0.636486	0.0573929	0.0101184	0.0508704
á	0.0114073	0.0065947	0.0168255	0.0136799	0.00719529	0.00444122	0.00359726	0.00141292	0.0511979	0.118606	0.29585	0.0838744	0.120929	0.264388
