 	c'	est	donc	toi	l'	orateur	du	jour	à	l'	église	</S>
o	0.293147	0.207013	0.103876	0.0820856	0.0711705	0.0484479	0.0512061	0.102665	0.0238466	0.0124654	0.00301117	0.00106596
t	0.0398373	0.0819343	0.0534556	0.0316066	0.126823	0.223972	0.0802251	0.18039	0.126994	0.0109961	0.0113641	0.0324023
i	0.00436268	0.0384951	0.0161967	0.00225162	0.0794218	0.607324	0.0407863	0.148928	0.0323373	0.00868451	0.00617974	0.0150316
i	0.00631107	0.0866214	0.078201	0.0158157	0.21262	0.257861	0.0892427	0.151237	0.0659095	0.0178539	0.00517711	0.0131493
s	0.131683	0.123429	0.238737	0.116919	0.112183	0.0527105	0.0787048	0.0580831	0.0247789	0.0279475	0.0194303	0.0153947
á	0.0789618	0.0739963	0.0261056	0.0297059	0.0636823	0.0467332	0.140073	0.0900753	0.0871822	0.164015	0.110963	0.0885066
n	0.0196267	0.0182524	0.0423029	0.0283616	0.025127	0.0164892	0.0961977	0.0681614	0.0399197	0.19849	0.422103	0.0249681
d	0.00171842	0.00111413	0.000402946	0.00913063	0.00286817	0.00112839	0.0384338	0.00878557	0.0172677	0.163083	0.752487	0.00357997
é	0.00204917	0.00105777	0.0014303	0.0203481	0.00311916	0.00286433	0.0125135	0.00390452	0.00768565	0.0388269	0.890131	0.0160692
e	0.000531209	0.000361035	0.000359312	0.00178932	0.00504414	0.00730643	0.0293879	0.00950017	0.0239664	0.142934	0.741694	0.0371264
y	0.00370689	0.00463786	0.00940019	0.0206953	0.0616373	0.0429607	0.143077	0.111267	0.136897	0.260782	0.157698	0.0472413
á	0.0169054	0.00853448	0.00894045	0.0221832	0.057188	0.0317954	0.120685	0.0471536	0.120109	0.288066	0.183732	0.0947063
n	0.0126715	0.0110439	0.0239734	0.034671	0.0514054	0.0170168	0.0982154	0.060333	0.063117	0.337569	0.27126	0.0187229
z	0.000176737	0.000137378	0.000104696	0.00537921	0.00198582	0.00047624	0.0262099	0.00379972	0.0223538	0.208099	0.725501	0.00577646
a	0.000170871	0.000309755	0.000433612	0.0247144	0.00490018	0.0015803	0.0342751	0.00566201	0.0220276	0.199363	0.684077	0.0224864
m	0.000187313	0.0012821	0.00400114	0.0133395	0.0498428	0.0342514	0.15234	0.0721173	0.154288	0.284481	0.12712	0.10675
b	0.0221185	0.00476137	0.00220578	0.00413338	0.0140353	0.0142617	0.0562759	0.0227309	0.111727	0.226426	0.132324	0.389
é	0.0122209	0.0043097	0.00329754	0.0152947	0.0438608	0.0261517	0.0991568	0.0436756	0.188689	0.147044	0.0819286	0.334371
p	0.011204	0.00805317	0.0319115	0.0423003	0.0775084	0.0246168	0.0969183	0.0611616	0.142692	0.186367	0.059043	0.258223
á	0.0144642	0.0214833	0.00891265	0.012534	0.0177913	0.0231753	0.0732943	0.178402	0.116707	0.197327	0.143295	0.192613
b	0.00198786	0.0033865	0.00437327	0.00527936	0.00384731	0.00252745	0.0273614	0.0364741	0.065132	0.181227	0.0345992	0.633804
h	0.000201865	0.000384004	0.000209159	0.000610468	0.00111757	0.00300331	0.0144194	0.0579972	0.0731523	0.0547747	0.00640861	0.787721
a	0.00194475	0.00549689	0.00311305	0.00419507	0.00863951	0.0114524	0.0796971	0.211015	0.145765	0.237432	0.052205	0.239045
n	0.00127226	0.0025054	0.00510283	0.00780485	0.0230624	0.0111625	0.0920393	0.0703842	0.201668	0.26766	0.0514499	0.265888
d	0.00932764	0.00467515	0.0025356	0.0108013	0.0112281	0.00263163	0.0398168	0.00627538	0.0948724	0.192091	0.0745811	0.551164
z	0.00109323	0.000400024	0.000237246	0.00280993	0.00119799	0.000810086	0.00715598	0.00122199	0.0166731	0.0620451	0.263976	0.642379
á	0.000480499	0.000383493	0.000161689	0.00312339	0.0090075	0.0162698	0.0628028	0.00762757	0.0849038	0.15324	0.0731705	0.588829
á	0.000242726	0.000331911	0.000561357	0.00671125	0.0436023	0.0898778	0.111488	0.0801756	0.112312	0.0523624	0.00770944	0.494625
l	0.00726078	0.00576466	0.0192852	0.0278981	0.0243962	0.00636965	0.0449419	0.0364525	0.102319	0.281375	0.105723	0.338214
í	0.00223642	0.0021641	0.00202202	0.00134107	0.00302475	0.00323993	0.00817739	0.00440345	0.0263378	0.0275696	0.00437818	0.915105
n	0.00437094	0.00342511	0.00555764	0.00304621	0.00579484	0.00481402	0.0196904	0.0201636	0.0603113	0.154862	0.0176354	0.700328
ω	0.000759816	0.000945759	0.000785089	0.00925221	0.0030003	0.00114493	0.0146165	0.00243186	0.0340155	0.169472	0.0690692	0.694506
</S>	4.29118e-05	0.000294848	0.000354656	0.000280673	0.00107801	0.00159887	0.00840914	0.0048924	0.0315176	0.0304633	0.00476172	0.916306
