 	adosse-toi	à	l'	arbre	</S>
y	0.61953	0.335104	0.0425718	0.00254658	0.000247392
ε	0.678678	0.219574	0.0485847	0.00501913	0.048144
ε	0.568335	0.407253	0.00815545	0.00325892	0.0129979
m	0.115286	0.628574	0.182126	0.0166235	0.0573908
έ	0.0106583	0.681678	0.184111	0.0239993	0.0995533
m	0.0149855	0.349014	0.190356	0.321168	0.124476
ó	0.00933265	0.321967	0.21817	0.204138	0.246392
i	0.0417576	0.189448	0.25726	0.452006	0.0595282
b	0.0228755	0.0439876	0.0910149	0.687176	0.154946
v	0.00528279	0.0106733	0.0142679	0.946634	0.0231418
ú	0.00621266	0.0125079	0.0229229	0.922763	0.0355932
a	0.0152861	0.0112048	0.0725857	0.522065	0.378859
</S>	0.00413407	0.0120836	0.352447	0.168148	0.463187
