 	cet	homme	ne	trouve	pas	de	femme	parce	qu'	il	est	un	voleur	</S>
i	0.585148	0.181187	0.0279978	0.0202315	0.0575391	0.0859432	0.00670372	0.0137116	0.0143119	0.00136389	0.00036551	0.00477743	0.000574522	0.00014513
b	0.231144	0.392197	0.0524758	0.0518149	0.0331673	0.0109445	0.188992	0.0128333	0.00376159	0.00700104	0.0123021	0.000747568	0.00191302	0.000705687
a	0.0661418	0.658699	0.0182591	0.0503264	0.0137507	0.00427955	0.162124	0.0112942	0.00215939	0.00110555	0.00185054	0.000400943	0.00937785	0.000231597
a	0.0322748	0.741742	0.0298266	0.0492903	0.0488272	0.0106496	0.0361681	0.0325651	0.00382725	0.00192322	0.00299309	0.000887076	0.000808861	0.00821651
d	0.592301	0.112264	0.0552473	0.0217881	0.039999	0.0402448	0.0120511	0.0274386	0.0256743	0.018293	0.0128418	0.00491034	0.000189237	0.0367575
í	0.10733	0.0868133	0.0506612	0.0147697	0.0384798	0.0289667	0.00556074	0.0272005	0.013443	0.0424208	0.0269595	0.00538244	0.00294894	0.549064
í	0.0154289	0.104141	0.235984	0.0861591	0.0561923	0.0679017	0.0224878	0.0662656	0.0704	0.0577673	0.0432947	0.0326291	0.0070976	0.13425
m	0.0135228	0.0461055	0.421055	0.13384	0.063366	0.057147	0.0229596	0.030453	0.0299851	0.0588276	0.0861377	0.011419	0.00238137	0.0228001
i	0.00491344	0.0249212	0.0727721	0.0669559	0.036037	0.0210899	0.722593	0.0136552	0.00287147	0.00333435	0.00376914	0.00173201	0.0224485	0.00290691
t	0.0120532	0.0960698	0.185754	0.225683	0.0712569	0.0237625	0.313089	0.0123016	0.00227831	0.0060445	0.0273552	0.00264801	0.00652548	0.0151782
ú	0.00132662	0.0209101	0.0616733	0.670044	0.0458336	0.00678033	0.0562935	0.0401245	0.00507945	0.0204077	0.0387314	0.00107858	0.00285233	0.0288644
n	0.00388091	0.00748034	0.0442915	0.668862	0.0701951	0.0289878	0.0134051	0.0176937	0.0043678	0.00963246	0.0342494	0.00417048	0.00202851	0.0907547
g	0.0307874	0.0285702	0.141591	0.535741	0.112261	0.0750171	0.00789037	0.0172429	0.00522265	0.00464072	0.0151181	0.00471488	0.000454107	0.0207498
a	0.0370006	0.045902	0.13034	0.40508	0.153248	0.107268	0.00893978	0.0611789	0.0253388	0.00260106	0.00248076	0.00364595	0.00098028	0.0159958
t	0.00565931	0.0106275	0.18774	0.140124	0.276307	0.232473	0.00824951	0.051149	0.0436123	0.0114016	0.00501099	0.00835073	0.000212485	0.0190829
s	0.00187268	0.004748	0.0539169	0.3633	0.0807387	0.0705779	0.00958409	0.239413	0.131233	0.0183934	0.00431991	0.0026327	0.00133896	0.0179313
í	0.000236261	0.00103969	0.0267718	0.233231	0.235465	0.0809609	0.000676722	0.245262	0.104832	0.0182546	0.0110769	0.00883813	0.00087553	0.0324784
n	0.000397938	0.00400098	0.0337183	0.18986	0.193225	0.106159	0.0287786	0.267596	0.0825444	0.0152859	0.010971	0.00195785	0.00574111	0.0597645
a	0.0100186	0.00951843	0.0175653	0.0261574	0.0626566	0.144451	0.0152198	0.146212	0.0638631	0.0264858	0.0104945	0.00501297	0.011541	0.450804
d	0.000701904	0.00129936	0.0295286	0.0850241	0.161229	0.164186	0.0163765	0.187191	0.22474	0.0700146	0.0170099	0.0121246	0.00166813	0.0289069
í	0.00498432	0.00373128	0.0127182	0.025116	0.217724	0.39519	0.00504451	0.15477	0.03908	0.0304606	0.0115532	0.00112786	0.00187899	0.0966207
a	0.00053458	0.00110159	0.00946971	0.0167048	0.12934	0.390859	0.00274773	0.147441	0.195892	0.0802597	0.005964	0.0099696	0.000880813	0.00883526
í	0.00133757	0.00719194	0.0298893	0.0323748	0.132893	0.176311	0.010581	0.0651734	0.063556	0.282187	0.165183	0.0158515	0.00387419	0.0135968
d	0.000224697	0.00507814	0.0228928	0.0242329	0.119162	0.105286	0.00470602	0.0901174	0.0521722	0.289344	0.23847	0.0162691	0.00457062	0.027475
í	0.00107297	0.000746452	0.00628124	0.0167442	0.0879717	0.151668	0.00688053	0.0610284	0.0515354	0.292825	0.243587	0.0134186	0.00555937	0.0606818
l	0.000257516	0.000179433	0.00357121	0.0107588	0.0819917	0.230468	0.00051347	0.0548301	0.106847	0.171361	0.159338	0.103411	0.00184611	0.0746268
a	0.00023203	0.00075072	0.0053329	0.0108138	0.0297576	0.0313763	0.00153039	0.0445	0.0760325	0.242778	0.258896	0.062464	0.00917293	0.226362
y	0.000380091	0.000460278	0.00355444	0.0082195	0.0242927	0.0910988	0.00235669	0.16576	0.155752	0.202888	0.0761026	0.153338	0.0456141	0.0701829
í	0.0012451	0.000686989	0.00416225	0.0161555	0.0404291	0.373065	0.0156195	0.030088	0.0211471	0.134611	0.181065	0.100139	0.0249647	0.0566207
b	0.000395773	0.000151839	0.00170919	0.0054713	0.0379946	0.218266	0.00107859	0.127132	0.130532	0.191235	0.0603003	0.14477	0.01943	0.0615335
h	0.000336412	0.000859606	0.00413019	0.0172664	0.0765201	0.0598482	0.00102913	0.153271	0.086931	0.095836	0.331033	0.0485453	0.0302704	0.0941234
a	0.000286683	0.000517504	0.00267168	0.0176487	0.0629008	0.0386935	0.000287302	0.217914	0.124711	0.0626517	0.149879	0.0544339	0.0100579	0.257346
</S>	0.00011255	0.000223717	0.00154812	0.00815176	0.0176334	0.023538	2.78757e-05	0.0360284	0.0662486	0.0773674	0.177824	0.162029	0.014111	0.415156
