 	on	ne	l'	aime	pas	à	cause	de	son	avarice	</S>
á	0.40522	0.240412	0.0777069	0.0390435	0.0407647	0.0644811	0.035923	0.0303856	0.0606159	0.00477508	0.000671859
d	0.0681614	0.405619	0.236806	0.152444	0.0616136	0.0215055	0.00993525	0.0214617	0.0100923	0.00678456	0.00557675
í	0.013269	0.105043	0.186949	0.249571	0.0740135	0.0550937	0.0460035	0.0455978	0.0207843	0.0148103	0.188865
í	0.0109337	0.0516789	0.0888615	0.164173	0.0826229	0.0540221	0.0405638	0.0472072	0.0419076	0.0273942	0.390635
w	0.0996858	0.0644657	0.317519	0.278121	0.0795281	0.0572443	0.023099	0.0154904	0.0221848	0.00599468	0.0366679
a	0.0660629	0.0639212	0.209855	0.0791524	0.0766994	0.100497	0.0477364	0.0815921	0.18805	0.0620408	0.0243929
o	0.0313419	0.0475914	0.166337	0.201517	0.0820857	0.0794086	0.0547303	0.058286	0.0725735	0.056126	0.150003
d	0.00144497	0.0211824	0.104036	0.284665	0.187615	0.0941309	0.153902	0.0713552	0.00596641	0.0135255	0.0621773
i	0.000986853	0.00410636	0.0405415	0.205084	0.113448	0.0686592	0.0973222	0.108523	0.00610465	0.0245503	0.330674
n	0.00411647	0.00827226	0.0725742	0.116659	0.230814	0.153842	0.100381	0.112444	0.00984726	0.00601622	0.185033
g	0.00314778	0.0115427	0.131706	0.10118	0.210911	0.197401	0.0818513	0.125955	0.0760947	0.0165392	0.043671
a	0.00706458	0.0139682	0.208118	0.104013	0.207481	0.162786	0.0583342	0.113018	0.0593859	0.0203951	0.0454365
k	0.00674397	0.00596298	0.0818281	0.0846555	0.121939	0.210061	0.091179	0.118403	0.170578	0.0340613	0.0745888
a	0.0121142	0.0137312	0.0310732	0.0630082	0.198366	0.131509	0.219793	0.217688	0.0350504	0.0423779	0.0352903
á	0.00099769	0.00322556	0.0114282	0.0335743	0.0762769	0.0862277	0.172669	0.237852	0.0469005	0.122241	0.208608
m	0.00597452	0.00259791	0.00981311	0.0191348	0.0220234	0.0611502	0.0690918	0.0883427	0.215754	0.158504	0.347614
ó	0.0148071	0.0253284	0.0392073	0.0677261	0.0374814	0.120384	0.131415	0.142219	0.123672	0.134799	0.162961
p	0.00816311	0.00843097	0.0247638	0.0392346	0.0595572	0.127548	0.107565	0.227675	0.195361	0.112406	0.0892945
ó	0.00248735	0.0151338	0.0241513	0.0559406	0.1258	0.106338	0.166239	0.253951	0.0724104	0.09309	0.0844589
s	0.00041579	0.00150596	0.00570088	0.0206618	0.0502465	0.0612712	0.13052	0.226326	0.0654766	0.11845	0.319425
á	0.00723453	0.0172679	0.0349417	0.0649263	0.118599	0.125661	0.106058	0.227439	0.137666	0.0476982	0.112509
b	0.0085864	0.00242412	0.00633572	0.00778053	0.0131973	0.0260212	0.0208229	0.052847	0.536889	0.198134	0.126962
e	0.00587646	0.00757522	0.00661799	0.0066164	0.0148707	0.0514973	0.0506349	0.163458	0.432394	0.218662	0.0417967
a	0.00125691	0.00190607	0.00282276	0.00407603	0.012444	0.0431773	0.044262	0.178613	0.442015	0.136397	0.13303
y	0.00226544	0.00264085	0.0107545	0.0128921	0.0149669	0.0227106	0.0242587	0.0493375	0.181481	0.069829	0.608863
é	0.00409436	0.0094138	0.033434	0.0559065	0.019394	0.026633	0.0208411	0.0557389	0.330404	0.283758	0.160382
é	0.00238457	0.0014833	0.00692188	0.00991116	0.0103893	0.0179954	0.0101603	0.0370815	0.537407	0.0757181	0.290548
d	0.00359417	0.0108065	0.0354169	0.0619336	0.0320189	0.0371303	0.0291589	0.0572185	0.134407	0.0748816	0.523434
í	0.000592667	0.00228836	0.0102688	0.0237755	0.0162847	0.0199608	0.0141766	0.0421964	0.0832685	0.0379292	0.749258
l	0.000909668	0.000766633	0.00630727	0.0106376	0.0186677	0.0257673	0.00741329	0.0277964	0.239503	0.0114694	0.650762
a	0.00161206	0.00131777	0.00584665	0.0143226	0.00866049	0.0106359	0.00814052	0.0209025	0.140824	0.133726	0.654012
w	0.00148419	0.00310611	0.0195128	0.0328329	0.0344728	0.0318136	0.0096546	0.0398154	0.424064	0.169557	0.233687
a	0.00120877	0.00492158	0.0112557	0.0236736	0.0241464	0.0234624	0.0247226	0.0812243	0.205037	0.488103	0.112245
</S>	0.000702146	0.00117798	0.00407408	0.00738043	0.012899	0.00940352	0.0173034	0.0642138	0.139009	0.151101	0.592735
