 	la	pointe	du	couteau	s'	est	tordue	</S>
p	0.373972	0.515752	0.0924674	0.0145599	0.00262125	0.000423072	4.917e-05	0.000155448
e	0.0443933	0.938405	0.0135226	0.00222528	0.000568138	0.000260749	0.000403763	0.000221124
m	0.0433934	0.805133	0.123916	0.0113073	0.00933806	0.00123264	0.000259507	0.00541977
b	0.21632	0.444572	0.250931	0.0183017	0.0513555	0.00284076	0.000734804	0.0149452
á	0.386719	0.24515	0.233409	0.0302746	0.0333802	0.00578252	0.0173776	0.0479076
y	0.125554	0.0447581	0.680635	0.0540545	0.0550725	0.00979497	0.00074289	0.0293873
í	0.203757	0.0570751	0.614299	0.0316897	0.0740243	0.00508063	0.00176282	0.0123115
b	0.0836454	0.0159788	0.670798	0.0625617	0.143836	0.0115339	0.00109605	0.0105504
á	0.0179586	0.0278366	0.0180482	0.915253	0.0157993	0.0022509	0.000823486	0.00203041
á	0.0271889	0.0522456	0.11176	0.712544	0.074215	0.0120288	0.00190145	0.00811661
é	0.00294269	0.00181096	0.0948638	0.176438	0.475195	0.209883	0.00789568	0.0309711
m	0.00138644	0.000417025	0.0141049	0.0326997	0.128733	0.774373	0.0296889	0.0185969
i	0.00246753	0.00021878	0.0149891	0.0159833	0.139856	0.655037	0.110613	0.0608354
w	0.00127543	9.35725e-05	0.00300652	0.00456393	0.0407011	0.560168	0.368009	0.0221833
ú	0.000469579	0.00168754	0.00232059	0.0144476	0.0421192	0.298913	0.595961	0.0440815
n	0.00117921	0.00040831	0.0149085	0.00420654	0.1034	0.293714	0.307559	0.274624
y	0.0129787	0.002186	0.0362901	0.00482451	0.0984975	0.0686895	0.495048	0.281485
a	0.0138816	0.00373518	0.0623666	0.00560512	0.137397	0.0489323	0.404581	0.323501
a	0.00661777	0.00260109	0.0510745	0.00355809	0.152425	0.0659248	0.164423	0.553376
</S>	0.0226929	0.00231247	0.0283831	0.0243967	0.076203	0.2032	0.345361	0.297451
