 	cette	jeune	fille	est	velue	</S>
m	0.488123	0.496019	0.0042455	0.00998183	0.00152798	0.000103152
w	0.0409728	0.848596	0.0992991	0.000903226	0.00165487	0.00857426
á	0.0100922	0.904585	0.0839285	0.000132866	0.00114924	0.000112597
n	0.0583372	0.90122	0.0367963	0.000214096	0.000241365	0.00319113
a	0.0107412	0.233092	0.581767	0.00708902	0.00910176	0.158209
o	0.757919	0.157864	0.0509357	0.0251559	0.00261559	0.00550976
y	0.420135	0.078723	0.21197	0.198064	0.0383523	0.0527546
ú	0.435629	0.191218	0.266855	0.0482923	0.014769	0.0432364
r	0.745576	0.0737713	0.0352322	0.0383672	0.00692977	0.100124
u	0.749358	0.127708	0.0576067	0.0212198	0.0124951	0.0316122
w	0.13393	0.0550128	0.169587	0.537682	0.0204018	0.0833862
ó	0.19831	0.113458	0.194139	0.242263	0.0612958	0.190533
a	0.0481531	0.00502521	0.0270103	0.605775	0.0271886	0.286848
d	0.00846088	0.000888137	0.00594	0.776823	0.088964	0.118924
i	0.0104281	0.00144915	0.00474521	0.423836	0.0374646	0.522077
n	0.0491409	0.00667753	0.0181628	0.278912	0.16185	0.485257
d	0.0118511	0.00790664	0.0216011	0.0878822	0.668675	0.202084
z	0.00134473	0.00123992	0.00802832	0.0273729	0.677428	0.284586
ó	0.00282162	0.00363128	0.0072112	0.0619831	0.725613	0.198739
r	0.00644672	0.00110789	0.00412586	0.0499996	0.275707	0.662612
o	0.0232487	0.00292884	0.0132879	0.0730338	0.274949	0.612551
n	0.0156517	0.00206635	0.00447861	0.125737	0.102539	0.749527
g	0.00492082	0.00137997	0.0048075	0.0256242	0.533337	0.42993
u	0.00110867	0.00123237	0.00808455	0.00728469	0.778245	0.204045
n	0.0070227	0.00110944	0.00107112	0.0369843	0.191458	0.762355
g	0.0109942	0.0023109	0.00201086	0.0190438	0.490666	0.474974
a	0.00138055	0.00171552	0.00349777	0.0179656	0.726198	0.249242
l	0.00252341	0.000470821	0.000832433	0.0387746	0.222055	0.735344
a	0.025657	0.00107123	0.000501126	0.0380466	0.279953	0.654771
n	0.0288451	0.00337733	0.00269843	0.0625384	0.337137	0.565404
g	0.00997584	0.00920742	0.0085433	0.00370691	0.87003	0.0985365
u	0.00340263	0.00399246	0.00830586	0.0141621	0.757417	0.21272
n	0.00218673	0.000754419	0.000819981	0.00746256	0.365387	0.623389
g	0.00776171	0.00418327	0.00348945	0.00969867	0.641643	0.333224
a	0.00436549	0.01603	0.0215307	0.0156946	0.66369	0.27869
</S>	0.00744011	0.00166728	0.00155238	0.0259835	0.33681	0.626547
