 	ton	amaigrissement	me	chagrine	</S>
o	0.916389	0.0776458	0.00464519	0.00114499	0.000174771
t	0.28945	0.685215	0.014344	0.00552909	0.00546188
u	0.228073	0.678725	0.0227854	0.0136372	0.0567797
n	0.148554	0.339207	0.0308928	0.042492	0.438854
g	0.292475	0.603486	0.0116925	0.033426	0.0589204
u	0.522516	0.422322	0.0126963	0.019017	0.0234489
m	0.316072	0.397262	0.16394	0.00481369	0.117913
á	0.494412	0.310526	0.0992385	0.0061564	0.0896671
n	0.489288	0.152422	0.312027	0.0224138	0.0238494
ω	0.289975	0.129257	0.162347	0.376874	0.0415467
m	0.0576398	0.110118	0.678069	0.0916561	0.0625172
ó	0.322582	0.304461	0.123676	0.0602638	0.189017
o	0.471744	0.0808565	0.314983	0.0733581	0.0590584
p	0.0395808	0.0741786	0.153737	0.193233	0.53927
έ	0.042345	0.119266	0.0990729	0.0726896	0.666627
n	0.46046	0.124365	0.291124	0.0274016	0.09665
g	0.31023	0.0668891	0.169415	0.376312	0.0771533
á	0.614383	0.107044	0.0571018	0.206514	0.0149576
n	0.0223867	0.0484946	0.1726	0.565931	0.190587
y	0.010686	0.0234782	0.0519867	0.894928	0.0189212
i	0.012765	0.0221986	0.0574574	0.889753	0.0178257
n	0.00477222	0.0163626	0.0653322	0.791836	0.121697
g	0.0125733	0.0447559	0.0248475	0.168608	0.749216
a	0.0420031	0.105551	0.0837579	0.242744	0.525944
</S>	0.0100295	0.0114545	0.12981	0.0807848	0.767921
