 	le	vin	qu'	il	prend	commence	à	l'	étourdir	</S>
a	0.661733	0.141924	0.148002	0.0245682	0.00547521	0.0100119	0.00409958	0.00368808	0.000330046	0.000167466
l	0.0554229	0.91888	0.00441668	0.00218124	0.0102977	0.00217512	0.0019899	0.00123959	0.0024808	0.000915699
ω	0.0184577	0.951066	0.0027586	0.00140599	0.0128516	0.00443885	0.00330169	0.000517046	0.000895589	0.00430697
i	0.101903	0.693261	0.0456612	0.00817348	0.0267038	0.0591779	0.0211196	0.00868851	0.0121838	0.0231286
m	0.0935089	0.0221789	0.563768	0.25199	0.019578	0.012976	0.00653468	0.00499373	0.000684734	0.0237869
á	0.330545	0.0114678	0.207333	0.273146	0.0290006	0.020315	0.0502822	0.0384705	0.00224656	0.0371932
á	0.294846	0.00589225	0.223154	0.29127	0.0430463	0.0679037	0.0239468	0.0122289	0.0114267	0.0262857
n	0.0130704	0.00439024	0.0310059	0.147675	0.305689	0.378224	0.0762825	0.0158746	0.00560936	0.0221794
y	0.142568	0.0133443	0.196596	0.19249	0.043781	0.175037	0.0382442	0.0271478	0.0751163	0.095676
w	0.0514884	0.00515873	0.201664	0.377746	0.0350382	0.1245	0.0540916	0.0317901	0.102032	0.0164901
á	0.0227004	0.00184217	0.232643	0.30788	0.0690634	0.078715	0.05412	0.0426712	0.0579515	0.132414
á	0.0183313	0.00185906	0.318357	0.272586	0.095089	0.125335	0.0437005	0.019419	0.00592508	0.0993979
w	0.00485733	0.00104699	0.0548574	0.216151	0.0518919	0.446058	0.134453	0.0476098	0.011648	0.0314265
a	0.00378698	0.00344809	0.0336472	0.182194	0.0827067	0.210863	0.166857	0.140846	0.0595672	0.116085
á	0.00226197	0.00101177	0.0327816	0.0601094	0.0497176	0.416078	0.229386	0.113855	0.0328657	0.0619334
b	0.00406843	0.00161989	0.00560254	0.025478	0.0488718	0.26802	0.411247	0.138017	0.0541687	0.0429063
h	0.00294583	0.00349467	0.002686	0.00692247	0.0594886	0.226545	0.379034	0.200223	0.0327004	0.0859598
i	0.00245033	0.000362303	0.00681599	0.0450879	0.112424	0.222121	0.307153	0.170681	0.0142531	0.118651
m	0.00254528	0.000204311	0.0187725	0.0446647	0.0316733	0.118306	0.305731	0.224284	0.0532355	0.200584
á	0.016128	0.000702838	0.0053977	0.00671885	0.000965568	0.0403891	0.334389	0.292508	0.0883094	0.214491
a	0.0158938	0.00094351	0.00526786	0.00703355	0.00501537	0.0395648	0.197017	0.331482	0.329127	0.0686544
y	0.0043744	0.00238781	0.000844366	0.00104757	0.0217557	0.0461312	0.21955	0.171256	0.352644	0.180009
í	0.00108496	9.85003e-05	0.00260024	0.00337309	0.00391868	0.0213381	0.0682339	0.153275	0.641373	0.104705
á	0.000918648	2.60838e-05	0.00313803	0.00359579	0.000993869	0.017685	0.0417113	0.0822165	0.235067	0.614648
w	0.00332074	0.000518506	0.0163024	0.0251464	0.00552011	0.0221213	0.0798339	0.184585	0.422227	0.240425
á	0.00253953	0.00188051	0.0157825	0.0214836	0.0168879	0.0272589	0.143822	0.387131	0.275835	0.107379
o	0.00677126	0.000446733	0.00905168	0.00953951	0.00260631	0.0173195	0.0463038	0.10188	0.500814	0.305267
t	0.00234223	0.000628699	0.00124035	0.00139237	0.0161587	0.0278621	0.0773209	0.0766554	0.46814	0.32826
s	0.00111559	0.00346084	0.00241224	0.00335804	0.04636	0.0131079	0.0654349	0.199909	0.264425	0.400416
a	0.000866961	0.000500115	0.000878275	0.00124763	0.0118438	0.0043165	0.0414742	0.0876108	0.587817	0.263445
</S>	0.00180156	5.26829e-05	0.00366505	0.00153819	0.00147249	0.00631089	0.0202662	0.0526875	0.142687	0.769519
