 	cette	femme	pratique	la	divination	depuis	longtemps	</S>
o	0.964233	0.0127568	0.0114671	0.00456677	0.00398255	0.00256342	0.000402696	2.72645e-05
y	0.10818	0.87736	0.00821927	0.0021582	0.00151961	0.00072264	0.00126353	0.000576574
ú	0.935495	0.0559968	0.00197225	0.00284114	0.00124377	0.00043131	0.00139079	0.000629097
r	0.941044	0.0262636	0.00219896	0.00586925	0.00169816	0.000842473	0.0023723	0.0197109
u	0.936085	0.0162803	0.0137553	0.0130005	0.00696532	0.00283966	0.00530251	0.00577138
w	0.25167	0.0777909	0.488779	0.100551	0.0178005	0.0208654	0.0150402	0.0275037
ó	0.155419	0.00697097	0.357832	0.151256	0.12111	0.0758609	0.0363034	0.0952469
l	0.0180081	0.00281381	0.59885	0.249426	0.0517483	0.0229363	0.00955972	0.0466584
á	0.0874033	0.00364155	0.136552	0.201288	0.0691606	0.0591147	0.07721	0.36563
a	0.437724	0.0116488	0.215645	0.185776	0.0695	0.0194094	0.0191821	0.0411144
t	0.0990735	0.0241854	0.0471903	0.460743	0.294726	0.0114166	0.0102787	0.0523858
έ	0.0122949	0.000284917	0.0845907	0.249928	0.555712	0.0138544	0.00392693	0.0794088
p	0.117282	0.00144536	0.114506	0.198696	0.378787	0.051716	0.0079451	0.129622
é	0.00658345	0.000119983	0.146852	0.150439	0.616412	0.0555642	0.0053232	0.0187065
r	0.0035315	4.03673e-05	0.120059	0.190293	0.48649	0.135911	0.0136083	0.0500666
á	0.00508603	3.45936e-05	0.0387097	0.153041	0.700094	0.045669	0.00914703	0.0482181
w	0.0112589	0.000105164	0.0279293	0.137898	0.289048	0.47476	0.0452092	0.013792
ú	0.0128146	0.000168178	0.0548212	0.138183	0.402221	0.307072	0.0570538	0.0276657
r	0.00542951	0.000139543	0.00605467	0.0486022	0.258967	0.557053	0.102139	0.0216155
á	0.0115351	0.00026848	0.0101177	0.127695	0.356086	0.205114	0.0802217	0.208962
k	0.00749291	0.000113516	0.00637661	0.036549	0.0606222	0.451306	0.261798	0.175742
a	0.0012114	3.74373e-05	0.00663398	0.00935006	0.164055	0.159655	0.496546	0.162511
l	0.000373711	6.97974e-05	0.00404445	0.011406	0.0391812	0.0783211	0.47796	0.388643
a	0.000389122	1.58934e-05	0.00346713	0.0150837	0.0249943	0.102062	0.52029	0.333697
</S>	0.000741879	2.14834e-05	0.00729719	0.0189688	0.0140718	0.143402	0.35629	0.459206
