 	les	enfants	sont	accourus	ici	</S>
b	0.211489	0.78456	0.00265261	0.00106378	0.000223907	1.1438e-05
á	0.0771342	0.915408	0.0056512	0.00158859	0.000186116	3.14828e-05
n	0.116877	0.854061	0.0177236	0.0104689	0.000609209	0.000260304
a	0.0879183	0.830113	0.0326547	0.0353498	0.00109925	0.0128653
á	0.0531024	0.0557707	0.776203	0.063443	0.00694127	0.0445394
b	0.0236214	0.00621188	0.214187	0.659076	0.0571578	0.0397462
e	0.00466382	0.00476815	0.0101622	0.947369	0.0176533	0.0153835
n	0.00836677	0.0016268	0.032743	0.848186	0.032944	0.0761329
i	0.118536	0.00888251	0.145105	0.588011	0.0647861	0.0746798
i	0.120536	0.0552532	0.307587	0.138641	0.23609	0.141893
b	0.00861506	0.0101787	0.0131654	0.10823	0.743458	0.116353
h	0.0081798	0.00466486	0.00218339	0.0887274	0.847272	0.0489724
á	0.00189118	0.00110039	0.00199276	0.186751	0.595514	0.21275
</S>	0.00142446	0.000173989	0.00222686	0.0122765	0.244157	0.739741
