 	la	maladie	a	fait	perdre	la	mémoire	à	cette	fille	</S>
i	0.475928	0.381824	0.108877	0.0122352	0.00127841	0.00999153	0.000441533	0.00417195	0.00480405	9.55461e-05	0.000353463
k	0.0196958	0.965298	0.00386549	0.00157199	0.00178119	0.000300306	0.0052887	0.00123541	0.000132135	4.46482e-05	0.000786235
ω	0.0129896	0.869394	0.0184219	0.0179039	0.00686408	0.00142664	0.0451704	0.0211777	0.00144908	0.000128068	0.00507459
n	0.00757733	0.952059	0.0103828	0.00216931	0.00259486	0.00132096	0.00976618	0.00715216	0.00249325	0.000499598	0.00398413
í	0.0712708	0.859107	0.0085573	0.00371866	0.00310533	0.000735756	0.0265759	0.0117215	0.000540638	0.000315347	0.0143521
á	0.252314	0.0509412	0.480075	0.106582	0.0129649	0.0621966	0.00493419	0.0167006	0.00153433	0.000437006	0.0113201
m	0.0393503	0.00278417	0.12623	0.331481	0.116453	0.274062	0.0159965	0.0370202	0.0118773	0.00299719	0.0417483
i	0.0282302	0.000250365	0.0381391	0.182343	0.263594	0.233208	0.0657094	0.0183448	0.00519023	0.025862	0.139129
í	0.00230555	0.00115444	0.0018215	0.0620286	0.629639	0.0582666	0.22125	0.00770717	0.000785073	0.00106713	0.0139744
b	0.00802192	0.00263428	0.00370157	0.0243796	0.1984	0.122186	0.492446	0.0495808	0.00330728	0.00246711	0.0928748
h	0.00476259	0.00171793	0.00144412	0.0239724	0.106101	0.0467958	0.751399	0.043687	0.00443511	0.00130063	0.014384
o	0.000923287	0.00231577	0.000779894	0.0191331	0.116299	0.0168912	0.813031	0.0273746	0.000568095	0.000100853	0.00258295
n	0.00253557	0.00275942	0.00306719	0.0163425	0.0417465	0.134345	0.743979	0.0381204	0.014918	0.000283022	0.0019028
í	0.00916321	0.00523064	0.00861861	0.0925254	0.0275383	0.155967	0.471395	0.147374	0.0333246	0.00335267	0.0455105
s	0.0123998	0.0011739	0.0483507	0.0561416	0.00179274	0.233273	0.0201755	0.301096	0.286134	0.02471	0.0147531
á	0.00803915	0.000568871	0.00274216	0.00736402	0.00412596	0.0714043	0.0328254	0.154976	0.602528	0.0602522	0.0551745
m	0.0035983	0.00115714	0.00654445	0.00493329	0.000595156	0.0536805	0.0163579	0.168971	0.643746	0.0900637	0.0103534
w	9.78327e-05	9.00793e-06	8.36072e-05	0.000184065	0.000810287	0.00204283	0.00315236	0.0119972	0.0239161	0.917552	0.0401549
á	1.21995e-05	8.08284e-07	5.45677e-06	1.96329e-05	4.71078e-05	8.51215e-05	0.00180197	0.000793983	0.00178076	0.994031	0.00142234
n	0.00144619	7.47008e-05	0.000142533	0.000451924	0.00157322	0.00794692	0.0112255	0.0179545	0.100259	0.852478	0.00644738
a	0.00308229	0.000789055	0.00430053	0.0140131	0.00510904	0.0121399	0.0299114	0.0554301	0.13953	0.644235	0.0914592
o	0.00555785	0.00682913	0.00816129	0.0157305	0.0029012	0.05323	0.0203516	0.297334	0.456349	0.0209555	0.1126
y	0.00114483	0.00766591	0.00564019	0.00909874	0.0147538	0.0257501	0.0136681	0.395313	0.103566	0.0112587	0.41214
ú	0.00073735	0.0100028	0.00254307	0.0205987	0.0212266	0.0359679	0.00556105	0.383534	0.16674	0.0172057	0.335883
r	0.000896927	0.00117098	0.00103733	0.0120704	0.0064272	0.066469	0.0087094	0.311385	0.217172	0.0132624	0.361399
u	0.005451	0.00200698	0.000870095	0.013184	0.00532098	0.0300332	0.0425932	0.2037	0.429334	0.051477	0.21603
w	0.000730703	0.000231163	0.00203644	0.00235493	0.000384626	0.00684875	0.0005896	0.134448	0.205554	0.0173504	0.629472
ó	0.0187922	0.00355894	0.00962606	0.00778988	0.000605214	0.0116474	0.00114122	0.129541	0.469776	0.0620591	0.285463
</S>	0.00115506	0.00263164	0.00179906	0.000835121	0.000558246	0.00162871	0.00117327	0.099473	0.0858277	0.0237364	0.781182
