 	pourquoi	tu	t'	en	prends	à	moi	</S>
t	0.482156	0.373934	0.0634991	0.0164668	0.0164322	0.0369957	0.00729249	0.00322387
s	0.15473	0.548618	0.108689	0.0368367	0.0192625	0.035323	0.0472507	0.049289
í	0.0500669	0.559547	0.0673154	0.0784514	0.177988	0.0178986	0.0307672	0.0179657
n	0.735611	0.14989	0.015731	0.00807413	0.0118839	0.0106018	0.0151693	0.0530385
a	0.202869	0.153455	0.094137	0.0326693	0.0166702	0.0146095	0.0321183	0.453472
n	0.229129	0.310369	0.2308	0.13725	0.0216683	0.0224258	0.0088911	0.0394669
d	0.421121	0.138503	0.0957401	0.0159891	0.00296846	0.0186881	0.222398	0.0845916
e	0.237374	0.300807	0.237218	0.0364384	0.00255157	0.00158727	0.0265043	0.15752
n	0.148816	0.15183	0.345441	0.130674	0.0130919	0.0283881	0.0810785	0.10068
ω	0.21898	0.262935	0.253013	0.0377014	0.0123427	0.00830208	0.0320736	0.174653
o	0.0812717	0.147357	0.3308	0.265611	0.018225	0.0384688	0.0198149	0.0984516
d	0.00602446	0.0169571	0.0477904	0.461405	0.406264	0.0181482	0.00474159	0.0386698
í	0.00367181	0.00470718	0.0329068	0.321816	0.142024	0.0582412	0.00447876	0.432154
f	0.00318712	0.00320188	0.0301779	0.167845	0.270377	0.196896	0.0252828	0.303032
a	0.00210031	0.00570701	0.0180416	0.0903551	0.457281	0.096251	0.200062	0.130202
a	0.000740851	0.00367422	0.0304172	0.120671	0.103971	0.224945	0.360093	0.155488
f	0.000479217	0.00156602	0.0126498	0.0450771	0.117968	0.274446	0.263125	0.284689
a	0.000493464	0.00237041	0.00440792	0.0382601	0.511678	0.115987	0.071212	0.255591
a	0.000178566	0.000829522	0.00379075	0.0373812	0.209816	0.099244	0.0636654	0.585094
l	0.00103507	0.00235789	0.0159103	0.0414473	0.0335918	0.357012	0.20529	0.343356
a	0.00410094	0.00306055	0.0175581	0.0845017	0.0802032	0.197049	0.144733	0.468794
n	0.00283326	0.000889475	0.00457101	0.00435912	0.00438255	0.205244	0.498716	0.279004
g	0.0107837	0.00336883	0.0111773	0.00176874	0.00146307	0.0179026	0.892801	0.0607347
á	0.00833592	0.00735601	0.0171604	0.00144029	0.00105064	0.0168158	0.84194	0.105901
</S>	0.00106336	0.000911471	0.00336412	0.0150236	0.0163449	0.249032	0.37219	0.34207
