 	le	chasseur	a	une	écharde	dans	le	pied	</S>
o	0.90086	0.0913511	0.00168497	0.00225986	0.000945363	0.00111934	0.000710632	0.000984533	8.44311e-05
b	0.106873	0.861321	0.0108751	0.00887472	0.00305295	0.00076947	0.00115974	0.00615622	0.000917625
e	0.0293206	0.965952	0.00108856	0.00136636	0.000625645	0.000145156	0.000176819	0.00123357	9.15138e-05
n	0.0231182	0.956668	0.0038751	0.00388506	0.00284602	0.000667128	0.000760194	0.00105793	0.00712208
g	0.319986	0.618305	0.0146257	0.0139844	0.00564837	0.00842895	0.00455757	0.00152673	0.0129375
i	0.166527	0.813965	0.00757086	0.00329202	0.00230909	0.00221157	0.00140708	0.000642734	0.0020743
a	0.189985	0.0346211	0.611556	0.0829463	0.034144	0.0122677	0.00540872	0.000679087	0.0283915
d	0.0389138	0.0113534	0.666526	0.145076	0.0661761	0.0146669	0.0117439	0.00283572	0.0427085
í	0.0206569	0.0125457	0.306542	0.186688	0.182636	0.0538199	0.0175504	0.000304921	0.219257
l	0.0178125	0.000980452	0.13659	0.253224	0.299315	0.114182	0.0518589	0.0134544	0.112583
i	0.00100584	0.000321244	0.138985	0.286694	0.266302	0.111768	0.0232918	0.00185556	0.169777
l	0.00201232	0.00110701	0.0940797	0.301595	0.426095	0.0977375	0.0238463	0.0181318	0.0353952
ω	0.00104307	0.00123892	0.0510776	0.340302	0.460096	0.0886395	0.0215507	0.0104409	0.025611
ó	0.00105525	0.00298021	0.0427119	0.272674	0.508092	0.0683373	0.0285244	0.0532348	0.0223897
s	0.000540243	0.000127297	0.0138945	0.0562046	0.160833	0.503946	0.187555	0.0192827	0.057617
é	0.00212853	0.000490908	0.0107988	0.0737833	0.194338	0.355589	0.15295	0.0170427	0.192879
k	0.0021554	0.000195928	0.0045312	0.0182714	0.0805647	0.342037	0.241454	0.254562	0.0562281
o	0.000144618	0.000209413	0.000636584	0.00963545	0.0165596	0.0323268	0.0208357	0.894639	0.025013
o	0.000178199	0.000888622	0.00187544	0.0155356	0.0296832	0.0106741	0.017144	0.871736	0.0522845
</S>	0.0019668	3.3489e-05	0.0060132	0.010835	0.0164819	0.103913	0.240449	0.129523	0.490784
