 	notre	association	est	dénommée	tsalakoso	</S>
e	0.147485	0.771745	0.0538009	0.0246207	0.00212379	0.000224828
k	0.0228435	0.869488	0.0570974	0.0162838	0.0303727	0.00391487
o	0.00996616	0.708389	0.103468	0.105292	0.0601835	0.0127021
r	0.00406534	0.872567	0.0597972	0.0497898	0.0101553	0.00362495
í	0.0492924	0.527601	0.231438	0.102576	0.0138597	0.075233
y	0.178523	0.357561	0.373968	0.0492748	0.00308146	0.0375926
á	0.385526	0.151363	0.260517	0.119987	0.00298764	0.0796202
b	0.859366	0.0352069	0.088177	0.0150856	0.000313763	0.00185031
í	0.979459	0.00876097	0.00654777	0.00481432	0.000262491	0.000155283
s	0.972443	0.0088564	0.00909553	0.00697296	0.00102433	0.00160823
í	0.785292	0.0285524	0.0812123	0.0117468	0.000646341	0.0925499
k	0.0602666	0.0796085	0.365021	0.356466	0.0301385	0.108499
ó	0.112305	0.0541901	0.276606	0.507166	0.0231995	0.0265344
m	0.0310969	0.09346	0.244063	0.572217	0.0233849	0.0357785
b	0.012642	0.00370643	0.277742	0.477972	0.0761188	0.151819
ó	0.0373017	0.0158483	0.199209	0.209985	0.0125412	0.525115
t	0.020035	0.0143317	0.177992	0.383823	0.274142	0.129676
s	0.0507956	0.0173676	0.113168	0.423908	0.314347	0.0804134
á	0.00189367	0.0122953	0.0395114	0.382321	0.437971	0.126008
l	0.0105637	0.00548504	0.0123377	0.106724	0.472463	0.392426
á	0.0134801	0.0106803	0.0280088	0.107367	0.367379	0.473084
a	0.0221119	0.00684119	0.0236481	0.0398739	0.466258	0.441267
k	0.0198682	0.0497321	0.0509806	0.0621939	0.502367	0.314858
o	0.000637195	0.0133007	0.0159158	0.0401213	0.873297	0.0567277
s	0.00184801	0.00789899	0.00635572	0.0328035	0.828321	0.122773
o	0.0011352	0.00648015	0.018827	0.0456537	0.585615	0.342289
</S>	0.00578991	0.00802744	0.0191122	0.0161725	0.139938	0.81096
