 	les	chiots	gémissent	dans	leur	cage	</S>
b	0.656431	0.332029	0.0046261	0.00543178	0.0013863	8.06024e-05	1.45488e-05
á	0.213043	0.770367	0.00200121	0.00492675	0.00931007	0.000202386	0.000148636
n	0.0324688	0.959103	0.00188688	0.00153845	0.00395293	0.000488133	0.00056201
a	0.182776	0.739777	0.0290622	0.0108218	0.0192508	0.00210118	0.0162104
b	0.647955	0.241591	0.0155616	0.0532986	0.027477	0.00172082	0.0123968
á	0.377678	0.296636	0.0398319	0.124627	0.0680837	0.00367552	0.0894676
m	0.297215	0.561236	0.0622732	0.0309278	0.0221346	0.00248897	0.023725
b	0.439599	0.321624	0.18798	0.0265774	0.0169632	0.000975267	0.00628112
v	0.0632411	0.308836	0.609482	0.0118108	0.00224359	0.000332603	0.00405441
á	0.0335511	0.467367	0.47239	0.00458494	0.00159574	0.00286764	0.0176432
n	0.0758079	0.577633	0.302998	0.0077488	0.00171538	0.00127361	0.0328225
d	0.199333	0.154763	0.216852	0.0443158	0.0299	0.0216714	0.333165
é	0.0613944	0.0953863	0.33124	0.0254769	0.0232312	0.0392728	0.423999
b	0.0960577	0.0239529	0.227167	0.441818	0.107742	0.00442568	0.0988376
á	0.139611	0.0313651	0.194157	0.347079	0.195255	0.00226967	0.0902631
a	0.267178	0.0824481	0.0281094	0.425846	0.14421	0.00700521	0.045203
s	0.0208056	0.00191247	0.324757	0.579996	0.0352505	0.00316046	0.0341184
w	0.0106788	0.00240993	0.524391	0.416081	0.0170299	0.00255175	0.0268574
έ	0.0229174	0.0014544	0.413203	0.469933	0.0412353	0.0139899	0.0372673
έ	0.00727678	0.00220249	0.202906	0.530893	0.0937526	0.0266061	0.136363
n	0.00442861	0.00082266	0.0201574	0.598496	0.297285	0.0336186	0.0451923
g	0.00648453	0.00221213	0.0433605	0.518082	0.259222	0.134541	0.0360973
ε	0.0107645	0.014992	0.0476919	0.32006	0.131785	0.410727	0.0639794
s	0.00224124	0.000174655	0.00480299	0.437613	0.430058	0.0728266	0.0522835
á	0.00789457	0.000256804	0.00708819	0.457904	0.178931	0.184641	0.163286
n	0.010377	0.000868673	0.00427441	0.183251	0.440208	0.340324	0.0206965
d	0.000424623	0.000203684	0.000907172	0.0193295	0.0304235	0.931242	0.0174698
é	0.000395461	0.000310979	0.00108194	0.00614833	0.0482027	0.877712	0.0661481
e	0.000692535	0.000259462	0.00774855	0.137363	0.13782	0.312376	0.403741
y	0.0014567	0.000154024	0.00243471	0.0931395	0.146152	0.0485398	0.708124
á	0.0372856	0.00245226	0.00703953	0.166411	0.185313	0.212424	0.389075
b	0.00588795	0.00118523	0.00406963	0.164626	0.291625	0.181516	0.35109
á	0.00670882	0.00856715	0.00361291	0.171383	0.692291	0.0172542	0.100183
a	0.0109377	0.0108068	0.00230116	0.182085	0.525051	0.0263122	0.242506
</S>	0.00213609	0.000117344	0.00112658	0.035975	0.0701671	0.0539463	0.836532
