 	pourras-tu	le	démentir	dans	cette	affaire	</S>
n	0.972207	0.00601479	0.00870245	0.00423596	0.00369385	0.0049316	0.000214629
ω	0.992133	0.0026795	0.000797057	0.00205335	0.00213037	0.000178315	2.78963e-05
l	0.653972	0.282728	0.0207382	0.0121968	0.0171921	0.00639842	0.00677433
ó	0.234399	0.103917	0.035208	0.0903041	0.0494917	0.0395443	0.447136
o	0.168319	0.133487	0.0214228	0.125568	0.248897	0.141457	0.160848
b	0.00330603	0.828745	0.139039	0.00959533	0.00507289	0.00331316	0.0109285
h	0.0038101	0.60772	0.360658	0.00659584	0.00286674	0.0106251	0.00772389
é	0.00111233	0.106323	0.869036	0.0051653	0.0015679	0.0141086	0.00268741
r	0.0221435	0.173038	0.703882	0.046113	0.0184844	0.00884866	0.0274903
á	0.0137602	0.233493	0.371985	0.214888	0.0710678	0.00846133	0.0863444
o	0.0307377	0.12905	0.443983	0.313994	0.0608996	0.0121221	0.00921383
s	0.00103556	0.142077	0.658164	0.154989	0.0207165	0.0148257	0.00819182
ú	0.0018115	0.153186	0.780904	0.0384958	0.00825368	0.00738946	0.00995961
l	0.0530626	0.441883	0.217754	0.165608	0.0432143	0.00851006	0.0699683
á	0.00118315	0.0645845	0.108931	0.412324	0.276883	0.0279414	0.108153
á	0.00591172	0.0557591	0.0580247	0.512934	0.26827	0.065853	0.0332473
w	0.0045621	0.0202539	0.0196853	0.370526	0.40948	0.110839	0.0646529
a	0.00623143	0.0236791	0.0672332	0.255947	0.277684	0.150476	0.21875
m	0.000211263	0.00331398	0.00750573	0.345298	0.275647	0.229208	0.138816
í	0.000655187	0.00847966	0.00761664	0.0889141	0.314463	0.24801	0.331862
b	0.000537305	0.00330029	0.00257158	0.0825729	0.300922	0.507353	0.102743
h	0.00166493	0.00297632	0.0271835	0.036345	0.0681682	0.834213	0.0294491
ώ	0.000228996	0.00100678	0.0560398	0.0368222	0.026421	0.785098	0.0943834
ω	9.43912e-06	0.00111811	0.00740973	0.067678	0.155013	0.681934	0.086838
d	2.28016e-05	0.00167104	0.00116292	0.0488691	0.283855	0.238974	0.425445
í	7.36647e-05	0.00912344	0.00179762	0.0800304	0.515087	0.0627748	0.331113
i	0.000119016	0.00263892	0.00236733	0.0487549	0.383725	0.165313	0.397081
</S>	0.000249781	0.00999867	0.00866587	0.0568424	0.228869	0.276126	0.419248
