 	qui	est	ce	qui	a	affronté	le	chef	traditionnel	</S>
o	0.203677	0.136355	0.0510834	0.0698024	0.124324	0.312317	0.0731793	0.0240569	0.00320726	0.0019978
k	0.00081709	0.00458891	0.00213468	0.00505325	0.0181888	0.864743	0.0538914	0.0462507	0.000799922	0.0035317
á	0.00226501	0.0077014	0.00666883	0.00198119	0.00486974	0.804453	0.0317905	0.137225	0.000364701	0.00268111
n	0.000120948	0.0040591	0.00380704	0.00384255	0.012687	0.861965	0.0504153	0.0592518	0.00113023	0.0027213
d	0.0318634	0.0218522	0.0111878	0.0106106	0.0487275	0.749479	0.057556	0.0587709	0.00188351	0.00806926
i	0.193145	0.0639336	0.0255213	0.012797	0.0208956	0.510954	0.0229567	0.0752032	0.000731789	0.0738619
m	0.0305975	0.0396725	0.0925198	0.138048	0.30693	0.0581945	0.186618	0.0808835	0.0405785	0.0259569
w	0.139801	0.0438266	0.0787728	0.162338	0.0760441	0.00268683	0.0242577	0.00845049	0.435482	0.0283404
ε	0.00106492	0.000709935	0.0011022	0.012291	0.00541923	0.00388367	0.00634939	0.00518151	0.962946	0.00105168
n	0.00393254	0.00462383	0.0075858	0.00615159	0.00733352	0.00347521	0.0059793	0.00939833	0.881009	0.0705105
έ	0.0118768	0.0109065	0.0647954	0.0696119	0.158293	0.0369269	0.168747	0.112918	0.110381	0.255544
á	0.0170119	0.00806267	0.031678	0.0555152	0.169582	0.0172095	0.258905	0.115943	0.0936309	0.232462
d	0.023045	0.0359527	0.0390989	0.079332	0.156453	0.0415625	0.182679	0.0864638	0.0255152	0.329898
z	0.0400565	0.0167907	0.0451416	0.0409405	0.0535091	0.0032673	0.0392543	0.0113072	0.0126454	0.737087
e	0.0884345	0.0141006	0.082444	0.108117	0.0878834	0.00665122	0.130856	0.088457	0.110255	0.282801
n	0.0535501	0.0171599	0.180993	0.0914294	0.159545	0.00369305	0.143663	0.0556984	0.0706358	0.223632
d	0.00248799	0.00524528	0.0178928	0.0442384	0.0562481	0.00854782	0.0707381	0.0161892	0.0312575	0.747155
a	0.00955789	0.00560626	0.0293953	0.078916	0.0162575	0.00315611	0.0254967	0.0104828	0.0116912	0.80944
</S>	0.00107737	0.00249293	0.0113109	0.0126224	0.0334386	0.00343973	0.0616242	0.0215201	0.00140156	0.851072
