 	les	ailes	de	la	libellule	sont	transparentes	</S>
t	0.69323	0.207572	0.0796298	0.0153684	0.00249158	0.00164538	3.23304e-05	2.98315e-05
s	0.1202	0.814468	0.0352548	0.0217677	0.00672945	0.000575037	0.000397703	0.000607655
á	0.0770983	0.730014	0.0573321	0.0759864	0.0584023	0.00029212	6.35356e-05	0.000811394
l	0.0632661	0.895624	0.0209137	0.00945563	0.00207405	0.000391849	5.63763e-05	0.00821842
á	0.169936	0.518705	0.142787	0.0476234	0.0183615	0.0158276	0.000967755	0.0857921
y	0.0941102	0.0713178	0.639531	0.125559	0.00760218	0.0426782	0.00133227	0.0178689
á	0.105542	0.108383	0.495173	0.210476	0.0266788	0.0419569	0.000195949	0.0115939
n	0.120978	0.0854416	0.270301	0.354094	0.151667	0.0138324	0.000784693	0.0029025
d	0.0600079	0.0176538	0.488356	0.241467	0.175683	0.0105977	0.000123256	0.00611152
ó	0.00800119	0.0110717	0.203188	0.309657	0.448567	0.00824698	0.000151846	0.0111156
n	0.00518808	0.00323133	0.0657565	0.0488709	0.854922	0.00245813	0.00134393	0.0182291
g	0.02251	0.00882957	0.120808	0.116818	0.626946	0.0229591	0.00050914	0.0806198
ó	0.0156619	0.00348449	0.0640081	0.064357	0.841785	0.00139028	0.000151145	0.00916188
a	0.0513929	0.01364	0.401987	0.195656	0.10663	0.214271	0.00245089	0.0139723
k	0.00734211	0.00595484	0.0485248	0.104826	0.320821	0.422099	0.0596494	0.0307826
ω	0.0032207	0.00356146	0.0368518	0.205193	0.39728	0.0916762	0.109704	0.152512
n	0.00526968	0.00147344	0.0426004	0.115615	0.612149	0.0310568	0.0778271	0.114009
g	0.005058	0.0019912	0.0339681	0.1	0.586758	0.143528	0.02822	0.100477
ώ	0.00513745	0.00231942	0.044215	0.121681	0.68061	0.066393	0.00246142	0.0771835
é	0.00564173	0.000916319	0.0191953	0.0211848	0.0243596	0.897314	0.00695449	0.0244342
d	0.00947759	0.00357368	0.0193003	0.0155835	0.00847709	0.60672	0.197961	0.138907
i	0.00795467	0.0021962	0.00807751	0.00726063	0.0021925	0.441664	0.00480255	0.525852
w	0.00365632	0.000822357	0.00670484	0.0148062	0.00334186	0.505621	0.0736236	0.391424
ó	0.00489251	0.00538942	0.0175056	0.056709	0.0150742	0.173224	0.644316	0.0828885
ó	0.00572229	0.00111648	0.00768785	0.0113769	0.0386055	0.16294	0.343753	0.428797
w	0.0193283	0.0167303	0.0487553	0.056815	0.0460988	0.159675	0.469265	0.183332
ó	0.00133586	0.00493039	0.00711099	0.0239867	0.0113402	0.0120727	0.874735	0.0644882
ó	0.000588687	0.000213453	0.00108646	0.00194229	0.0257585	0.00787413	0.875354	0.0871824
</S>	0.025465	0.00237686	0.0427717	0.0432372	0.0522915	0.290454	0.163587	0.379817
