 	essuie	tes	larmes	</S>
y	0.863673	0.129211	0.00186741	0.00524894
á	0.966118	0.0254619	0.00328823	0.00513188
á	0.923034	0.0351864	0.031557	0.0102222
l	0.338529	0.300608	0.236475	0.124389
á	0.0646081	0.248581	0.0865782	0.600233
a	0.0321966	0.693157	0.172852	0.101795
t	0.0464852	0.0796074	0.848972	0.0249357
s	0.00834972	0.115935	0.602608	0.273107
á	0.00675677	0.257811	0.504051	0.231381
n	0.00114979	0.195038	0.160861	0.642951
g	0.000561054	0.533926	0.374087	0.0914259
á	0.00261845	0.499673	0.305517	0.192192
</S>	0.000791861	0.302357	0.16903	0.527822
