 	nous	venons	de	couper	les	lattes	dans	la	forêt	</S>
b	0.937339	0.0541715	0.00208027	0.00121604	0.00211991	0.000761481	0.000189031	0.000461825	0.00153228	0.000128428
í	0.990817	0.00226355	0.00108685	0.000642022	0.00192558	0.000870457	0.000519556	0.00168991	0.00011824	6.70733e-05
s	0.999106	0.000601302	0.000137822	2.47478e-05	3.83505e-05	6.19367e-05	3.85913e-06	8.70706e-06	4.44314e-06	1.2739e-05
í	0.875845	0.0293945	0.0319335	0.00240829	0.0206086	0.0212345	0.00874542	0.00589714	0.000369575	0.00356293
l	0.0355568	0.502911	0.0995982	0.0420911	0.0147713	0.0076391	0.014677	0.0153074	0.0105167	0.256932
é	0.00337466	0.294253	0.389488	0.0232816	0.0648527	0.0346193	0.052569	0.0379804	0.00593421	0.0936469
w	0.000848943	0.539478	0.422085	0.0160716	0.00675762	0.00456254	0.00451785	0.00281615	0.00112217	0.00173976
ú	0.00215055	0.584607	0.308508	0.0782835	0.00867266	0.00469148	0.00398793	0.00230463	0.0021659	0.00462793
r	0.0118017	0.0991075	0.737696	0.109643	0.0183503	0.00616262	0.00591971	0.00481609	0.00108898	0.00541433
u	0.00428506	0.0942908	0.597579	0.144306	0.0404212	0.0182562	0.0403183	0.0252154	0.00152535	0.033803
o	0.00429765	0.108064	0.4087	0.257753	0.153862	0.0289865	0.0131781	0.0112375	0.00434684	0.00957428
k	0.000529558	0.00745089	0.0898101	0.759801	0.106442	0.0221564	0.00771326	0.00225752	0.00135693	0.0024825
w	7.52496e-06	4.35035e-05	0.00117607	0.98514	0.00710309	0.00203691	0.00141135	0.000405566	0.000613256	0.00206257
ε	0.000492983	0.00131316	0.0118212	0.931735	0.0295514	0.0164299	0.0043809	0.000705173	0.0010355	0.00253465
r	0.00212624	0.00159434	0.0281657	0.309863	0.363444	0.13315	0.0678909	0.0292185	0.00385208	0.060695
έ	0.0025714	0.00166203	0.0168499	0.75897	0.0658471	0.0649624	0.0347073	0.0106422	0.00326372	0.0405242
t	0.000143008	0.00057544	0.00790336	0.0556717	0.566496	0.201295	0.104504	0.0350542	0.00870406	0.0196535
s	0.0316075	0.00159044	0.00289659	0.111596	0.229676	0.285218	0.145497	0.0361408	0.0660749	0.0897029
έ	8.85639e-05	0.00017039	0.00133344	0.0409139	0.0985268	0.741932	0.0578012	0.00658686	0.0346817	0.0179652
n	0.000451977	0.000594543	0.00367461	0.0146042	0.153081	0.520611	0.156705	0.0250458	0.0189599	0.106272
g	0.000216685	0.000288103	0.00366464	0.0315927	0.193957	0.400733	0.209018	0.0590976	0.0276184	0.0738133
ε	0.000192405	7.00902e-05	0.000728548	0.00193917	0.0545746	0.875335	0.0324299	0.00576378	0.00750834	0.0214576
s	2.58284e-05	6.43216e-05	0.00044147	0.00170263	0.0229006	0.0586425	0.441028	0.302782	0.0314112	0.141001
á	0.000846441	0.000219274	0.00133258	0.0062584	0.025709	0.0875596	0.221952	0.150786	0.127767	0.37757
k	0.0002747	0.000228734	0.000589312	0.000610999	0.00891625	0.0162938	0.0224096	0.0732551	0.852807	0.0246151
ώ	0.000913655	5.32803e-05	0.000249072	0.00213463	0.0043221	0.0049259	0.0151241	0.025797	0.936932	0.00954823
</S>	0.00361606	2.29478e-05	7.52134e-05	0.00125234	0.00346839	0.0148105	0.0125776	0.0175308	0.922379	0.0242666
