 	son	discours	fut	bref	</S>
d	0.441433	0.51796	0.0394611	0.000422458	0.000723869
z	0.176034	0.778132	0.0254283	0.00499605	0.0154096
ú	0.00980685	0.977076	0.000252358	0.00680502	0.00605966
e	0.0100227	0.961708	0.000980238	0.0216658	0.00562329
l	0.135355	0.14175	0.0345037	0.0325058	0.655885
á	0.597893	0.0554226	0.129039	0.0218777	0.195767
w	0.757644	0.0613357	0.149302	0.0144425	0.0172762
a	0.266763	0.177197	0.312838	0.10703	0.136172
á	0.101821	0.0199745	0.70167	0.0360414	0.140493
d	0.0168002	0.01832	0.486343	0.367476	0.111061
z	0.00475213	0.00248563	0.0935789	0.231638	0.667545
a	0.0654157	0.0842954	0.090782	0.562113	0.197394
i	0.0220888	0.00909799	0.178562	0.337147	0.453103
k	0.0109427	0.0104891	0.0432558	0.616999	0.318313
ú	0.00353564	0.0109892	0.00635286	0.857851	0.121271
l	0.0152611	0.0258424	0.00211306	0.688249	0.268534
ú	0.0186708	0.0249659	0.0121943	0.67728	0.266889
</S>	0.00447117	0.00129385	0.0143682	0.0909801	0.888887
