 	la	femme	se	tord	de	douleurs	d'	accouchement	</S>
o	0.821564	0.100946	0.0442684	0.00760091	0.0105202	0.0084322	0.00595866	0.000389165	0.000321042
y	0.052756	0.936401	0.00420851	0.00183671	0.000624488	0.000385694	0.000439488	0.00135706	0.00199131
ú	0.769257	0.216245	0.00500578	0.00704154	0.000541618	0.000490894	0.000206697	0.000838042	0.00037337
r	0.831943	0.132516	0.00420172	0.00577982	0.0047385	0.00189466	0.00425691	0.000787361	0.0138821
u	0.817446	0.153013	0.0106953	0.00549401	0.00635555	0.0022776	0.001599	0.000485031	0.00263516
l	0.141436	0.0200361	0.72984	0.0152137	0.0227323	0.0152917	0.0204455	0.00313422	0.0318707
á	0.0869733	0.0058353	0.113535	0.107247	0.121643	0.0598946	0.113145	0.0180259	0.373699
a	0.513789	0.00877699	0.297964	0.0681737	0.0501951	0.0282273	0.0172296	0.00398152	0.0116636
b	0.0289741	0.0214526	0.193832	0.687212	0.024327	0.0109355	0.00301157	0.0091698	0.0210857
í	0.0155905	0.00465673	0.287436	0.553065	0.0936069	0.0189016	0.00737612	0.00203447	0.017333
n	0.0161875	0.000795251	0.1847	0.55253	0.0627551	0.057077	0.00883533	0.0126581	0.104461
d	0.0258423	0.000199795	0.130957	0.329509	0.342844	0.110826	0.0311437	0.00460734	0.0240705
á	0.0149158	0.000402443	0.0695603	0.347364	0.227315	0.147835	0.0511296	0.00736918	0.134109
l	0.0159611	0.000219932	0.0316004	0.0647584	0.504017	0.265961	0.0938609	0.0170094	0.00661229
a	0.00898555	0.000181832	0.0169026	0.179059	0.205541	0.245039	0.150354	0.0425151	0.151422
k	0.0157876	0.00107972	0.00862951	0.17206	0.171047	0.317132	0.126472	0.12209	0.0657019
y	0.000737189	1.35616e-05	0.00623233	0.10295	0.0478708	0.379568	0.0100696	0.434134	0.0184249
ώ	0.000134955	3.65474e-06	0.00139364	0.0213953	0.0424239	0.283122	0.0238833	0.599133	0.0285098
r	0.000160758	3.67521e-06	0.00816103	0.0158977	0.148065	0.319667	0.145421	0.281589	0.0810355
ω	9.53892e-05	4.31418e-05	0.00322988	0.0644916	0.131627	0.214889	0.12924	0.112753	0.343631
y	0.00122275	1.43613e-05	0.00245174	0.00297728	0.103047	0.0998221	0.384312	0.0599983	0.346155
í	0.0568852	0.000528309	0.0217581	0.0198021	0.105372	0.0564245	0.277464	0.287024	0.174742
b	0.00909375	0.000338428	0.00186726	0.00562399	0.0120237	0.00997981	0.196797	0.582461	0.181815
ó	0.00417483	0.000229969	0.0140639	0.00499728	0.0237658	0.0450756	0.108271	0.727456	0.0719658
r	0.00049045	1.26457e-05	0.00730397	0.00643502	0.038717	0.0606969	0.138813	0.52413	0.223401
a	0.00473211	0.000190713	0.0099626	0.0424426	0.0531799	0.0900056	0.151408	0.174451	0.473628
</S>	0.00444007	4.25943e-05	0.00640718	0.00271812	0.0324939	0.0161233	0.165104	0.0582061	0.714465
