 	quand	ils	n'	avaient	pas	encore	d'	enfants	la	femme	restait	toute	triste	dans	la	maison	</S>
á	0.777539	0.144897	0.0261228	0.00139074	0.0120687	0.00181119	0.0153193	0.00960348	0.00840291	6.37485e-05	0.000292882	0.000408291	0.00085887	0.000526467	0.000619689	3.01138e-05	4.4335e-05
d	0.291419	0.0460769	0.377759	0.211886	0.0174805	0.0144148	0.0162844	0.00341046	0.0026725	0.00166091	0.00384303	0.00500177	0.0053675	0.00146897	0.000955417	0.000117711	0.000181724
z	0.165674	0.0366499	0.478889	0.184563	0.0142318	0.0558497	0.0208454	0.0103306	0.00259077	0.00600624	0.00286235	0.00684641	0.00504142	0.00189385	0.00145206	0.00054674	0.00572756
a	0.652237	0.0322974	0.147955	0.0430257	0.0297432	0.00661395	0.0150094	0.0148864	0.00885022	0.0329	0.000696854	0.00207407	0.00693013	0.00105405	0.0024934	0.001643	0.00158943
b	0.0597215	0.0948042	0.337543	0.0805288	0.0318893	0.0339093	0.0351708	0.00966499	0.0257401	0.00624931	0.0217421	0.0388946	0.0124949	0.0381929	0.0151753	0.00247066	0.155808
á	0.0113388	0.908892	0.00887102	0.00460421	0.0100016	0.00193353	0.00582045	0.0393445	0.00236882	0.000698271	0.000818459	0.000786408	0.00158959	0.00108388	0.000539339	9.20212e-05	0.00121695
a	0.0259441	0.853081	0.00627447	0.00126814	0.00719372	0.000389053	0.00481868	0.0921488	0.00147116	0.000902799	0.000581976	0.00034149	0.00118975	0.00122704	0.00130274	0.000153531	0.00171182
l	0.0110216	0.0236376	0.436433	0.319045	0.0498071	0.0367875	0.013664	0.00518458	0.00619594	0.00420428	0.04423	0.0206946	0.00458774	0.00844136	0.00231942	0.000416856	0.0133295
o	0.00601379	0.00568786	0.137498	0.396731	0.0280412	0.129518	0.0584914	0.0288992	0.0142887	0.028825	0.0323929	0.0426008	0.0252367	0.0230737	0.0128694	0.00175133	0.0280809
l	0.00113944	0.0018222	0.0470434	0.631327	0.0208884	0.08549	0.0150133	0.00423309	0.00524869	0.0145952	0.036288	0.0685077	0.0181945	0.019049	0.00268556	0.00529551	0.0231793
ó	0.00902689	0.00274782	0.181546	0.317822	0.110466	0.0397014	0.0579863	0.0194527	0.0297671	0.00228391	0.0420391	0.0579577	0.0286316	0.0257808	0.00772722	0.00430428	0.0627598
m	0.0162831	0.0273852	0.146708	0.0777687	0.279905	0.11002	0.10934	0.0676773	0.0873396	0.00327445	0.0134489	0.0158283	0.0103555	0.0145766	0.00584501	0.00159291	0.0126514
