 	pourquoi	tu	te	trompes	</S>
n	0.896875	0.0986835	0.0040376	0.000108598	0.00029544
ω	0.85719	0.138863	0.00305388	0.000142868	0.000750098
l	0.368707	0.562119	0.0369321	0.0268104	0.00543198
ó	0.1423	0.0483714	0.112589	0.0170646	0.679675
o	0.348983	0.255668	0.177924	0.0212503	0.196175
k	0.00110253	0.00223142	0.865912	0.12127	0.00948383
u	0.000271748	0.00129579	0.844585	0.10912	0.0447278
r	0.000710169	0.00201838	0.360973	0.57248	0.0638179
á	0.00296217	0.00439798	0.567788	0.128838	0.296014
á	0.0295128	0.0831768	0.275413	0.485101	0.126796
n	0.00528214	0.0387649	0.269695	0.521226	0.165032
d	0.0732475	0.0651918	0.239841	0.219793	0.401926
z	0.0116674	0.0288171	0.0604103	0.545088	0.354017
ó	0.00319032	0.0046743	0.0134266	0.774257	0.204452
r	0.00355265	0.00182004	0.0331259	0.336573	0.624929
o	0.000378908	0.000293159	0.00880113	0.269146	0.721381
m	0.000144781	0.000955276	0.0556314	0.069439	0.873829
ó	0.00180275	0.000417023	0.0213467	0.0519954	0.924438
n	0.0129186	0.009942	0.0255858	0.359009	0.592544
d	0.00745291	0.00305054	0.0465098	0.215021	0.727966
e	0.00253667	0.00397364	0.0230189	0.143608	0.826863
</S>	0.00019274	0.000240214	0.00161973	0.180129	0.817818
