 	va	chercher	les	allumettes	</S>
d	0.979298	0.0072933	0.0128675	0.000413213	0.00012806
z	0.913582	0.0566736	0.00550862	0.000988633	0.0232474
w	0.945308	0.0507461	0.00178756	0.000104139	0.00205471
a	0.933581	0.0375054	0.00284163	7.26214e-05	0.0259991
á	0.0773482	0.320428	0.0520384	0.000961759	0.549223
o	0.115236	0.667996	0.139945	0.00880382	0.0680189
y	0.013828	0.941329	0.0241383	0.01908	0.00162491
é	0.00518499	0.990151	0.00253738	0.000239852	0.00188674
n	0.0188408	0.863245	0.0199008	0.000844202	0.097169
g	0.0247758	0.869108	0.0752471	0.0108665	0.0200025
á	0.0455649	0.694204	0.0793329	0.0539696	0.126928
b	0.0195459	0.26512	0.596389	0.0934575	0.0254873
h	0.0058514	0.0368212	0.305367	0.549291	0.10267
ω	0.000666495	0.00452161	0.104961	0.855049	0.0348021
l	0.0011512	0.0395989	0.0898532	0.803857	0.0655393
ω	0.0013376	0.0177573	0.0215956	0.857404	0.101905
b	0.00246375	0.038362	0.281278	0.349906	0.327991
h	0.0438903	0.0581922	0.306163	0.465055	0.126699
ώ	0.00108031	0.00513678	0.0957442	0.683848	0.214191
l	0.000401235	0.0111441	0.102114	0.158396	0.727945
ώ	0.0140798	0.109545	0.163778	0.311531	0.401066
</S>	0.00167961	0.0872643	0.185964	0.106028	0.619064
