 	ils	tressent	des	boucliers	</S>
b	0.84403	0.0571599	0.041594	0.0302797	0.0269365
á	0.940571	0.0505289	0.00534867	0.0029216	0.000629468
a	0.942166	0.0554162	0.00095027	0.0003652	0.00110255
b	0.426182	0.328929	0.0891047	0.00607006	0.149714
á	0.170862	0.800855	0.0168276	0.000293798	0.0111622
a	0.110045	0.341076	0.336421	0.0413774	0.171082
b	0.00668773	0.433549	0.493845	0.00860533	0.0573128
ω	0.0410575	0.857566	0.0775074	0.00448666	0.0193828
n	0.00855051	0.661357	0.240621	0.0307108	0.058761
g	0.00844265	0.558431	0.286205	0.0836498	0.0632719
ώ	0.0297465	0.426038	0.105142	0.276558	0.162516
n	0.00294023	0.0707453	0.378451	0.389592	0.158272
g	0.000556103	0.0102026	0.028438	0.901838	0.0589656
u	0.00155474	0.0440874	0.0432224	0.837242	0.0738937
b	0.0001463	0.00111362	0.018046	0.748066	0.232628
h	0.00515048	0.00175726	0.0615047	0.344924	0.586663
a	0.0015952	0.0122589	0.0533838	0.372015	0.560747
</S>	3.28514e-05	0.00196067	0.0499302	0.0173548	0.930722
