 	le	guérisseur	a	crachoté	de	l'	herbe	mâchée	sur	le	malade	</S>
n	0.830886	0.157895	0.00298032	0.00246183	0.00217716	0.00120423	0.00132089	5.83768e-05	0.00022271	0.000353083	0.00042519	1.5713e-05
g	0.239675	0.757277	0.00270388	3.29827e-05	0.000200238	2.88046e-05	1.14228e-05	3.43644e-07	9.54067e-06	4.59463e-05	1.19259e-05	2.19964e-06
a	0.0327621	0.966331	0.000791435	2.22337e-05	2.90816e-05	1.79133e-05	6.40535e-06	1.34179e-06	2.75465e-06	1.09911e-05	2.39853e-05	6.23237e-07
n	0.270236	0.700055	0.0247152	0.000698297	0.000536315	0.000436922	0.000182871	0.000609805	0.000231885	0.000139416	6.4522e-05	0.00209328
g	0.204906	0.753894	0.0356601	0.000526182	0.000961192	0.000555307	0.000469355	0.0013531	0.000200057	4.79815e-05	8.27201e-06	0.00141806
a	0.108005	0.733302	0.139941	0.00212826	0.00205999	0.00154971	0.00087622	0.00507041	0.000844985	0.000405939	0.000175049	0.0056413
á	0.0247698	0.0240105	0.889504	0.0134704	0.0137363	0.00559583	0.00399676	0.00490431	0.00478422	0.00285669	0.000243282	0.0121282
m	0.0243692	0.0338296	0.570976	0.322894	0.019956	0.00797381	0.00218642	0.00108293	0.00509545	0.00485301	0.0017755	0.0050082
i	0.00466608	0.00479901	0.26349	0.571865	0.0603571	0.0541221	0.0111325	0.00293501	0.00566206	0.00478439	0.000603211	0.0155835
b	0.00414533	0.00513052	0.0783198	0.858191	0.0244803	0.0102749	0.00266526	0.00195811	0.00209983	0.00195263	0.00114545	0.00963726
h	0.000162603	3.25532e-05	0.00743634	0.974232	0.00723876	0.00464644	0.00143531	0.000911132	0.000982531	0.000390516	0.000106326	0.00242593
á	4.9776e-05	1.99095e-05	0.000955501	0.994013	0.00170214	0.00146541	0.000368018	6.80303e-05	0.000136848	0.000161887	2.81324e-05	0.00103115
m	0.00020996	8.44068e-05	0.00637028	0.900984	0.0257352	0.0291301	0.00793964	0.0116592	0.00173377	0.00141012	0.000553707	0.0141896
b	0.000704983	0.000352882	0.00763395	0.404862	0.214574	0.237444	0.10212	0.0145422	0.00695739	0.00291656	5.54348e-05	0.00783605
á	0.000384954	0.000284427	0.0157661	0.412411	0.166594	0.264971	0.100359	0.0170084	0.00408137	0.00274519	0.00022377	0.0151707
l	0.00689814	0.000993599	0.0214301	0.0208567	0.267379	0.290752	0.264788	0.0979979	0.0153828	0.00812579	0.000454091	0.0049411
e	0.00109153	0.000114105	0.00465569	0.0196467	0.116973	0.390711	0.161581	0.163157	0.0436301	0.0137867	0.00238	0.0822725
t	0.00119612	0.000151751	0.00296356	0.00800706	0.0765173	0.322349	0.222095	0.274201	0.055423	0.0114241	0.00658024	0.0190916
s	0.00130875	3.0836e-05	0.0014126	0.00852486	0.0665024	0.245229	0.163355	0.419009	0.0530325	0.0048408	0.0231042	0.0136499
a	8.61988e-05	5.56673e-06	0.000260052	0.00959123	0.0246223	0.0929524	0.135959	0.672323	0.0272746	0.00455509	0.0171943	0.0151765
t	0.000209485	3.02036e-05	0.00244896	0.0150636	0.0252569	0.0795955	0.189435	0.527392	0.0361089	0.0105799	0.00848471	0.105394
s	0.000147671	5.64371e-06	0.000535913	0.00370749	0.0213724	0.0591047	0.109919	0.693259	0.039186	0.00303685	0.0117996	0.0579251
a	0.000361257	8.0347e-05	0.00146486	0.0202912	0.0221212	0.0914314	0.194832	0.409199	0.0748991	0.0160406	0.00913012	0.160149
e	0.000596215	5.30703e-05	0.00144173	0.00570442	0.0208855	0.0543485	0.141498	0.256821	0.210025	0.0934678	0.0336438	0.181515
m	0.000346857	2.31829e-05	0.00330514	0.00196678	0.01655	0.0199218	0.0276231	0.0106514	0.488892	0.283096	0.0731547	0.0744691
ó	0.00109356	0.000111755	0.00437093	0.00324826	0.0120737	0.01544	0.0459651	0.0363176	0.408376	0.285829	0.0090101	0.178164
o	0.000265286	0.00016369	0.00530803	0.00768766	0.0109049	0.0147835	0.0160532	0.00329749	0.256791	0.44471	0.168287	0.0717477
k	4.65695e-05	6.93516e-05	0.00732664	0.0108678	0.00621106	0.00472849	0.00429325	0.00251637	0.141403	0.186337	0.557737	0.0784631
ω	2.39662e-06	2.96124e-06	0.00015101	0.00419199	0.00159787	0.00191003	0.0011689	0.000770645	0.0176612	0.0463742	0.905283	0.0208863
n	5.05613e-05	4.90293e-06	0.00011382	0.000596001	0.000355975	0.000824149	0.000865988	0.000557847	0.00313378	0.00355025	0.98689	0.00305683
í	0.00039834	0.000128038	0.000218651	0.00446551	0.00256011	0.00609543	0.010664	0.0100137	0.0470426	0.0294785	0.823863	0.0650718
</S>	0.00204253	0.00016024	0.000797675	0.000955301	0.0133398	0.0137171	0.0423683	0.0802798	0.194477	0.169404	0.167961	0.314497
