 	je	sais	lire	la	langue	mbochi	</S>
n	0.923626	0.0565009	0.00317528	0.0107289	0.00428945	0.00155668	0.000122946
g	0.997933	0.000860549	0.00025238	0.000699738	0.000103683	0.000144132	6.5572e-06
á	0.98586	0.00971447	0.00189733	0.00136515	0.00039221	0.000751228	2.0011e-05
l	0.444594	0.179283	0.0392164	0.0508335	0.0275547	0.0553866	0.203132
í	0.632149	0.129625	0.0229363	0.0223508	0.0135881	0.11068	0.0686715
i	0.179537	0.212219	0.181602	0.130124	0.0693575	0.0286836	0.198477
y	0.0031475	0.935236	0.0518002	0.00279627	0.00134025	0.00114255	0.00453753
é	0.00496326	0.646248	0.338638	0.00491702	0.00121962	0.000147826	0.00386684
b	0.00945768	0.636082	0.20246	0.0786082	0.0240656	0.00486349	0.0444631
h	0.00598058	0.737868	0.216532	0.0334609	0.0044022	0.000269649	0.00148651
á	0.0146884	0.240612	0.0987132	0.333438	0.111912	0.040347	0.16029
o	0.0221632	0.0922963	0.278391	0.495943	0.0863925	0.0196729	0.00514098
t	0.00354663	0.0539471	0.604236	0.223583	0.0759572	0.0259059	0.0128237
á	0.00016227	0.0493995	0.647222	0.176781	0.0925877	0.00773917	0.0261077
n	0.000479066	0.100429	0.444838	0.279107	0.0917254	0.00587063	0.0775509
g	0.00784318	0.0340619	0.352432	0.467508	0.0790377	0.00552501	0.0535915
á	0.0578667	0.0115703	0.16989	0.421945	0.25244	0.0409504	0.0453376
e	0.00233347	0.012004	0.0186421	0.162319	0.61838	0.12813	0.0581914
m	0.00172875	0.00728933	0.0258427	0.0539191	0.606164	0.204557	0.100499
b	4.22978e-05	0.00102827	0.000368248	0.00445084	0.0407013	0.873313	0.0800958
ώ	6.27731e-06	0.000239561	0.000871675	0.00349924	0.0224283	0.962125	0.0108299
s	8.33947e-06	0.000959368	0.00114924	0.0159131	0.0467568	0.856706	0.0785068
í	4.93474e-05	0.000705905	0.00434062	0.0498968	0.24068	0.0538879	0.650439
</S>	0.000175611	0.00153908	0.00143595	0.0122179	0.0375279	0.153627	0.793476
