 	la	mère	a	levé	la	main	sur	son	fils	car	celui-ci	mange	goulûment	</S>
n	0.771613	0.0587983	0.00465279	0.0109583	0.0146321	0.0513794	0.0190307	0.0205946	0.00704766	0.0138509	0.02608	0.000564098	0.000578783	0.000219025
g	0.577702	0.36736	0.0159914	0.00220833	0.0123401	0.000294875	0.00198986	0.0107797	0.00353004	0.00264457	0.00443972	0.00045429	0.000223077	4.20707e-05
ó	0.0315186	0.965721	0.000217358	0.000157011	0.000691933	4.50951e-05	9.3749e-05	0.000514287	0.000699836	4.77466e-05	0.000165318	6.07433e-05	5.26134e-05	1.42535e-05
o	0.0704505	0.875756	0.0069508	0.0122095	0.0192644	0.00285951	0.000698377	0.00452775	0.00261478	0.000358994	0.000856691	0.000694536	0.00104214	0.00171627
á	0.0208647	0.00151514	0.353527	0.272374	0.255622	0.0305668	0.0114268	0.0077507	0.0073627	0.00859841	0.00610807	0.00906189	0.00051926	0.0147033
b	0.0126888	0.00899013	0.0852639	0.232477	0.238461	0.340312	0.0137076	0.00378883	0.00261006	0.00297212	0.00527755	0.0252008	0.0101178	0.0181325
έ	0.00242375	0.000209079	0.0186172	0.104589	0.135823	0.609959	0.0642024	0.011316	0.0130171	0.00956181	0.00917107	0.00846373	0.00180033	0.0108467
r	0.00878332	0.000500581	0.0872714	0.179964	0.192739	0.247226	0.112862	0.0228944	0.0375364	0.0214106	0.0184146	0.0274196	0.0066284	0.0363506
i	0.0203395	0.000197436	0.0791469	0.0758024	0.216987	0.180037	0.147442	0.0908039	0.0247748	0.0701927	0.0580264	0.0170762	0.00286168	0.0163117
m	0.00209152	0.0001426	0.155405	0.332129	0.115044	0.0552018	0.106489	0.0635985	0.0604389	0.0396221	0.0206705	0.0113562	0.00307652	0.0347336
w	0.000430034	2.80966e-06	0.00573853	0.0110444	0.0372416	0.00578916	0.169218	0.178378	0.561617	0.00748364	0.00989495	0.00481272	0.000382512	0.00796643
á	0.00184478	6.25341e-07	0.00771361	0.0309487	0.0132487	0.0135129	0.0304913	0.0515681	0.826616	0.00970571	0.00606779	0.00200534	0.000786407	0.0054899
n	0.0323485	1.08549e-05	0.0219438	0.223021	0.0256885	0.00367404	0.0133641	0.0568329	0.578334	0.0163056	0.0131131	0.000680261	0.000165565	0.0145175
a	0.0241316	6.03818e-05	0.0650248	0.121231	0.12239	0.00642698	0.0353577	0.124276	0.388714	0.00852663	0.0282642	0.0055195	0.000716857	0.0693601
t	0.00816412	9.69001e-05	0.0328435	0.0152231	0.0841785	0.0721239	0.338062	0.214133	0.0450131	0.097506	0.0740096	0.0128095	0.000401527	0.00543544
s	0.00215485	0.00013488	0.00356721	0.00541518	0.0264936	0.0501014	0.0959173	0.211539	0.0626481	0.308391	0.157341	0.0134439	0.0326718	0.0301803
í	0.000349191	1.60113e-06	0.000787034	0.00392569	0.00874017	0.0472438	0.121373	0.13919	0.0725461	0.381259	0.171146	0.0344229	0.00819991	0.010816
n	0.00645243	8.1615e-05	0.00537726	0.254722	0.0203058	0.0817462	0.0615299	0.0708369	0.0552275	0.307869	0.0569024	0.0112861	0.0249668	0.0426957
a	0.00874186	0.000435297	0.0252966	0.145885	0.0233684	0.00433498	0.043598	0.175929	0.137856	0.127115	0.137089	0.0212092	0.00918408	0.139957
a	0.000557657	6.64933e-05	0.0142142	0.00709347	0.0168283	0.00417204	0.0678069	0.131281	0.0598885	0.382746	0.174263	0.121354	0.00463377	0.0150941
d	0.000196803	7.07345e-05	0.00493857	0.00552818	0.0241639	0.0157482	0.0883425	0.0632898	0.0233298	0.0741322	0.0861616	0.571022	0.0141355	0.0289405
í	0.000106592	4.66192e-06	0.00207491	0.00371617	0.00678064	0.000488419	0.0653538	0.0719165	0.0466056	0.00646191	0.0246023	0.536949	0.0239878	0.210952
l	0.000518019	3.28827e-06	0.0049736	0.00454711	0.0078626	0.00112468	0.0602011	0.0581476	0.0164164	0.0535835	0.0371768	0.552565	0.0671209	0.135759
i	0.000109695	3.02151e-06	0.00159115	0.00393442	0.00429217	0.00169408	0.0215898	0.0188706	0.00600644	0.0238953	0.0224044	0.537046	0.0429861	0.315577
d	0.000220288	2.74183e-06	0.00125674	0.000617372	0.00139497	0.0018258	0.0135133	0.0215238	0.00863562	0.0240109	0.0336998	0.353399	0.413243	0.126656
z	1.53443e-05	2.00282e-07	0.000747826	0.000809491	0.00165602	0.000114717	0.00841184	0.0163117	0.00653054	0.000894718	0.00520265	0.388269	0.475855	0.095181
u	0.000218483	6.27046e-06	0.000480583	0.000159047	0.00208556	3.80114e-05	0.0154184	0.093546	0.039944	0.0010353	0.00806005	0.234018	0.556727	0.0482628
n	8.22448e-05	9.09491e-06	0.00012579	4.90058e-05	0.000512746	0.00012066	0.00434787	0.0123669	0.00963189	0.00465519	0.0113417	0.0813297	0.838612	0.0368149
d	0.000170319	1.24927e-05	0.00114105	0.000401381	0.00086415	0.000221999	0.00399985	0.0276004	0.0110986	0.019332	0.0213511	0.138429	0.649744	0.125634
z	3.41465e-05	2.21063e-07	0.000373732	0.000100031	0.00039168	8.66176e-05	0.00128776	0.00888726	0.00226735	0.00256418	0.00905593	0.0415234	0.828653	0.104774
á	0.000622941	9.72051e-07	0.00112005	0.000253644	0.00148506	0.000326139	0.00263064	0.0246032	0.0127482	0.0236388	0.11884	0.0710776	0.50671	0.235943
a	0.00478035	1.1922e-05	0.00489116	0.00193474	0.00635529	0.0010723	0.0156509	0.0503655	0.0140281	0.0529197	0.0799221	0.151172	0.136621	0.480274
</S>	0.000196494	1.03639e-05	0.00987098	0.0103974	0.0186525	0.014959	0.0644699	0.034037	0.00875241	0.0558564	0.0467667	0.28822	0.0727348	0.375076
