 	l'	année	dernière	je	suis	allé	à	abala	</S>
e	0.839975	0.149025	0.0027631	0.00518475	0.00202887	0.000134817	0.000737314	0.000135859	1.43831e-05
b	0.166303	0.821227	0.0065046	0.000928626	0.00121192	0.00162458	0.000408306	0.00109128	0.000700694
h	0.0110201	0.987788	0.000553574	4.56285e-05	6.07234e-05	0.00013113	0.000185362	3.14502e-05	0.000184279
a	0.0134834	0.980703	0.00264146	0.000668955	0.000500655	0.000440779	0.000606248	0.000192851	0.000762439
n	0.334091	0.618661	0.00527841	0.00481066	0.0122689	0.00342225	0.0145149	0.00052913	0.00642321
á	0.26186	0.689188	0.0103998	0.0132967	0.00531694	0.00252432	0.00779349	0.000308309	0.00931302
a	0.46164	0.369509	0.0838326	0.0125806	0.0191415	0.0067344	0.0111137	0.000828516	0.0346199
y	0.27922	0.103078	0.274519	0.1001	0.0779603	0.0344184	0.039684	0.00892857	0.0820917
á	0.205805	0.033635	0.490458	0.137701	0.0619267	0.0345115	0.00777794	0.000664027	0.027521
á	0.318073	0.0150884	0.267202	0.183865	0.0636468	0.0262657	0.0104711	0.00145668	0.113931
l	0.053051	0.00942997	0.512683	0.221693	0.127417	0.0259308	0.019448	0.00249061	0.0278574
e	0.0139992	0.00601639	0.577402	0.12184	0.0683916	0.0517993	0.0216827	0.00101511	0.137853
á	0.0677668	0.0141897	0.664232	0.0978667	0.0692359	0.0132771	0.0135713	0.00176278	0.0580977
n	0.0167128	0.00981027	0.238591	0.334635	0.283501	0.0457462	0.0354225	0.00496478	0.030617
g	0.0768832	0.00752073	0.216163	0.613445	0.0501794	0.00489176	0.0100194	0.000537475	0.0203604
á	0.00562614	0.0022895	0.370513	0.545487	0.0619868	0.00835239	0.00303903	0.000468292	0.00223794
l	0.00657233	0.00227034	0.153222	0.204047	0.370431	0.0604386	0.0751542	0.00469245	0.123172
a	0.00918091	0.00685962	0.225867	0.205159	0.173306	0.145781	0.0434957	0.00863893	0.18171
d	0.00743655	0.00572426	0.162653	0.160043	0.266279	0.220805	0.0333768	0.0166891	0.126994
z	0.00300775	0.00185446	0.123413	0.144381	0.177818	0.418148	0.0261658	0.00958463	0.0956275
w	0.00160588	0.000527971	0.00910705	0.0597209	0.0939221	0.796187	0.0159117	0.00177185	0.0212453
á	0.00137911	0.00106955	0.00914922	0.0564588	0.0852973	0.742268	0.0683015	0.00301484	0.0330619
a	0.0010172	0.000833217	0.00944772	0.0791095	0.159678	0.399693	0.227759	0.00951017	0.112952
b	0.00142656	0.00185498	0.0186632	0.0938173	0.227761	0.182235	0.328591	0.0527361	0.0929148
a	0.00244494	0.00490276	0.0698803	0.0222303	0.134702	0.270589	0.178263	0.205398	0.111589
l	0.000430992	0.00103091	0.0138142	0.0234363	0.0284122	0.123528	0.129576	0.510422	0.169349
a	0.000193247	0.00106906	0.0154829	0.0213489	0.0705847	0.174081	0.253181	0.250975	0.213085
</S>	0.000835358	0.00147331	0.024305	0.0292457	0.0939099	0.0946743	0.302203	0.224871	0.228482
