 	son	fils	est	un	grand	pêcheur	de	protoptère	s	à	l'	harpon	</S>
m	0.708729	0.241604	0.00869977	0.00639391	0.0233796	0.000889711	0.00572848	0.00226697	0.00059676	0.000711227	0.000939355	4.13976e-05	1.98649e-05
w	0.00745917	0.962004	0.0138128	0.00228369	0.00107485	3.78413e-05	0.00172763	0.00697701	0.00021775	0.00123628	0.00184209	4.58678e-05	0.00128081
á	0.0147918	0.981119	0.000979223	0.000711616	0.000409245	7.94285e-05	5.81693e-05	0.00161529	8.03556e-05	6.05524e-05	5.39115e-05	1.7988e-05	2.36287e-05
n	0.0638599	0.925722	0.00243612	0.00102064	0.000512781	2.77729e-05	0.00125667	0.00247861	0.000705106	0.000469862	0.000191711	5.11127e-05	0.0012674
a	0.143888	0.619852	0.0728756	0.0187884	0.00434061	0.000735984	0.00360007	0.0132696	0.00494425	0.00399738	0.00193444	0.000961986	0.110812
y	0.620398	0.141018	0.127549	0.057758	0.0232714	0.00157287	0.00920507	0.00146621	0.000907709	0.00542915	0.00602764	0.000467485	0.00492998
a	0.35947	0.0938864	0.302399	0.0931023	0.0195324	0.011098	0.0080466	0.0103124	0.0073373	0.0305568	0.0203211	0.00487967	0.0390583
w	0.481217	0.190703	0.16081	0.0927894	0.0213995	0.00253892	0.00943003	0.00400027	0.000843022	0.00754547	0.0108859	0.000568699	0.0172688
a	0.351799	0.0817519	0.127718	0.0586082	0.0362506	0.0112406	0.0516827	0.0608664	0.0379681	0.0634174	0.0477227	0.0383332	0.0326411
a	0.043918	0.0311995	0.471267	0.279597	0.0671882	0.0205002	0.0222057	0.00331528	0.00200639	0.0130969	0.0135521	0.00182246	0.030332
d	0.00209983	0.00423048	0.372931	0.328396	0.0744781	0.120949	0.0144977	0.00119139	0.00181388	0.0101767	0.0123562	0.00668483	0.0501941
í	0.00371701	0.00228214	0.203661	0.44608	0.0886388	0.0443845	0.018856	0.00331428	0.00219023	0.0154259	0.0128796	0.00104104	0.157529
o	0.00559079	0.00975118	0.0825065	0.233938	0.221612	0.144649	0.140124	0.0129944	0.0217954	0.0313844	0.014702	0.00230543	0.0786468
k	0.000666636	0.000378705	0.00564555	0.0372933	0.127788	0.718108	0.0213438	0.0208057	0.0521387	0.00262911	0.00120865	0.00604028	0.0059541
i	2.12607e-05	2.55049e-05	0.00150194	0.011274	0.0256166	0.905382	0.00345454	0.00089185	0.0303565	0.00121052	0.000221765	0.0116302	0.00841293
n	4.83774e-05	3.11505e-05	0.00508453	0.053372	0.142146	0.650349	0.0320593	0.0210843	0.0588852	0.0113512	0.00398778	0.00995243	0.0116494
d	0.00025757	5.32097e-05	0.00568157	0.0557148	0.10859	0.192224	0.174514	0.144408	0.238901	0.0321927	0.00200958	0.00265231	0.0428015
i	0.000783123	0.000153872	0.0179721	0.0799507	0.107722	0.0754952	0.104954	0.148791	0.221012	0.0674962	0.00632732	0.00537584	0.163967
a	0.00099625	0.000218786	0.00959654	0.0313121	0.0426691	0.0174704	0.411432	0.182214	0.120735	0.103935	0.0316735	0.0134998	0.0342476
n	0.00197402	0.000763705	0.0251507	0.0544266	0.0535841	0.0586851	0.0950831	0.041194	0.0907701	0.192842	0.157586	0.205971	0.021969
y	0.0102995	0.00545164	0.0168364	0.0399424	0.0466811	0.00500405	0.134569	0.275594	0.13739	0.108239	0.0650126	0.0209117	0.134069
ω	0.0051233	0.00315206	0.00397824	0.0192966	0.0333273	0.00208729	0.0653088	0.474587	0.261141	0.0570039	0.0257217	0.0255787	0.0236945
m	0.000512474	0.000997668	0.00192647	0.0149108	0.0429345	0.00571016	0.0612451	0.481021	0.240073	0.0403925	0.0417496	0.047928	0.0205994
b	0.00246961	0.000191661	0.000921653	0.00214875	0.00653682	0.00542209	0.0870176	0.309132	0.435939	0.0669984	0.0116578	0.0236732	0.0478915
ώ	0.000557479	4.00548e-05	0.00026785	0.00170637	0.0054238	0.000802274	0.0478083	0.354181	0.517029	0.0415528	0.00530713	0.00620715	0.0191173
o	0.000828173	0.000121034	0.000647986	0.00180857	0.00511126	0.000594646	0.247398	0.112236	0.0977699	0.364452	0.0512857	0.00824734	0.109499
n	0.00222815	0.000672898	0.0144224	0.0318797	0.0462586	0.0283073	0.0292486	0.00508314	0.0207089	0.0836048	0.105729	0.532216	0.0996409
έ	0.0107703	0.00245801	0.0105865	0.0398557	0.0505248	0.00341655	0.0377882	0.036575	0.0210753	0.0697407	0.143116	0.0369954	0.537098
</S>	0.000138131	4.60872e-05	0.000775938	0.00263932	0.00394104	0.00112724	0.0419249	0.0378227	0.0194989	0.139789	0.173292	0.0629735	0.516031
