 	cet	homme	est	devenu	pâle	à	cause	de	la	maladie	</S>
m	0.967557	0.0187872	0.00638995	0.000860052	0.000302819	0.00116347	0.00031614	0.00135667	0.00258842	0.000669345	9.07608e-06
o	0.792474	0.198401	0.00551584	8.17552e-05	7.32505e-05	0.000213789	0.000187522	0.000439236	0.00152316	0.000702458	0.000388212
r	0.620244	0.369465	0.00494567	0.00157033	0.000435709	9.23041e-05	0.000141689	0.000155666	0.000444798	0.00126739	0.00123744
o	0.423452	0.483791	0.0435662	0.000725472	0.00167198	0.00533486	0.00301624	0.00275358	0.00675612	0.00900904	0.0199244
w	0.781584	0.0469121	0.165758	0.0030321	0.000172095	0.000302144	0.0001346	0.00011832	0.000252831	0.000119455	0.00161456
ó	0.276441	0.0136124	0.504826	0.0684568	0.0345559	0.0303935	0.0155046	0.0153035	0.0154915	0.0114299	0.0139853
á	0.0222295	0.00610905	0.711297	0.144872	0.0137986	0.016642	0.00865453	0.00944456	0.00666766	0.00106541	0.0592198
m	0.0011118	0.00397243	0.0799499	0.804361	0.0560831	0.01392	0.0111085	0.0077189	0.00584177	0.00213288	0.0138
i	0.0209524	0.0911717	0.432518	0.167171	0.163781	0.0589669	0.030183	0.010787	0.00946897	0.00169447	0.0133055
p	0.00557888	0.0107781	0.024122	0.563323	0.354867	0.0227147	0.00819565	0.00245798	0.00193337	0.00101032	0.00501873
f	0.00125136	0.00595798	0.0185967	0.148154	0.72962	0.0548846	0.0208452	0.00411313	0.0011022	0.000846194	0.014629
ú	0.00105202	0.00404093	0.00309968	0.0494501	0.846617	0.0444004	0.0272453	0.0070951	0.00192612	0.00184319	0.0132302
m	0.0148591	0.00600421	0.0246914	0.0365796	0.653187	0.136167	0.0780582	0.0270668	0.00848608	0.00393365	0.010967
b	0.0664767	0.00393852	0.0309525	0.00662855	0.406649	0.156502	0.117596	0.0792403	0.0371402	0.0154414	0.0794343
á	0.0657738	0.00248582	0.0323342	0.00431372	0.26276	0.154853	0.104002	0.0903862	0.0419205	0.0248491	0.216322
l	0.00216586	0.000229049	0.0170232	0.0113571	0.126454	0.326907	0.247958	0.163696	0.078606	0.015664	0.00994023
a	0.000947124	0.000494764	0.00765134	0.0021891	0.0310915	0.189905	0.268104	0.130664	0.0784769	0.0957609	0.194715
n	0.00650847	0.00119483	0.0163461	0.000532139	0.00948337	0.138192	0.236948	0.167575	0.138298	0.22592	0.0590033
d	0.00637486	0.00252278	0.00359214	0.000258478	0.00119336	0.0376171	0.071536	0.118633	0.249432	0.372008	0.136832
z	0.00180976	0.000812832	0.00188662	0.000138059	0.00129864	0.0154671	0.055091	0.119106	0.235913	0.389329	0.179148
ó	0.000416508	0.00162416	0.00097956	4.03612e-05	0.00296741	0.0219144	0.0760735	0.136003	0.209925	0.300349	0.249707
r	0.00198634	0.00324628	0.0014873	0.000409524	0.00286409	0.0147136	0.020646	0.0453678	0.141187	0.603227	0.164865
o	0.00361929	0.00809782	0.00275929	0.000569596	0.0143943	0.0215616	0.0389128	0.0583425	0.0705874	0.574834	0.206322
b	0.00802195	0.00240003	0.0103712	0.00104785	0.00158511	0.0264638	0.0314295	0.0687236	0.110901	0.304902	0.434154
v	0.000886907	0.000138893	0.00407819	0.00356843	0.020278	0.0318066	0.0899403	0.201837	0.141577	0.324109	0.181779
ú	0.00481368	0.000336441	0.000825062	0.000768693	0.0125772	0.00720002	0.0146628	0.0690372	0.076272	0.701759	0.111748
a	0.00459914	0.000227244	0.000378136	5.5377e-05	0.00185289	0.0115433	0.0341063	0.121389	0.23955	0.388969	0.19733
</S>	0.00167807	0.00034643	0.00808072	0.00179233	0.00175028	0.0180369	0.0262752	0.107743	0.17717	0.145768	0.511359
