 	si	tu	te	lances	dans	les	fétiches	tu	t'	écartes	du	bon	chemin	</S>
w	0.691601	0.175438	0.0247217	0.00555509	0.0152193	0.020643	0.0173117	0.0271771	0.00949952	0.000234357	0.00321073	0.00519889	0.00408577	0.000104392
á	0.773931	0.105693	0.0386453	0.0271127	0.0293956	0.0175767	0.001668	0.00384844	0.00134666	2.11945e-05	0.000389122	0.000337414	3.12055e-05	3.94256e-06
á	0.443618	0.127357	0.0611746	0.0312963	0.0591206	0.0311629	0.0305464	0.0718971	0.0398503	0.00963852	0.0126557	0.00764829	0.00321787	0.0708172
n	0.234103	0.364363	0.0990767	0.0341049	0.0304378	0.019756	0.0164266	0.0254462	0.046007	0.0348512	0.0165296	0.0155925	0.00674093	0.0565645
ω	0.0275893	0.615124	0.0257272	0.157523	0.0292946	0.00783379	0.00828082	0.0277468	0.0917527	0.00046822	0.0024214	0.00072691	5.13235e-05	0.00545966
o	0.0239751	0.479553	0.177137	0.0930865	0.0699499	0.0157875	0.0161329	0.0187201	0.0412813	0.0282808	0.00732272	0.00137782	0.000292337	0.0271022
p	0.0407441	0.0876052	0.524714	0.1933	0.0766897	0.0227483	0.00683415	0.00214192	0.00378452	0.0319319	0.00286985	0.00076196	0.00207365	0.00380055
ώ	0.0337545	0.0497853	0.464474	0.122553	0.0786944	0.0521492	0.0351044	0.00811907	0.0051518	0.0638584	0.0125721	0.0130464	0.0144052	0.0463318
r	0.0825626	0.235616	0.223822	0.274197	0.0642696	0.0298147	0.0234224	0.0160074	0.0165864	0.00419436	0.00861568	0.00672168	0.00169995	0.0124715
í	0.144262	0.201637	0.253618	0.0537538	0.120039	0.0472474	0.0447275	0.0301089	0.010155	0.00468534	0.0190237	0.0161717	0.00290628	0.0516641
i	0.0189415	0.149977	0.138336	0.196743	0.240132	0.0886281	0.0481464	0.0319494	0.012835	0.00167146	0.0126993	0.0171858	0.00804365	0.0347108
n	0.00716992	0.0278155	0.153824	0.423188	0.242159	0.0845527	0.0280304	0.00922978	0.00932754	0.00142541	0.00483653	0.0028098	0.00206098	0.00356984
g	0.000892161	0.0441713	0.0366041	0.751752	0.0929471	0.00901983	0.00968552	0.00616261	0.045844	0.000253773	0.00125697	0.000359357	4.67098e-05	0.0010048
a	0.000236754	0.0317465	0.0118722	0.868471	0.0367262	0.00688312	0.00802482	0.00356764	0.0300964	0.000928008	0.000897241	0.000170573	9.19575e-05	0.000288033
n	0.00034705	0.0101979	0.037903	0.335493	0.202003	0.10974	0.13045	0.0342282	0.0859761	0.0296892	0.012715	0.001266	0.000379534	0.00961193
g	0.00690258	0.0139622	0.0854881	0.314798	0.214182	0.0844279	0.0736306	0.0251857	0.0447568	0.0113698	0.020194	0.00315397	0.00097286	0.100976
a	0.0102628	0.0850227	0.0504679	0.524402	0.115574	0.0344847	0.107525	0.0192904	0.0371232	0.00137589	0.00238873	0.000808079	0.00051565	0.010759
n	0.0027172	0.0303143	0.0754296	0.0442952	0.186642	0.200649	0.238805	0.101744	0.0884773	0.00636782	0.00806535	0.00573586	0.000717361	0.0100406
ω	0.0048499	0.0279008	0.0331321	0.214586	0.171928	0.0614424	0.099286	0.0976213	0.249019	0.00514662	0.00983162	0.00204011	0.000223891	0.0229925
o	0.000320112	0.00452757	0.0154334	0.0350568	0.157895	0.173846	0.234827	0.116531	0.125256	0.118241	0.00912004	0.0014131	0.000460446	0.00707244
d	0.000808103	0.000592667	0.00628502	0.00585938	0.0243538	0.0408276	0.0105049	0.00676442	0.0191026	0.8664	0.00886568	0.00224786	0.00452655	0.00286187
z	0.000400468	0.000253297	0.00108915	0.00111092	0.0321737	0.0618954	0.0107841	0.0069338	0.00697672	0.830252	0.0203047	0.00153212	0.000849747	0.0254442
ó	0.00451988	0.00428989	0.0178386	0.0103971	0.0896047	0.0598526	0.0258758	0.0167874	0.0159206	0.729158	0.0128432	0.000649224	0.000202958	0.0120599
n	0.000432172	0.000610518	0.0104922	0.00658554	0.0733816	0.0908088	0.0906661	0.0685546	0.0384207	0.217319	0.117867	0.0850573	0.057036	0.142768
í	0.000926751	0.00129837	0.0101568	0.0114895	0.0652748	0.0876392	0.120878	0.114799	0.130968	0.0777443	0.113095	0.023973	0.0191773	0.222579
í	0.000420536	0.00105928	0.00731828	0.00820557	0.0380098	0.0547408	0.0978857	0.152213	0.170485	0.0995294	0.173246	0.139607	0.0342256	0.0230546
</S>	0.00134772	0.0017676	0.00927325	0.00221955	0.0136192	0.0133997	0.00726171	0.028416	0.123711	0.387993	0.190668	0.102958	0.0876378	0.0297283
