 	les	adultes	ont	des	poils	pubiens	</S>
b	0.299444	0.686637	0.0108779	0.00241085	0.000549475	6.87956e-06	7.38368e-05
a	0.0358233	0.958254	0.0041982	0.000924992	0.000750815	3.96232e-06	4.43483e-05
r	0.00726595	0.988436	0.00157746	0.00231568	0.000281658	2.97302e-05	9.36524e-05
e	0.250719	0.729567	0.00821517	0.00325137	0.00200709	0.000399141	0.00584164
a	0.543774	0.128936	0.166053	0.0859287	0.0204267	0.00354547	0.0513352
m	0.0689567	0.138793	0.287375	0.387002	0.0437623	0.012968	0.0611428
w	0.0201064	0.0182498	0.272387	0.371643	0.268685	0.00259764	0.0463314
ε	0.0560284	0.0549154	0.0699306	0.580323	0.218165	0.00263642	0.0180012
á	0.01852	0.00288222	0.138984	0.240872	0.361846	0.0173008	0.219596
d	0.0117004	0.00251685	0.178152	0.432608	0.28231	0.044397	0.0483154
í	0.00318223	0.000216443	0.132546	0.25402	0.206468	0.0675072	0.336061
l	0.00407399	0.00129219	0.0867651	0.123562	0.0540303	0.310137	0.42014
a	0.00166394	0.00023204	0.0434912	0.186655	0.257901	0.167274	0.342783
t	0.0202091	0.00388462	0.0380319	0.0885499	0.0728237	0.573902	0.202598
s	0.0072709	0.00721513	0.0284456	0.0850993	0.0314193	0.788161	0.052389
w	0.000907734	0.000686651	0.00779835	0.0524427	0.0155997	0.87705	0.0455147
i	0.00115829	0.000495499	0.0110776	0.0713389	0.0439176	0.68409	0.187922
í	0.000461558	7.7897e-05	0.00604262	0.0121357	0.00570615	0.263088	0.712488
</S>	0.00218581	0.000313395	0.0224159	0.0397515	0.033946	0.0866444	0.814743
