 	le	chien	a	attrapé	l'	os	qu'	a	jeté	son	maître	</S>
m	0.937738	0.0573559	0.00136017	4.6668e-05	0.000613887	0.000321725	0.00122319	0.000376219	0.00074046	0.00016799	3.57483e-05	2.0104e-05
v	0.00443027	0.993839	0.0013108	1.83179e-05	0.000112884	2.83216e-05	1.97314e-05	3.34784e-05	3.38102e-05	2.35911e-05	1.49341e-06	0.000147984
á	0.000956937	0.998185	8.14726e-05	4.19939e-05	9.38187e-05	0.000454838	2.58803e-05	2.08055e-05	9.46088e-05	1.82691e-05	2.1385e-05	5.10893e-06
n	0.0466457	0.951469	0.000252058	1.74979e-05	7.02707e-05	0.000153797	5.11599e-05	5.55408e-05	4.60599e-05	3.74182e-05	7.63962e-06	0.00119401
d	0.169918	0.631033	0.0931176	0.00318653	0.0142121	0.0102623	0.0035909	0.00234917	0.000775993	0.000364544	0.00047303	0.0707163
é	0.132256	0.765241	0.0465868	0.00143056	0.00538045	0.00406157	0.00366952	0.00224886	0.000506519	0.000318596	0.000288599	0.0380121
á	0.0542176	0.0719252	0.754561	0.03471	0.0158366	0.00610345	0.00744465	0.0123348	0.00276032	0.00250111	0.000675948	0.0369292
m	0.0426418	0.0395233	0.539879	0.07413	0.0594458	0.0518526	0.00826611	0.0353859	0.0504011	0.023554	0.00862982	0.0662903
i	0.0711991	0.0238009	0.257395	0.376148	0.137656	0.0695277	0.00514099	0.0107597	0.00471895	0.00607268	0.00494021	0.0326409
p	0.00622444	0.0224616	0.0442556	0.815365	0.0208097	0.0581215	0.00154431	0.00296426	0.00820886	0.00148314	0.00489907	0.0136626
i	0.000465783	0.000488155	0.00984612	0.94537	0.014631	0.0135984	0.000596696	0.0013633	0.00259769	0.000862437	0.00447915	0.00570152
á	0.00797409	0.00110309	0.0365417	0.764604	0.0620676	0.0541627	0.00584699	0.00818288	0.014416	0.00830085	0.0193977	0.0174023
e	0.00713381	0.00220475	0.034019	0.0351272	0.350351	0.244131	0.205055	0.0778598	0.014586	0.0139708	0.00870941	0.00685334
b	0.00289271	0.00709915	0.00304845	0.145397	0.124683	0.568162	0.0367328	0.0224453	0.0532546	0.00875903	0.0204366	0.00709035
h	0.0029413	0.00365442	0.00201979	0.156664	0.0460165	0.665435	0.0176751	0.0180205	0.053316	0.00709879	0.0240213	0.00313805
e	0.000228553	0.00159514	0.000283922	0.0563179	0.0190488	0.823743	0.00359573	0.00938174	0.0510975	0.0050547	0.0226517	0.00700165
s	0.000892002	0.000583476	0.0020083	0.0100074	0.0714076	0.735345	0.0529903	0.0344945	0.0313606	0.00666125	0.0286024	0.0256471
é	0.00426356	0.000945404	0.00117158	0.0140122	0.110166	0.510601	0.129845	0.0729054	0.0176573	0.0140573	0.0437098	0.0806658
y	0.00974113	0.00067412	0.00446371	0.00154854	0.0583443	0.0695862	0.377388	0.274594	0.0729339	0.0624517	0.0298476	0.0384265
έ	0.0239921	0.000973279	0.00805395	0.00985636	0.0988733	0.100598	0.119333	0.216253	0.0428435	0.0761799	0.233836	0.0692076
έ	0.0066473	0.000174943	0.00201572	0.00100568	0.0277403	0.0297097	0.366807	0.241577	0.0404065	0.106423	0.139556	0.0379378
b	0.00150253	0.000357514	0.00142125	0.00150416	0.0126209	0.0222896	0.0332886	0.151959	0.3711	0.178177	0.170538	0.0552406
v	0.0019872	0.00114552	0.00168539	0.00151755	0.00858684	0.0308515	0.0225043	0.127994	0.531196	0.165691	0.0950843	0.0117552
έ	0.00138641	0.00101494	0.000134245	0.00118755	0.0035626	0.0505554	0.0105289	0.0801748	0.604787	0.177676	0.0480765	0.020916
έ	0.00044683	4.91976e-05	9.42138e-05	0.000115238	0.00417158	0.019808	0.0824172	0.124472	0.224328	0.119686	0.130939	0.293473
k	0.00122415	0.000206395	0.00146496	0.000318558	0.0141591	0.00622061	0.0288625	0.119985	0.289236	0.209834	0.0628039	0.265685
ú	0.000297798	0.000167565	0.000624828	0.00201545	0.00701243	0.0134542	0.00266447	0.0342696	0.352219	0.173616	0.348609	0.0650492
m	0.00291529	0.000630019	5.47131e-05	0.000112339	0.00350792	0.0285007	0.00111424	0.0113828	0.24169	0.0898216	0.476902	0.143368
ú	0.00911979	0.000984644	0.000602798	0.000190187	0.0307064	0.0329877	0.0586373	0.121177	0.133124	0.262736	0.225964	0.12377
</S>	0.00301252	3.00634e-05	0.00121842	0.000255025	0.0108981	0.00288309	0.0375626	0.0710337	0.0724084	0.116162	0.0443827	0.640153
