 	il	perce	l'	abcès	</S>
w	0.79851	0.0631902	0.126561	0.0113561	0.000382735
a	0.747516	0.0157778	0.102736	0.132698	0.00127284
l	0.299028	0.410633	0.267897	0.00436238	0.0180807
á	0.206068	0.125718	0.253181	0.0285897	0.386444
a	0.51019	0.115578	0.202524	0.0725547	0.0991543
t	0.0282076	0.832117	0.05951	0.0282995	0.0518659
ú	0.0162471	0.823009	0.0646161	0.0160839	0.0800434
b	0.0243351	0.507281	0.169355	0.0223272	0.276702
h	0.0387395	0.702718	0.119563	0.0497609	0.0892188
á	0.0428649	0.206282	0.143193	0.107425	0.500235
o	0.0439839	0.10791	0.344262	0.307247	0.196598
b	0.00660757	0.0122399	0.116931	0.750607	0.113615
i	0.00278807	0.0140836	0.0468629	0.90428	0.0319857
b	0.000537263	0.0287688	0.0135803	0.373696	0.583418
h	0.0131642	0.123146	0.0692796	0.289322	0.505089
a	0.00394262	0.0308111	0.0706475	0.0583423	0.836257
</S>	0.00571796	0.0170152	0.117434	0.0787914	0.781041
