 	les	eaux	du	fleuve	sont	agitées	</S>
ε	0.71613	0.244777	0.0357485	0.00212098	0.000617647	0.000452426	0.000153483
b	0.23777	0.71137	0.0379548	0.00517872	0.000866743	0.0031978	0.00366197
a	0.0510088	0.932898	0.0108925	0.00145465	0.00106841	0.00161895	0.00105886
a	0.0523064	0.737443	0.155702	0.0131995	0.00476965	0.0077227	0.0288572
b	0.319749	0.0915903	0.351743	0.0727331	0.0143506	0.00119354	0.14864
ó	0.0188439	0.0285169	0.287188	0.189052	0.20864	0.0357723	0.231987
y	0.1232	0.0518924	0.373735	0.190475	0.148978	0.0179584	0.093761
é	0.0934408	0.00923732	0.265075	0.445128	0.0974408	0.0361372	0.0535408
e	0.119352	0.00826597	0.37982	0.259822	0.079193	0.0429051	0.110642
t	0.00557479	0.00916733	0.0692486	0.189454	0.315957	0.232594	0.178004
í	0.00266351	0.0146855	0.0962401	0.0467918	0.0926084	0.570441	0.17657
n	0.00172601	0.00827136	0.0844126	0.0984336	0.150818	0.432699	0.223639
a	0.0214975	0.00914776	0.0918183	0.11693	0.162197	0.46355	0.13486
a	0.0175242	0.0087589	0.116994	0.104005	0.247756	0.308745	0.196217
</S>	0.0125788	0.00425529	0.0324201	0.0363255	0.184725	0.231911	0.497785
