 	c'	est	ma	soeur	aînée	</S>
é	0.60549	0.342945	0.0325622	0.00982506	0.00765298	0.00152513
d	0.171626	0.68965	0.0213447	0.0262771	0.0869929	0.00410916
i	0.133487	0.658189	0.0905012	0.0314689	0.0178559	0.0684977
ω	0.0604374	0.242662	0.112537	0.0664434	0.083327	0.434593
n	0.00984592	0.0947035	0.135796	0.60706	0.115338	0.0372573
y	0.0119444	0.110684	0.172966	0.465861	0.0720339	0.166511
ε	0.0300089	0.285249	0.329074	0.2581	0.0595096	0.0380581
b	0.0434038	0.159577	0.106922	0.140612	0.173916	0.37557
h	0.0996354	0.159875	0.135516	0.324435	0.156649	0.123891
í	0.0870647	0.113098	0.235217	0.318121	0.117623	0.128876
y	0.0608409	0.0403657	0.0754173	0.124949	0.530345	0.168082
a	0.087693	0.0457796	0.575039	0.0568892	0.0954655	0.139133
n	0.0485154	0.022832	0.381947	0.0933978	0.403404	0.0499039
g	0.0112995	0.00997446	0.574881	0.118872	0.169883	0.115089
á	0.00591805	0.00778871	0.564624	0.0656051	0.0690971	0.286967
y	0.0102339	0.00627494	0.0628295	0.0954434	0.350815	0.474403
a	0.0435084	0.0624318	0.419117	0.0478727	0.193495	0.233574
b	0.0067808	0.0104108	0.0764522	0.077861	0.381272	0.447224
o	0.00435091	0.0127113	0.0939548	0.0940448	0.725014	0.0699241
s	0.00105298	0.0127369	0.0555393	0.27805	0.417916	0.234704
ó	0.00282076	0.00924187	0.00740521	0.0513768	0.56358	0.365575
</S>	0.00552794	0.00553319	0.0227574	0.0101152	0.150777	0.80529
