 	il	a	allumé	son	briquet	pour	mettre	feu	à	la	brousse	</S>
w	0.933653	0.0402058	0.00837338	0.00218638	0.000693405	0.00378094	0.00519085	0.000455407	0.00183725	0.00265011	0.000941574	3.15049e-05
a	0.885136	0.0685935	0.00156717	0.00216147	0.000454072	0.0143306	0.01559	0.00239609	0.00332459	0.00497441	0.00143524	3.69828e-05
á	0.135301	0.668581	0.0824464	0.0411944	0.00527178	0.00808831	0.00887796	0.0229674	0.0175975	0.00876301	0.000463479	0.000448191
m	0.0253193	0.452847	0.37281	0.0601132	0.0251835	0.0077312	0.00346969	0.0183384	0.0104456	0.00664156	0.00126643	0.0158346
i	0.00947783	0.309821	0.395376	0.148342	0.0548034	0.0142187	0.00655058	0.0185086	0.011955	0.00796225	0.000926372	0.0220583
n	0.00138284	0.0422778	0.862157	0.0627101	0.0180958	0.00165957	0.00104805	0.0039527	0.00193678	0.000757251	0.000222611	0.00380006
a	0.002334	0.0516365	0.887023	0.0259596	0.0146515	0.00186985	0.00158605	0.00342976	0.00268341	0.000736207	0.000249664	0.00784093
m	0.000583606	0.0340929	0.372643	0.378177	0.103373	0.0167428	0.0135113	0.0133431	0.0253904	0.015994	0.00535178	0.0207971
í	0.0373043	0.0362138	0.134072	0.346591	0.123668	0.166913	0.0578308	0.0467722	0.022218	0.0118025	0.000938364	0.0156761
s	0.0195197	0.125718	0.036287	0.439698	0.191305	0.0599536	0.0555556	0.0320501	0.017796	0.0100057	0.00417836	0.00793272
á	0.00152216	0.0030847	0.00654296	0.108143	0.444695	0.238161	0.0743572	0.0409747	0.0227235	0.0185055	0.00309367	0.0381966
m	0.00625147	0.00662168	0.00536215	0.0482839	0.213146	0.245154	0.245274	0.0792447	0.0411967	0.0336328	0.0311496	0.0446832
o	0.00049311	0.000719282	0.00344698	0.10836	0.245937	0.104252	0.281418	0.171163	0.0256988	0.0098149	0.00240804	0.046288
r	0.000766068	0.00860982	0.019431	0.174952	0.34859	0.103888	0.117704	0.0979684	0.0584664	0.0130438	0.00513072	0.0514501
é	0.000910867	0.00315644	0.0248268	0.121432	0.347652	0.19788	0.115703	0.0339147	0.0454019	0.0218867	0.0108152	0.07642
m	0.00098807	0.011421	0.00957821	0.156256	0.288096	0.223977	0.0784177	0.143305	0.0353288	0.015172	0.00368395	0.033777
á	0.000682276	0.000743851	0.000462705	0.0188209	0.0544511	0.195351	0.139865	0.337824	0.0881087	0.0620016	0.00340952	0.0982782
w	0.00366093	0.00750021	0.00147996	0.016849	0.0879551	0.280084	0.215815	0.175783	0.0667424	0.0398806	0.0850629	0.0191869
a	0.00462092	0.00308467	0.00200609	0.0264885	0.0750672	0.342654	0.266002	0.0616645	0.0680201	0.07093	0.0260902	0.0533721
m	0.000416151	0.000888414	0.000440245	0.0197555	0.0682896	0.251369	0.236958	0.184639	0.0847129	0.0700218	0.0365014	0.0460085
á	0.00118345	0.00129804	0.000261929	0.00830034	0.0283377	0.173643	0.161086	0.309597	0.132448	0.0943452	0.00399798	0.0855018
m	0.000100923	0.00189806	0.0014535	0.0191242	0.0345945	0.198412	0.141859	0.18302	0.178488	0.143509	0.0657204	0.0318205
