 	sa	femme	est	bourée	de	dettes	</S>
m	0.901233	0.0696938	0.0147259	0.00572237	0.0046762	0.00358181	0.00036674
w	0.0356001	0.936469	0.017119	0.00830689	0.000935089	0.000164431	0.00140493
á	0.0346327	0.944142	0.00172269	0.0192978	2.69688e-05	0.000115526	6.28496e-05
s	0.772757	0.152481	0.0445865	0.0129689	0.00171946	0.000283665	0.0152041
í	0.255009	0.119471	0.19105	0.229196	0.0555675	0.00683945	0.142866
y	0.497391	0.108441	0.285844	0.00681053	0.0558977	0.0021046	0.0435114
a	0.379918	0.411823	0.127319	0.0286666	0.024756	0.00671809	0.020799
w	0.822126	0.0215547	0.122166	0.00309197	0.00861474	0.000428925	0.0220179
a	0.65551	0.0339265	0.0528582	0.0231109	0.0619225	0.0210025	0.15167
a	0.0796331	0.0318155	0.761157	0.0389627	0.0512503	0.0029873	0.0341939
d	0.0124337	0.00694762	0.312915	0.28588	0.143037	0.0196522	0.219134
i	0.0721364	0.0305331	0.395039	0.148636	0.0582468	0.00436301	0.291046
n	0.0426308	0.00348976	0.259927	0.133072	0.302879	0.0491043	0.208898
d	0.168275	0.0102149	0.376894	0.173165	0.11752	0.00544987	0.148482
z	0.0167851	0.00953418	0.185568	0.424467	0.208841	0.0238616	0.130943
ó	0.0219902	0.038139	0.121931	0.589636	0.0627074	0.057556	0.10804
r	0.00736167	0.00163981	0.0714203	0.375876	0.222671	0.0303827	0.290649
o	0.172105	0.00980676	0.120348	0.606988	0.0414146	0.00282657	0.0465106
a	0.0130534	0.000757784	0.319217	0.0634786	0.543358	0.00548192	0.0546535
m	0.00244156	0.000710797	0.0720812	0.0327832	0.573804	0.158575	0.159604
b	0.00190442	0.00158747	0.0346524	0.0179298	0.398714	0.234259	0.310953
e	0.00230718	0.00048738	0.0206575	0.0538927	0.191712	0.401428	0.329515
a	0.000650928	3.83909e-05	0.0147661	0.034176	0.153499	0.273828	0.523041
a	0.00460654	6.29303e-05	0.0125659	0.00198413	0.404634	0.194498	0.381648
m	0.00480789	0.0006175	0.0177177	0.00966123	0.279931	0.474604	0.212661
b	0.00257517	0.00481266	0.0258786	0.00623536	0.295603	0.351973	0.312923
e	0.000395704	0.000139811	0.000962545	0.00221398	0.0150621	0.928538	0.0526878
a	4.37843e-05	1.47505e-05	0.000833338	0.00402577	0.0259149	0.634575	0.334593
</S>	0.00319847	5.44942e-05	0.00770333	0.00292164	0.246541	0.0730459	0.666535
