 	c'	est	sa	maman	qui	encourage	cet	enfant	</S>
o	0.673675	0.223218	0.0819522	0.00476823	0.00502938	0.00114596	0.00994765	0.000110333	0.000153688
k	0.175457	0.181313	0.0276521	0.249767	0.0264286	0.318787	0.00360729	0.00794897	0.00903863
a	0.0224073	0.200181	0.0560796	0.00986105	0.00188893	0.687609	0.00228636	0.00140952	0.0182775
n	0.0558266	0.395981	0.170446	0.0465808	0.0237961	0.235557	0.0275609	0.00163696	0.0426153
d	0.473183	0.296667	0.131452	0.0230902	0.0176332	0.0212504	0.0070992	0.00212791	0.0274974
i	0.305133	0.255131	0.02008	0.0106564	0.0185512	0.0126252	0.0056732	0.00843339	0.363717
s	0.147388	0.301696	0.23623	0.0452972	0.140011	0.0148501	0.036813	0.00208638	0.0756278
i	0.0479651	0.0801667	0.64945	0.0105812	0.0331318	0.00843888	0.0518704	0.0116109	0.106785
m	0.0323654	0.0270808	0.643393	0.00404378	0.252599	0.00185515	0.0303274	0.00177107	0.00656508
w	0.0461254	0.0551863	0.232712	0.000997431	0.186776	0.00265102	0.114357	0.318065	0.0431295
á	0.0019212	0.00254158	0.0167754	4.69396e-05	0.00722434	0.00708462	0.00576589	0.951443	0.00719725
n	0.0782377	0.0631146	0.374546	0.000457326	0.12038	0.00625538	0.105098	0.236402	0.0155088
a	0.0284467	0.0326818	0.40142	0.00833156	0.157532	0.000723807	0.081113	0.272863	0.0168876
w	0.0258591	0.0272941	0.252231	0.0018023	0.398175	0.0303324	0.250208	0.00345515	0.0106423
ú	0.0599733	0.0790114	0.483316	0.00866431	0.122362	0.0727737	0.104974	0.0283347	0.0405902
u	0.0348662	0.0379286	0.0689484	0.000526165	0.118568	0.308892	0.112603	0.0366867	0.280981
a	0.0263469	0.0427664	0.0207374	0.000545003	0.111996	0.424578	0.130613	0.0457977	0.196619
d	0.0241938	0.0378649	0.0142693	0.00122358	0.0949874	0.352851	0.121547	0.142985	0.210079
i	0.01709	0.00994328	0.00361546	0.000154654	0.0323509	0.0858312	0.0606971	0.0321544	0.758163
n	0.00558736	0.00563193	0.0341446	9.52128e-06	0.0335895	0.145905	0.165975	0.0311466	0.57801
g	0.00171843	0.00203091	0.0422644	0.000243916	0.126731	0.019641	0.141592	0.322126	0.343653
ó	0.000397924	0.000396906	0.00899374	0.00181569	0.132478	0.0389678	0.172521	0.238382	0.406048
o	0.000246185	0.00157765	0.00922306	0.000786786	0.0730411	0.0984083	0.148705	0.0172284	0.650783
</S>	0.00152706	0.00503686	0.00320279	6.21967e-05	0.0469819	0.0516671	0.121234	0.00460138	0.765687
