 	la	manière	dont	il	boude	contre	moi	m'	intrigue	</S>
e	0.234223	0.625172	0.0315478	0.0525584	0.0124345	0.00690502	0.0226814	0.0123884	0.000791146	0.00129837
f	0.000451193	0.000367504	0.000366692	0.00301014	0.921516	0.0529105	0.00210342	0.00075021	0.01772	0.000804557
u	0.000418631	0.000184645	0.000418778	0.00179537	0.780376	0.162819	0.00266261	0.000952734	0.0475096	0.00286251
u	0.000137984	0.000140673	0.0013162	0.000321155	0.849768	0.116615	0.000622234	0.000164527	0.0141975	0.0167164
n	0.0123583	0.0195965	0.0393601	0.0261995	0.529287	0.201869	0.0144108	0.00944745	0.0265918	0.12088
g	0.0822554	0.0848467	0.0350999	0.0294964	0.33933	0.0971949	0.135507	0.101736	0.0531412	0.0413916
ú	0.0252633	0.0264614	0.0219689	0.00529233	0.599844	0.123999	0.0545635	0.0170295	0.0510646	0.0745133
l	0.049281	0.0398286	0.10438	0.00920976	0.146558	0.0568413	0.0105744	0.00334984	0.0354542	0.544523
ú	0.335237	0.234384	0.13322	0.0224593	0.0395288	0.025654	0.0148651	0.0132781	0.0378519	0.143523
y	0.0214326	0.0414799	0.406354	0.138059	0.130322	0.0602094	0.0133295	0.0116879	0.0218457	0.155281
e	0.128635	0.0756943	0.397238	0.0651511	0.157957	0.0520964	0.016717	0.0211937	0.0168575	0.0684598
e	0.13561	0.158553	0.145616	0.107666	0.180943	0.114868	0.0728728	0.03361	0.0161154	0.0341459
f	0.00371289	0.00260662	0.00211574	0.0234917	0.549232	0.219628	0.023546	0.00429978	0.0803641	0.0910034
u	0.00033561	0.000275322	0.000297792	0.00906424	0.476668	0.445281	0.00903217	0.000793843	0.025729	0.0325238
u	0.00029637	0.000779173	0.00310664	0.00999109	0.545181	0.353241	0.0158282	0.00254898	0.0124529	0.0565746
n	0.00275753	0.00426243	0.0225251	0.327122	0.170156	0.333702	0.0792725	0.0191907	0.0108007	0.0302111
g	0.0578757	0.0364599	0.0598	0.124142	0.142974	0.182729	0.314817	0.0606772	0.00830785	0.0122171
á	0.00644993	0.0345593	0.0503492	0.0339073	0.101463	0.104831	0.591003	0.0655258	0.00668844	0.00522341
w	0.00385263	0.00429569	0.0184329	0.119758	0.148345	0.325322	0.237392	0.0840749	0.0442029	0.0143246
a	0.00122061	0.00369517	0.0052105	0.381357	0.0913142	0.200179	0.182495	0.0805575	0.0450123	0.00895832
l	0.00079638	0.00143354	0.00726485	0.101877	0.0162056	0.0736697	0.491464	0.246983	0.0435297	0.0167754
a	0.00520962	0.00282702	0.00570537	0.0377881	0.193392	0.322808	0.225546	0.0594017	0.0485893	0.0987327
n	0.0318834	0.0260085	0.0122514	0.0440716	0.0249336	0.0887754	0.444241	0.214757	0.0690988	0.0439798
g	0.00172653	0.0042674	0.00164992	0.00126326	0.00931767	0.011362	0.763865	0.199591	0.00515303	0.00180435
á	0.000728751	0.0052299	0.00187829	0.00280152	0.0174049	0.024275	0.711481	0.212368	0.0101739	0.0136578
é	0.00329362	0.000945094	0.00441051	0.0380866	0.0338129	0.0848271	0.234708	0.393373	0.0915117	0.115032
m	0.00241145	0.0017903	0.000984287	0.0104373	0.145624	0.123016	0.131526	0.121733	0.363634	0.0988428
i	0.00887729	0.0225688	0.000389775	0.0102076	0.0274165	0.0356801	0.0373951	0.12512	0.469844	0.262501
k	0.00153005	0.000925131	0.000150073	0.000973488	0.0751329	0.0352366	0.0105992	0.00872983	0.329451	0.537272
á	8.88225e-05	6.29891e-05	7.52749e-05	0.000617241	0.127198	0.112884	0.007762	0.00313917	0.164384	0.583789
m	0.000336943	0.000353945	0.00198664	0.0108148	0.0489615	0.0903707	0.0402145	0.053063	0.29435	0.459548
b	0.00152876	0.00290823	0.000344715	0.00229874	0.0211705	0.031158	0.0407815	0.0681563	0.358132	0.473522
í	0.00296847	0.00310994	0.00108736	0.00735776	0.041073	0.0653886	0.0440235	0.0306883	0.166444	0.637859
s	0.0021405	0.000945829	0.00926234	0.0339188	0.00946108	0.0236814	0.084924	0.353957	0.115813	0.365896
á	0.0139161	0.00615171	0.00150458	0.00312287	0.0351058	0.0304092	0.0768361	0.182958	0.212946	0.43705
n	0.0397058	0.0196865	0.0143172	0.0453227	0.0213404	0.0343758	0.0903535	0.618062	0.0848735	0.0319621
g	0.00844282	0.00850781	0.00378687	0.000920982	0.00273263	0.00224631	0.1837	0.763045	0.0101155	0.0165024
á	0.000531244	0.00379255	0.00234169	0.000665501	0.00344636	0.00292247	0.284705	0.655993	0.00738117	0.0382211
a	0.00469044	0.00209293	0.00643314	0.0202905	0.00688706	0.0162339	0.0684974	0.589368	0.0733193	0.212187
y	0.00639366	0.00248823	0.00213094	0.011142	0.17333	0.10991	0.0316571	0.12614	0.302486	0.234323
έ	0.00181773	0.00158213	0.00588042	0.00676972	0.0282317	0.0134321	0.0239573	0.223232	0.0984306	0.596666
l	0.00154674	0.000902318	0.00308648	0.00411474	0.00774278	0.0035834	0.00723467	0.0318465	0.0275129	0.912429
i	0.0113054	0.00286708	0.00700522	0.0269781	0.0232903	0.0363589	0.142018	0.430053	0.096203	0.223921
</S>	0.00652686	0.00636917	0.0144272	0.0375787	0.010909	0.00813093	0.0535686	0.540563	0.0276459	0.294281
