 	un	essaim	d'	abeilles	traverse	le	village	</S>
o	0.853894	0.101331	0.0109985	0.0230266	0.00300295	0.00430583	0.00329811	0.000142847
l	0.266064	0.651225	0.0131051	0.0460676	0.0104047	0.00271199	0.00789578	0.00252616
ε	0.0965014	0.87506	0.00438524	0.00363155	0.0128971	0.000871514	0.000117345	0.00653565
ε	0.326402	0.52848	0.0487681	0.00789312	0.053298	0.00604476	0.0011201	0.0279944
m	0.210727	0.313854	0.312605	0.0265725	0.038725	0.0379721	0.00320615	0.0563379
á	0.112396	0.0619329	0.420217	0.355261	0.00225394	0.0263759	0.000345278	0.0212176
n	0.161483	0.0247834	0.433961	0.269438	0.0234214	0.042292	0.00453305	0.0400892
d	0.0579018	0.00574636	0.117028	0.77251	0.0114046	0.0154111	2.87269e-05	0.0199687
z	0.0181408	0.00430741	0.094916	0.822091	0.0357241	0.00597746	0.000419652	0.0184234
ú	0.00328711	0.00125297	0.0232228	0.958893	0.00464476	0.00156022	6.90144e-05	0.00707022
e	0.0542522	0.0166187	0.0823992	0.510859	0.0765366	0.026207	0.00302372	0.230103
b	0.0333367	0.0306928	0.21271	0.0228422	0.414185	0.247225	0.00729389	0.0317147
ó	0.0150136	0.0117637	0.093061	0.00918679	0.588432	0.221235	0.000385038	0.0609226
m	0.00986558	0.00371472	0.200622	0.00389309	0.195924	0.500592	0.00986269	0.0755263
ó	0.0561202	0.00806561	0.179995	0.171413	0.0228278	0.309703	0.0243672	0.227508
o	0.0983171	0.0342927	0.175079	0.0691602	0.29391	0.18868	0.0732926	0.0672674
k	0.00730684	0.0118552	0.0345165	0.0134401	0.792824	0.0722222	0.0312405	0.0365946
y	0.000816323	0.0174144	0.00508582	0.00261899	0.897479	0.0172162	0.0121038	0.0472651
é	0.0120466	0.0274995	0.0281937	0.0273515	0.826197	0.00722907	0.00895219	0.062531
n	0.00131916	0.00304483	0.0368227	0.0203056	0.45497	0.0895267	0.0827369	0.311274
á	0.00106748	0.00219395	0.00798117	0.0374163	0.652024	0.137929	0.0168996	0.144489
p	0.00215055	0.000713114	0.0195556	0.0179593	0.0265738	0.496923	0.289841	0.146283
o	0.000458002	0.000357514	0.000274335	0.000139582	0.0159338	0.00619874	0.962173	0.0144649
o	0.000102933	9.31844e-05	0.000196581	0.00014811	0.00239962	0.00132226	0.981183	0.0145538
</S>	0.00322266	0.00332158	0.0172302	0.00164067	0.0362454	0.2551	0.0182644	0.664975
