 	la	femme	a	accouché	hier	</S>
m	0.921531	0.0649463	0.0075817	0.00205703	0.00363881	0.00024483
w	0.00125824	0.995539	0.00298909	4.27012e-05	7.24362e-06	0.000163629
á	0.0483724	0.948428	0.00221899	0.000288399	0.0004122	0.000280284
s	0.666384	0.316246	0.00873612	0.00328894	0.000592699	0.00475195
í	0.218177	0.268263	0.146893	0.0202758	0.0178681	0.328523
á	0.504085	0.265657	0.201883	0.00765294	0.00315837	0.0175639
b	0.0469581	0.0536751	0.360659	0.395469	0.0209942	0.122245
ó	0.0118478	0.00583219	0.0859914	0.807771	0.0241989	0.0643586
r	0.0282795	0.00347157	0.131951	0.695327	0.0562202	0.0847501
i	0.218844	0.0204167	0.150968	0.400175	0.0888255	0.120771
l	0.0549892	0.00426799	0.318803	0.374771	0.156165	0.0910034
a	0.105167	0.00955625	0.171984	0.129972	0.178093	0.405228
a	0.168984	0.00261291	0.153958	0.0973308	0.285581	0.291533
p	0.00189652	0.000818348	0.0236551	0.103423	0.570512	0.299695
ó	0.000501465	0.000227777	0.00999904	0.0722279	0.6114	0.305643
a	0.00144646	0.000131527	0.0471199	0.207787	0.416065	0.32745
</S>	0.0135748	0.000361522	0.043012	0.0298924	0.375692	0.537467
