 	sers-moi	du	vin	dans	ce	gobelet	</S>
b	0.555282	0.132593	0.0125758	0.0751906	0.0529329	0.170744	0.000681682
o	0.723151	0.191945	0.0256213	0.0161444	0.034341	0.00684768	0.00194982
n	0.836931	0.0671589	0.0316122	0.00352263	0.00159524	0.00685372	0.0523265
g	0.561656	0.335134	0.0167021	0.0194126	0.0290464	0.00575921	0.0322896
á	0.536066	0.335975	0.0324657	0.0234776	0.0284302	0.00159222	0.0419937
n	0.0091011	0.920728	0.0235899	0.0189892	0.0143386	0.00195176	0.0113011
g	0.00628775	0.889606	0.0252613	0.0140912	0.0406711	0.000216303	0.023866
á	0.0289517	0.874307	0.0492268	0.00807951	0.0174645	0.000860206	0.0211107
a	0.00129271	0.618854	0.159871	0.104589	0.086336	0.00846595	0.0205912
l	0.0100039	0.120908	0.66937	0.140968	0.0373947	0.00703076	0.0143251
ω	0.00460806	0.0708756	0.405589	0.312831	0.086661	0.0115395	0.107896
i	0.00966361	0.047437	0.681636	0.0750894	0.0407649	0.0915903	0.0538187
s	0.00150463	0.0194477	0.126638	0.425548	0.149652	0.0885282	0.188682
á	0.00239709	0.0597817	0.089774	0.206668	0.233993	0.0149114	0.392476
k	0.000478828	0.0256447	0.0198557	0.126005	0.424037	0.252553	0.151425
ώ	0.000558976	0.00283788	0.00547189	0.0104489	0.00907082	0.956793	0.0148189
b	0.000142419	0.00255511	0.00357617	0.00565046	0.00714441	0.963202	0.0177294
h	0.000754395	0.0296015	0.0374061	0.0580283	0.0321128	0.582312	0.259784
i	0.00429689	0.0215304	0.00675954	0.0367432	0.0257735	0.833196	0.0717008
w	0.000165019	0.0156156	0.00166245	0.128445	0.129658	0.113173	0.61128
ó	0.00122659	0.102436	0.0351447	0.111312	0.341073	0.197887	0.21092
</S>	0.000487615	0.0175841	0.0265755	0.125917	0.173711	0.0726542	0.583071
