 	beatsanyi	presse	les	mamelles	avant	de	faire	têter	l'	enfant	</S>
b	0.931431	0.0123089	0.0145507	0.031899	0.00303132	0.00229933	0.00187533	0.000655131	0.00178612	8.1235e-05	8.20175e-05
e	0.487645	0.395661	0.087157	0.0209974	0.00374815	0.00142985	0.000386766	0.000423965	0.00117917	0.00111458	0.000257209
a	0.515651	0.314716	0.0715111	0.0464077	0.00868126	0.0124341	0.00276337	0.00108501	0.00584274	0.0167432	0.00416459
t	0.503398	0.181415	0.0874527	0.0182497	0.0277937	0.0368347	0.0153075	0.0210031	0.00530813	0.00114605	0.102091
s	0.497455	0.174603	0.102449	0.0587627	0.0205258	0.0547766	0.0474148	0.026672	0.00145642	0.00122737	0.0146581
á	0.467075	0.382444	0.0931423	0.0170074	0.00591812	0.0140816	0.0094078	0.00614531	0.000951329	0.000408804	0.00341832
á	0.350274	0.391322	0.0343859	0.00494683	0.000932226	0.00999327	0.0117693	0.0164322	0.00170962	0.00895311	0.169281
n	0.208594	0.400272	0.2554	0.0435058	0.00782182	0.0213717	0.0116075	0.012093	0.0135536	0.00553925	0.0202412
y	0.0221391	0.844544	0.0552153	0.00561485	0.000707242	0.00612418	0.00293328	0.00513448	0.00788527	0.0334277	0.0162749
i	0.0349199	0.664633	0.200031	0.0729767	0.00141243	0.00832535	0.00441374	0.00338176	0.00129252	0.00661927	0.00199407
l	0.0280909	0.633768	0.211529	0.0584542	0.0231286	0.0112803	0.00670458	0.00808007	0.0040827	0.00102766	0.0138549
á	0.167666	0.483377	0.154527	0.0344469	0.00714831	0.0212922	0.01685	0.0164152	0.00470846	0.00598566	0.0875829
a	0.0702259	0.235315	0.531274	0.0730827	0.0137983	0.0186659	0.0114463	0.0112631	0.0161082	0.00414853	0.0146719
b	0.00324195	0.182536	0.488767	0.171228	0.100247	0.0127974	0.00985294	0.0133585	0.00159586	0.00108607	0.0152894
h	0.00108761	0.107966	0.241153	0.545921	0.0770045	0.0121426	0.0061842	0.00410717	0.00093831	0.00142831	0.00206752
í	0.0033044	0.097512	0.148924	0.65703	0.0711716	0.0100842	0.0040284	0.00282073	0.000869922	0.00064083	0.00361386
n	0.0105667	0.0897951	0.364598	0.409869	0.0493401	0.0253791	0.0122675	0.0086357	0.00214138	0.000752253	0.026655
y	0.0186976	0.214759	0.571357	0.113996	0.00566634	0.0106826	0.007133	0.0108439	0.00455925	0.00298431	0.0393209
á	0.00316159	0.163088	0.570283	0.137012	0.0253903	0.027768	0.0168255	0.0154983	0.00788374	0.00449535	0.0285937
a	0.00561286	0.0460059	0.469863	0.119132	0.0359449	0.103221	0.039632	0.0288918	0.0443321	0.0316763	0.0756884
b	0.00263316	0.0168493	0.184113	0.291846	0.281682	0.122663	0.0375695	0.0220961	0.0140351	0.00460217	0.0219111
έ	0.000594625	0.00907276	0.0636899	0.659053	0.16079	0.0588845	0.03103	0.0140973	0.000393984	0.00081686	0.00157682
ε	0.000880063	0.0218567	0.140722	0.396817	0.119151	0.0984107	0.0236839	0.0203901	0.0114401	0.0963287	0.0703196
o	0.000916103	0.00267612	0.0384441	0.0678394	0.469199	0.258613	0.0968834	0.0335714	0.00637209	0.00284178	0.0226432
b	0.000222783	0.00169898	0.0163415	0.0346155	0.621386	0.180342	0.109448	0.0243516	0.00235792	0.000748766	0.00848747
o	0.00151921	0.00378044	0.0256503	0.159851	0.623852	0.0630553	0.0815626	0.0335474	0.0011657	0.000323202	0.00569255
s	0.000160039	0.00044844	0.00551821	0.0397751	0.829532	0.0591841	0.0451708	0.0114852	0.000288524	8.0999e-05	0.00835666
ó	8.11409e-05	0.000395722	0.00768596	0.0683604	0.52281	0.105206	0.158498	0.0673935	0.005216	0.000736488	0.0636168
b	0.000421201	0.00150243	0.0181232	0.0180607	0.0363608	0.305888	0.311165	0.196539	0.0433112	0.00262771	0.0660003
í	0.00269922	0.00828444	0.0412156	0.0218568	0.0081129	0.0972178	0.258987	0.445383	0.0221701	0.00225596	0.0918171
p	0.00218437	0.0062753	0.0283136	0.0245837	0.00335891	0.115075	0.373106	0.309936	0.0239418	0.0350922	0.0781329
έ	0.00283692	0.00129634	0.00869894	0.00269321	0.00213575	0.0724438	0.37208	0.409721	0.0378489	0.00212192	0.0881225
ε	9.29455e-05	0.000263921	0.00168361	0.0104653	0.0109139	0.116736	0.344142	0.368415	0.0485246	0.00317332	0.0955893
l	0.000519794	0.000648321	0.00740406	0.00314465	0.00448521	0.126498	0.252157	0.23184	0.2874	0.0299884	0.0559151
á	0.00020504	0.00124621	0.0110069	0.00279989	0.00331233	0.0720612	0.158721	0.322846	0.128263	0.00924347	0.290295
m	0.00209934	0.00206365	0.011022	0.00598283	0.000623472	0.020047	0.053182	0.0777909	0.669575	0.144806	0.0128075
w	1.64195e-05	0.000101643	0.000767642	0.00133676	0.000900781	0.00465477	0.0043028	0.00376167	0.0290894	0.947278	0.00779041
á	3.23961e-05	5.17187e-05	0.000254932	0.000548522	0.00043022	0.00126836	0.00202769	0.00161702	0.00103144	0.991205	0.00153278
n	3.70837e-05	0.000163239	0.000982258	0.00524829	0.000534467	0.00309773	0.00425421	0.00413582	0.051678	0.924468	0.00540084
a	0.00155605	0.0071132	0.00570633	0.00407407	0.00186986	0.0140919	0.0201404	0.0240689	0.0757368	0.802691	0.0429512
</S>	0.000922271	0.00104015	0.00370449	0.00328461	0.00204732	0.0666389	0.157299	0.235171	0.321092	0.0238032	0.184997
