 	ton	fils	est	réveillé	</S>
m	0.708358	0.272302	0.0153542	0.00211507	0.00187054
w	0.0127653	0.974275	0.00824679	0.00097104	0.00374189
á	0.00177906	0.998011	5.14602e-05	7.4259e-05	8.46375e-05
n	0.510762	0.479366	0.00241784	0.000345772	0.00710854
a	0.217544	0.568096	0.0109224	0.029825	0.173613
y	0.828478	0.0853353	0.0569161	0.0178488	0.0114218
a	0.612523	0.13855	0.131381	0.0373765	0.0801695
n	0.888412	0.087482	0.0147854	0.00373844	0.00558254
ω	0.911803	0.0702517	0.00493529	0.00877722	0.00423259
a	0.0494129	0.0745634	0.375579	0.160515	0.33993
d	0.0388	0.0423083	0.572265	0.235485	0.111141
í	0.00361457	0.00363589	0.0924778	0.213771	0.6865
o	0.0494317	0.0118511	0.247759	0.386964	0.303994
l	0.000733059	0.000482188	0.0404968	0.788867	0.169421
a	0.000601406	0.00058554	0.0813316	0.743649	0.173833
a	0.00230913	0.00282571	0.105307	0.41421	0.475349
n	0.00667832	0.00163119	0.129699	0.269063	0.592929
g	0.026128	0.0167213	0.0741714	0.453996	0.428983
á	0.138498	0.0144601	0.0808826	0.397128	0.369032
l	0.00572636	0.0080512	0.100432	0.231868	0.653922
a	0.00915108	0.00309333	0.0355206	0.464352	0.487883
a	0.0455475	0.00430412	0.115599	0.437709	0.39684
n	0.00521441	0.00164839	0.14011	0.533302	0.319724
g	0.0484712	0.0166711	0.0355501	0.250064	0.649244
a	0.0383645	0.00890449	0.0366278	0.518396	0.397707
</S>	0.000146205	0.000629797	0.00752734	0.153004	0.838693
