 	les	pécheurs	iront	tous	en	enfer	</S>
a	0.882629	0.0897782	0.0141649	0.00422114	0.00903412	0.000141023	3.14977e-05
n	0.0762635	0.901946	0.0109768	0.0058705	0.00212043	0.00177344	0.00104933
g	0.0243064	0.940608	0.0207637	0.00502793	0.00176152	0.0033096	0.00422321
a	0.0269959	0.960133	0.00744498	0.00199129	0.000546393	0.000626446	0.00226193
á	0.0550955	0.69625	0.0987753	0.0386139	0.0208968	0.0183612	0.0720068
a	0.090258	0.449694	0.186311	0.100815	0.0628765	0.0185512	0.0914935
s	0.0339491	0.343218	0.184933	0.228337	0.0968457	0.039077	0.0736394
ú	0.0100665	0.183152	0.47554	0.248697	0.0130928	0.0152367	0.0542157
m	0.0499286	0.0971073	0.70223	0.110701	0.0216268	0.00554121	0.0128653
u	0.0360043	0.0617083	0.615044	0.208826	0.0643164	0.00193979	0.0121603
á	0.00993299	0.0448892	0.180703	0.510045	0.210814	0.0157361	0.0278802
t	0.00874954	0.0235435	0.0998922	0.52309	0.279315	0.0371463	0.0282632
s	0.00175726	0.00637988	0.106968	0.482291	0.255138	0.0327747	0.114692
ω	0.00796622	0.010453	0.175222	0.367613	0.348134	0.0137558	0.076856
b	0.00526983	0.0106252	0.0842385	0.354204	0.397598	0.0419075	0.106158
á	0.122329	0.00976837	0.140021	0.256006	0.304222	0.0438672	0.123786
a	0.0285958	0.00211765	0.121544	0.318134	0.227653	0.088498	0.213458
d	0.00115799	0.00370734	0.00819758	0.122155	0.285697	0.510242	0.0688428
z	0.000214591	0.0021128	0.0139593	0.125989	0.290883	0.480884	0.0859582
w	0.00111204	0.00359926	0.0868558	0.23274	0.216611	0.32876	0.130323
á	0.00556893	0.00240054	0.060835	0.12015	0.252109	0.13029	0.428646
i	0.00161095	0.00318683	0.0244547	0.0634657	0.354011	0.339524	0.213746
b	0.00132435	0.00200473	0.004806	0.0155251	0.0559427	0.707358	0.213039
é	0.00189042	0.00211423	0.0186114	0.038432	0.250665	0.541596	0.146691
á	0.00016708	0.000215506	0.00555509	0.0358692	0.0860366	0.563499	0.308657
l	0.00616005	0.00490803	0.0241806	0.0324087	0.10529	0.243643	0.58341
á	0.00408411	0.00230891	0.0153908	0.0537745	0.1092	0.321252	0.493989
m	0.0046519	0.00479998	0.0362233	0.0489671	0.317562	0.211735	0.376061
í	0.00420348	0.00163833	0.0785341	0.0167369	0.123741	0.670147	0.104999
á	0.000961224	0.000527583	0.00834577	0.0155291	0.17174	0.410164	0.392733
</S>	0.00168871	0.0013233	0.0056685	0.0233633	0.0384718	0.14358	0.785904
