 	du	marché	il	est	passé	droit	à	l'	église	</S>
w	0.449087	0.424711	0.0954746	0.0136593	0.00441503	0.00165912	0.00647154	0.00366421	0.0003739	0.000484381
a	0.550794	0.376622	0.053943	0.00708578	0.00160206	0.00238374	0.0036054	0.00367785	0.000267168	1.86894e-05
l	0.262263	0.232645	0.460813	0.0139486	0.00532588	0.00859166	0.00639189	0.00674199	0.000704111	0.00257484
ó	0.0837639	0.111454	0.23006	0.11815	0.048158	0.0555098	0.0630523	0.0185213	0.00281393	0.268517
w	0.146545	0.188203	0.352422	0.0573915	0.0341495	0.0264195	0.0466915	0.035793	0.0107343	0.101651
ú	0.0268408	0.0598167	0.310609	0.247714	0.0470353	0.0938936	0.0870749	0.0334952	0.00375352	0.089767
r	0.057137	0.126225	0.560609	0.135106	0.0288906	0.0137291	0.0172302	0.0142077	0.00386428	0.0430013
a	0.35979	0.301152	0.0775641	0.101167	0.0172222	0.0232435	0.0340026	0.0603157	0.0102718	0.0152705
d	0.0232453	0.0170128	0.336321	0.313744	0.222632	0.0155955	0.0126336	0.00674834	0.00113695	0.0509302
z	0.0730572	0.186899	0.135197	0.374133	0.0686173	0.0421752	0.0278249	0.0263845	0.0144313	0.0512805
á	0.0468394	0.521713	0.0450723	0.22772	0.0586269	0.0468159	0.0116314	0.00587732	0.0202257	0.0154786
n	0.0262896	0.0794908	0.149265	0.500822	0.0449391	0.0415391	0.02359	0.0246615	0.0105084	0.0988948
d	0.0199114	0.161671	0.239793	0.172392	0.0695713	0.0215936	0.0354596	0.0619062	0.0881295	0.129572
e	0.0129553	0.0880163	0.175231	0.221484	0.207222	0.0332822	0.0223546	0.0282696	0.0842736	0.126911
a	0.023002	0.027436	0.185644	0.205387	0.238386	0.1389	0.103635	0.0322337	0.00391977	0.0414561
t	0.00390617	0.00288945	0.012114	0.129895	0.618395	0.163408	0.0335782	0.00604526	0.00135214	0.028417
ú	0.00155173	0.000546817	0.00213256	0.126681	0.175376	0.537987	0.0986127	0.019221	0.00478473	0.0331066
b	0.00594198	0.00177151	0.00542633	0.0747885	0.209478	0.390198	0.11847	0.0355595	0.0069174	0.151449
h	0.00884216	0.00129727	0.00335198	0.0459761	0.127489	0.369784	0.181813	0.093905	0.0501749	0.117366
ú	0.00252643	0.00473884	0.00655266	0.0496417	0.0383997	0.266966	0.23455	0.120825	0.0319028	0.243897
n	0.00100455	0.000686037	0.00284701	0.00855339	0.0214455	0.137196	0.363881	0.333427	0.0522836	0.0786757
d	0.00103378	0.00373547	0.000770969	0.0016636	0.00267298	0.0141233	0.0878205	0.454645	0.423732	0.00980237
é	0.000840021	0.00548013	0.000857169	0.000896052	0.00398543	0.0183127	0.125808	0.399179	0.426417	0.0182248
e	0.000541656	0.0010549	0.00152028	0.00309629	0.0112996	0.06039	0.255103	0.46926	0.0941512	0.103583
y	0.00183943	0.00092379	0.00316797	0.00321851	0.00475676	0.0420221	0.21106	0.409294	0.0526182	0.271099
á	0.0142958	0.0161039	0.00591291	0.00747238	0.00410016	0.0527483	0.17158	0.502437	0.126385	0.0989646
n	0.00205019	0.00293328	0.00184512	0.00238504	0.00153405	0.0254845	0.0833111	0.283562	0.51385	0.0830445
z	0.000116244	0.000552596	0.000243728	0.000361113	0.000887325	0.00144983	0.0202052	0.192198	0.76004	0.0239463
a	5.46506e-05	0.00038275	0.000141101	0.000224434	0.000534494	0.00136046	0.014657	0.130353	0.838553	0.0137398
m	4.52307e-05	0.000174457	0.000145419	0.00137951	0.00408629	0.0261555	0.142932	0.24933	0.405793	0.169959
b	0.00495713	0.00254434	0.00146449	0.000924764	0.00100714	0.011165	0.106424	0.199922	0.147798	0.523793
é	0.00568398	0.00370463	0.000698804	0.00115057	0.000460498	0.010512	0.0944137	0.127287	0.62073	0.135359
</S>	0.00238637	0.0008043	0.0011381	0.00235026	0.00256062	0.0168092	0.112391	0.130655	0.0167628	0.714142
