 	il	a	beaucoup	d'	appétit	</S>
w	0.729775	0.195067	0.0335139	0.0399623	0.000123433	0.00155906
a	0.732873	0.15099	0.0305825	0.0849532	0.000350696	0.000250588
a	0.235247	0.416252	0.164517	0.15561	0.00341771	0.0249565
d	0.0552944	0.366874	0.262455	0.239997	0.0272854	0.0480937
í	0.0119613	0.301461	0.415562	0.0641898	0.0166632	0.190163
l	0.00968901	0.0402413	0.1932	0.22294	0.103971	0.429959
a	0.0641511	0.0812312	0.33888	0.246841	0.0355808	0.233316
p	0.0377698	0.172004	0.323652	0.125211	0.308446	0.0329169
o	0.0177484	0.215769	0.197076	0.0205818	0.51357	0.0352544
s	0.00183489	0.0196257	0.134056	0.0545749	0.757975	0.031933
á	0.000387428	0.00877602	0.0791509	0.0164347	0.851513	0.0437382
ω	0.0364713	0.0291891	0.147879	0.467422	0.121096	0.197942
d	0.00230508	0.019858	0.179092	0.144291	0.476652	0.177803
z	0.000441423	0.00648328	0.127514	0.083353	0.477589	0.304619
á	0.00219886	0.00770007	0.110864	0.0720624	0.703739	0.103436
a	0.00182096	0.00246762	0.0444174	0.0713186	0.0867386	0.793237
</S>	0.00224854	0.00961548	0.0751458	0.113437	0.0616188	0.737934
