 	parmi	vous	cinq	quel	est	celui	qui	s'	est	plaint	d'	avoir	faim	</S>
s	0.73417	0.140827	0.0362598	0.0176578	0.0103011	0.0119478	0.0106136	0.0089035	0.00509508	0.0101788	0.0116426	0.00193987	0.000278741	0.000184547
á	0.0747861	0.0673162	0.0676815	0.126847	0.0816363	0.0960784	0.117919	0.042037	0.0458514	0.108856	0.0811321	0.0427291	0.0290516	0.018079
b	0.348448	0.0933752	0.268417	0.0753185	0.0191257	0.0246127	0.0626136	0.00690709	0.0083726	0.0229443	0.0162926	0.00363076	0.0487178	0.00122367
í	0.261792	0.402094	0.101731	0.0346712	0.0177923	0.0342445	0.00700368	0.0159216	0.00453948	0.0314256	0.0304151	0.0101101	0.0344301	0.0138295
n	0.22553	0.639624	0.0166075	0.0170472	0.00440892	0.0112705	0.00336056	0.0107602	0.00245899	0.0117651	0.0176972	0.00763006	0.0073835	0.024456
í	0.38072	0.26598	0.0404069	0.0479161	0.0106776	0.0241496	0.0117659	0.0245127	0.00989819	0.0511764	0.0317037	0.00662403	0.00781435	0.0866546
á	0.176609	0.339225	0.194785	0.0959466	0.0410536	0.01523	0.019413	0.0276692	0.0169394	0.0126306	0.0186685	0.0261443	0.00122564	0.0144606
t	0.0283643	0.0775588	0.526789	0.0633417	0.028162	0.0168198	0.0175827	0.0319345	0.0574569	0.0389425	0.0179303	0.0278164	0.00449331	0.0628077
á	0.0208863	0.0327675	0.683782	0.0608215	0.0286016	0.0224065	0.0156958	0.023134	0.0362383	0.0217963	0.01372	0.00959925	0.00800732	0.0225441
á	0.068418	0.0794854	0.238236	0.158105	0.065275	0.0408959	0.0283755	0.0324508	0.0387449	0.0252573	0.0195829	0.0236955	0.0186505	0.162827
n	0.0186497	0.0288783	0.0257062	0.224316	0.199704	0.100026	0.188507	0.0938743	0.0497994	0.0265235	0.0210174	0.0140736	0.00234399	0.00658057
i	0.00933327	0.115118	0.0285215	0.340534	0.104734	0.0490062	0.251474	0.0280657	0.00595171	0.0120167	0.0131892	0.00653625	0.00837973	0.0271398
o	0.00295329	0.0163523	0.0454463	0.158093	0.263407	0.100103	0.194765	0.0902703	0.0450954	0.0180588	0.023497	0.0215429	0.00282658	0.017589
k	0.000635162	0.00086012	0.0468332	0.0241517	0.120756	0.291483	0.103261	0.0899563	0.177921	0.066451	0.0246647	0.0191166	0.0251154	0.00879426
a	0.000359849	0.000568865	0.156051	0.0234489	0.0419916	0.210049	0.0541936	0.116384	0.158918	0.0825744	0.0429553	0.0268677	0.0341345	0.0515023
y	0.000421176	0.00239616	0.0821155	0.0424571	0.0490353	0.183974	0.0665943	0.199415	0.160627	0.0812085	0.0559058	0.0203053	0.00828065	0.0472635
i	0.00218821	0.000820799	0.101718	0.0871349	0.0550113	0.0879979	0.0876284	0.12847	0.157653	0.107332	0.0919077	0.0380206	0.0113977	0.0427195
n	0.00114724	0.00260965	0.00270865	0.03486	0.0647028	0.0680334	0.124286	0.224314	0.151364	0.105758	0.114073	0.063974	0.00666011	0.0355092
d	0.00637372	0.0217656	0.0215607	0.118315	0.04779	0.0626074	0.192208	0.124763	0.0400596	0.104892	0.0790663	0.0256208	0.0374414	0.117537
z	0.00116997	0.00473351	0.0122455	0.0601555	0.0542645	0.0550568	0.204748	0.109254	0.0687124	0.0851825	0.0547849	0.0242088	0.0591235	0.20636
a	5.48068e-05	0.000171404	0.0038317	0.0222224	0.027932	0.0709786	0.0935182	0.0436124	0.0624174	0.15127	0.113142	0.0247139	0.259078	0.127057
a	9.93798e-05	0.000618598	0.00569997	0.0262831	0.0286675	0.0514793	0.0562608	0.0762313	0.0666912	0.202245	0.156619	0.0425758	0.0302944	0.256235
á	0.00016614	0.00024547	0.000494046	0.00710838	0.012657	0.0161794	0.0250387	0.112349	0.0893835	0.234645	0.26829	0.184752	0.00593288	0.042758
d	0.00227575	0.00285366	0.0151117	0.00804033	0.0172811	0.0149541	0.0141475	0.0456495	0.124488	0.148945	0.0754152	0.367253	0.0559244	0.107661
z	0.000340113	0.000352038	0.00062116	0.001377	0.00519409	0.00497109	0.00323896	0.0134682	0.0548501	0.0747046	0.0235003	0.114675	0.0386277	0.66408
e	0.000749554	0.000445758	0.00185885	0.00810571	0.0208588	0.0242953	0.0230937	0.0191808	0.0992977	0.201927	0.0710574	0.0931172	0.313233	0.122779
n	0.000727792	0.000988815	0.000731702	0.00874294	0.0214212	0.0231252	0.0302849	0.0578754	0.0726008	0.129183	0.118457	0.24171	0.0634754	0.230675
d	0.00103854	0.00124899	0.00198257	0.00355809	0.00500048	0.00776002	0.00970339	0.0202471	0.0240657	0.123669	0.08313	0.101034	0.4096	0.207962
a	0.000178743	0.000536909	0.0017247	0.00328933	0.0039543	0.00317563	0.00993611	0.00514555	0.00635378	0.0214414	0.0196679	0.0428586	0.447006	0.434731
</S>	9.54183e-05	0.00010174	0.0014296	0.00240632	0.00671273	0.00849087	0.015007	0.0193398	0.0177014	0.0515311	0.0585045	0.0853984	0.128153	0.605128
