 	il	peut	travailler	davantage	</S>
w	0.860667	0.124454	0.00256994	0.0105166	0.00179285
a	0.890014	0.0654347	0.0103644	0.033604	0.000583161
a	0.712072	0.129532	0.115014	0.0123366	0.0310454
s	0.0981649	0.487825	0.221026	0.0459881	0.146996
á	0.0560857	0.312932	0.263009	0.00568686	0.362286
a	0.139001	0.116186	0.333504	0.0268576	0.384452
l	0.244773	0.231423	0.413297	0.0544774	0.0560302
á	0.171422	0.161136	0.407359	0.0232753	0.236807
a	0.49329	0.131884	0.216901	0.0858979	0.0720268
b	0.00655946	0.210625	0.489119	0.250786	0.0429101
h	0.0093672	0.748483	0.0252502	0.159242	0.0576578
e	0.00120153	0.860593	0.0169931	0.0654747	0.0557379
r	0.00861746	0.211427	0.139792	0.204026	0.436138
á	0.0247278	0.192061	0.0945443	0.125866	0.562801
o	0.046026	0.0214866	0.282478	0.4475	0.202509
b	0.00613697	0.0397214	0.231	0.512669	0.210473
v	0.00329698	0.171266	0.0386417	0.656585	0.130211
ú	0.00627996	0.284124	0.0230989	0.568109	0.118389
r	0.0111223	0.00797633	0.0423035	0.266971	0.671627
á	0.0268341	0.0173658	0.0706477	0.30039	0.584763
ω	0.0279798	0.0103121	0.0922546	0.370926	0.498528
s	0.0167627	0.0207703	0.449092	0.176011	0.337364
á	0.00287218	0.0102509	0.567373	0.0737549	0.345749
l	0.00281193	0.00155459	0.144833	0.0943803	0.75642
a	0.00232513	0.00736919	0.118094	0.103502	0.768709
o	0.00330922	0.00381453	0.0709644	0.189526	0.732386
y	0.00598755	0.0406739	0.21408	0.2293	0.509959
í	0.00284321	0.00685042	0.538931	0.038041	0.413335
í	0.000956188	0.00116287	0.148211	0.0793224	0.770347
</S>	0.00452787	0.00670687	0.141869	0.170285	0.676611
