 	cette	femme	a	une	bonne	audition	car	elle	a	entendu	tout	ce	qu'	on	a	dit	</S>
o	0.707179	0.0224876	0.0066221	0.00702561	0.0526289	0.0309814	0.0509033	0.029307	0.0073181	0.0179294	0.00864566	0.00579479	0.0151202	0.032232	0.00540484	0.00018844	0.000231227
y	0.044463	0.928022	0.00460299	0.00131812	0.000703496	0.00255257	0.0017641	0.00100824	0.000747131	0.00367627	0.000842849	0.00127305	0.000840296	0.000949128	0.00209154	0.00273097	0.00241378
ú	0.73882	0.252018	0.000680572	0.00342387	0.000418586	0.00149389	0.000821111	0.000427046	0.000515297	0.000276069	2.54227e-05	0.000170889	7.91424e-05	0.000257149	0.000124514	0.00016866	0.000280025
r	0.863805	0.110986	0.000319779	0.00155907	0.000641343	0.000805029	0.00132062	0.0015898	0.00685454	0.000215708	0.00050797	0.00460618	0.000559918	0.00135291	0.00159251	0.00157973	0.0017037
u	0.850973	0.0165623	0.00990582	0.0144418	0.0110265	0.0188236	0.0105313	0.0144127	0.0132879	0.00363324	0.00234894	0.00652141	0.00381764	0.00497801	0.00719917	0.00607035	0.00546586
w	0.0617757	0.0666939	0.509725	0.116495	0.0399378	0.0227493	0.0259109	0.0180692	0.0185333	0.00325419	0.0112624	0.0079603	0.0162208	0.0220929	0.0161702	0.00858104	0.0345678
ó	0.130439	0.00907084	0.159798	0.110081	0.0466391	0.0648021	0.0623827	0.0420911	0.0239485	0.0142541	0.0382714	0.0389816	0.0633023	0.0325286	0.0420852	0.0252961	0.0960284
a	0.0332626	0.00151825	0.492882	0.238515	0.0555656	0.0352954	0.0299547	0.0117436	0.0102278	0.00316115	0.00950951	0.0101946	0.0189429	0.0149997	0.0121092	0.00453367	0.0175844
d	0.0296238	0.00115368	0.376707	0.206335	0.0256689	0.0190798	0.0248843	0.0381202	0.033809	0.0327057	0.0139076	0.0103727	0.00917681	0.0203156	0.0392666	0.0160456	0.102827
í	0.0467504	0.0037004	0.151635	0.40311	0.033746	0.0588229	0.026782	0.0364302	0.0457375	0.0030249	0.00381835	0.0129733	0.00472717	0.014075	0.0267323	0.00666303	0.121272
l	0.0589454	0.000635997	0.142624	0.256152	0.142193	0.0746975	0.0630861	0.0271277	0.0287447	0.00585521	0.021052	0.0199379	0.0131413	0.0238249	0.0215465	0.00874623	0.0916893
a	0.0027514	7.27338e-05	0.0694031	0.220936	0.0961723	0.0943625	0.0586776	0.0380198	0.0206972	0.00916582	0.0264589	0.0203856	0.0258475	0.0282566	0.0405808	0.0126073	0.235605
t	0.012882	0.000195837	0.0435092	0.224616	0.299336	0.174957	0.0670784	0.0228185	0.0127885	0.0157268	0.0102084	0.0176695	0.0155463	0.0261437	0.0126796	0.0166445	0.0271998
