 	prend	cette	corde	et	attache	le	cabri	à	ce	poteau	</S>
k	0.608727	0.242079	0.0990066	0.0299699	0.00745799	0.00895923	0.00103424	0.00145978	0.00081247	0.000333792	0.000159527
o	0.898474	0.0489796	0.0315951	0.010543	0.0049712	0.00161625	0.000484894	0.000838122	0.000482905	0.00147278	0.000542135
b	0.3594	0.187572	0.191687	0.102174	0.0850197	0.0308538	0.00157351	0.00863126	0.00736806	0.0034415	0.0222804
h	0.510832	0.0897832	0.214437	0.0528852	0.0361712	0.0196356	0.000778834	0.0224967	0.0128854	0.00943296	0.030662
á	0.255838	0.358952	0.187779	0.044798	0.0295556	0.0307176	0.0181543	0.0165407	0.0103078	0.0103537	0.0370035
s	0.075022	0.298883	0.424686	0.130138	0.0174176	0.0167784	0.00252955	0.00735157	0.00630827	0.00134474	0.0195419
i	0.0110031	0.240168	0.575308	0.0696599	0.0538371	0.0134403	0.0045237	0.00302254	0.00597853	0.00366254	0.019396
n	0.0131387	0.120019	0.614772	0.126349	0.0392855	0.0418033	0.0108548	0.00556275	0.00686969	0.0056811	0.0156636
g	0.00318854	0.106437	0.755222	0.0363845	0.0494612	0.0172078	0.0186114	0.00248894	0.00221196	0.00231434	0.00647186
a	0.00487366	0.057722	0.566571	0.0878621	0.178017	0.0393397	0.0381604	0.00261809	0.0016476	0.0034234	0.0197655
w	0.00704865	0.0464487	0.386864	0.250165	0.097325	0.135462	0.0121532	0.020057	0.0175401	0.002994	0.0239433
ó	0.0129014	0.0335423	0.285229	0.293211	0.160586	0.131961	0.00871137	0.034317	0.0174046	0.00261472	0.0195225
b	0.00467663	0.0131263	0.111802	0.256672	0.200582	0.182106	0.01314	0.0618661	0.0302337	0.00536309	0.120432
a	0.0179585	0.0277111	0.0654095	0.271836	0.407454	0.112648	0.0297008	0.0419137	0.00948985	0.0044562	0.0114221
á	0.00421035	0.017223	0.166223	0.23315	0.271205	0.174554	0.0247185	0.0347529	0.0206736	0.0122246	0.0410647
ó	0.00253297	0.00795445	0.0265825	0.0888639	0.366877	0.275059	0.0754748	0.0412197	0.0348932	0.0158108	0.0647321
k	0.00492697	0.0102878	0.0372681	0.0840248	0.515545	0.202024	0.0749763	0.0278248	0.0171004	0.0172547	0.00876679
ó	0.00635423	0.00294529	0.0236501	0.0670003	0.540956	0.26672	0.00470087	0.0364867	0.0148742	0.0180092	0.0183031
r	0.00248719	0.00120263	0.0541078	0.120737	0.236512	0.327763	0.0129547	0.100382	0.0423551	0.0158873	0.085612
a	0.00564415	0.00561978	0.0289705	0.0949297	0.411025	0.28943	0.0281337	0.0912425	0.0114377	0.00230975	0.0312573
m	0.00102383	0.00170484	0.0116206	0.0248821	0.0465585	0.259657	0.018383	0.433048	0.149711	0.0096403	0.0437703
b	0.000743971	0.00338587	0.000637851	0.00449468	0.0126959	0.123571	0.196477	0.323203	0.199248	0.038169	0.0973744
ó	0.000272144	0.00150323	0.000865251	0.00800214	0.042236	0.104468	0.646949	0.135765	0.0296548	0.0144677	0.0158165
s	0.00106604	0.00216761	0.00217773	0.0150433	0.0389646	0.0575619	0.32416	0.251666	0.124775	0.0423303	0.140087
i	0.00122708	0.00425452	0.0024983	0.00239605	0.0519973	0.0835269	0.187999	0.0922409	0.122879	0.171024	0.279958
m	0.000224871	0.00110684	0.00413145	0.00724491	0.0224937	0.0390352	0.00662698	0.246485	0.347254	0.0627949	0.262602
í	0.0020873	0.00933409	0.00115392	0.003072	0.00721108	0.0834909	0.0298066	0.329944	0.314967	0.066128	0.152805
b	0.00164381	0.00159395	0.0039582	0.0044849	0.0126735	0.0221752	0.0038731	0.120615	0.172951	0.489639	0.166392
v	0.00486427	0.00667701	0.008588	0.0130604	0.0180278	0.0218917	0.0119104	0.101276	0.124459	0.606713	0.0825325
ú	0.0004198	0.000731759	0.00163513	0.00468827	0.0207134	0.012598	0.00924711	0.0649747	0.100561	0.715061	0.0693703
a	0.00235358	0.00226698	0.00497283	0.00193658	0.0100534	0.0380035	0.00436843	0.0487551	0.125653	0.537999	0.223638
d	7.83927e-05	0.000255895	0.00075664	0.00181397	0.00426252	0.0102944	0.000269393	0.0495072	0.215675	0.160662	0.556424
í	0.000196562	0.000997518	0.00250963	0.00110574	0.00446856	0.00584994	0.000200455	0.00983841	0.126715	0.261323	0.586795
</S>	0.000635443	0.00157024	0.00769728	0.00172383	0.00186258	0.00629154	0.00036777	0.0198452	0.114965	0.182132	0.66291
