 	on	fabrique	le	masque	avec	le	bois	qu'	on	appelle	otombá	</S>
i	0.352638	0.198946	0.23382	0.0287583	0.0361856	0.0146089	0.0185078	0.00843791	0.00952116	0.0965474	0.00177283	0.000255795
f	0.123383	0.148409	0.123918	0.516979	0.0189889	0.0111663	0.00749249	0.0052676	0.00642289	0.0220912	0.0131246	0.00275592
i	0.0325824	0.150533	0.15687	0.483084	0.0319489	0.0333579	0.0423455	0.0144511	0.00607783	0.0332531	0.00779412	0.00770232
a	0.107791	0.387534	0.240626	0.127659	0.0164178	0.0206507	0.0226561	0.00859779	0.00792612	0.00874161	0.00563333	0.0457669
b	0.123615	0.0553452	0.534624	0.117496	0.071657	0.0264731	0.0200927	0.0088805	0.00842026	0.00204495	0.000887862	0.0304638
á	0.0506955	0.0651818	0.10421	0.109359	0.0837765	0.119027	0.171478	0.0817788	0.0974703	0.034524	0.00327259	0.0792265
a	0.0740672	0.0798155	0.180085	0.207938	0.110111	0.0924578	0.0607179	0.0307001	0.0358555	0.0182356	0.0245772	0.0854394
p	0.00951976	0.0118871	0.0323599	0.448373	0.127916	0.116351	0.129085	0.0437525	0.0192274	0.0191288	0.00551435	0.0368847
á	0.00118301	0.0226265	0.0495134	0.446311	0.0630525	0.104061	0.180574	0.0411006	0.00808867	0.0170465	0.0241802	0.0422633
á	0.00628846	0.0256194	0.0873451	0.300618	0.0643864	0.11284	0.170773	0.0471435	0.018797	0.0492399	0.0433104	0.0736382
m	0.0114911	0.00489056	0.019912	0.0150261	0.313205	0.145719	0.111556	0.177255	0.0750085	0.0791251	0.023167	0.0236448
ó	0.0086479	0.0112756	0.017416	0.00443973	0.147139	0.210876	0.0751191	0.144066	0.0918341	0.0259385	0.072835	0.190413
o	0.00690682	0.00733759	0.0106123	0.0124515	0.078002	0.0881435	0.110078	0.132726	0.0353706	0.128078	0.366944	0.0233493
t	0.000808017	0.00205809	0.00316739	0.0213742	0.0270183	0.0397313	0.0949476	0.257539	0.118468	0.196553	0.205511	0.0328236
ó	0.000323234	0.00335382	0.00537877	0.0201237	0.0136302	0.045784	0.143933	0.114413	0.0221888	0.122205	0.4809	0.0277665
m	0.000149519	0.00160919	0.00471908	0.0140053	0.0183764	0.0446971	0.13437	0.158967	0.068182	0.129732	0.345993	0.0791995
b	0.000654034	0.00153602	0.00375435	0.0039227	0.0302281	0.0687316	0.101906	0.260927	0.132601	0.174222	0.0818628	0.139655
á	0.0057122	0.00698043	0.00671889	0.0038005	0.0348512	0.122391	0.128563	0.204673	0.207993	0.103075	0.0319882	0.143255
</S>	0.00214431	0.00192217	0.00542111	0.00185908	0.0186818	0.0150144	0.0148181	0.0898621	0.172104	0.0705305	0.254087	0.353555
