 	mon	enfant	vient	de	mourir	</S>
m	0.460569	0.529261	0.00681151	0.00207881	0.00110131	0.000178129
w	0.00198	0.988509	0.00729824	0.000785892	0.000409691	0.00101759
á	0.00122548	0.998347	0.00030507	6.08248e-05	5.04442e-05	1.14383e-05
n	0.20772	0.790753	0.000475202	9.67387e-05	0.000153933	0.000801026
a	0.20525	0.445048	0.113818	0.00938859	0.00885112	0.217645
y	0.690786	0.0637464	0.0811653	0.137315	0.00648793	0.0204995
a	0.526184	0.0339376	0.293969	0.0602419	0.0371596	0.0485085
n	0.8922	0.0475256	0.0413682	0.00751813	0.00195306	0.00943458
g	0.899575	0.0233078	0.028825	0.0150371	0.00443931	0.0288162
á	0.205104	0.246575	0.179445	0.105308	0.0376321	0.225935
á	0.0542485	0.0144732	0.497614	0.339248	0.0586642	0.0357521
m	0.00450422	0.00184165	0.385832	0.387233	0.146994	0.0735947
i	0.00193581	0.00177274	0.183891	0.509517	0.191161	0.111722
w	0.00132714	0.000614459	0.129808	0.391619	0.381173	0.0954588
á	0.000251339	0.000225544	0.0435118	0.201876	0.67157	0.082565
a	0.00372974	0.00230228	0.170554	0.170858	0.330881	0.321675
</S>	0.000943051	0.00220219	0.0459677	0.299687	0.330331	0.320869
