 	j'	ai	attrapé	la	mante	religieuse	lorsque	je	revenais	de	la	pêche	</S>
n	0.832997	0.115436	0.00630396	0.0265273	0.0140512	0.00146625	0.00161609	0.000726776	0.000254978	0.000120796	0.000420866	6.22579e-05	1.68481e-05
g	0.895393	0.0847877	0.0015781	0.00490646	0.000404104	6.60154e-05	0.000850024	0.0102033	0.00119425	0.000429506	0.000142544	4.15422e-05	3.06117e-06
á	0.693937	0.287046	0.00696259	0.00162812	0.000493043	9.90125e-05	0.000526897	0.00810571	0.000940676	0.000107936	5.62963e-05	8.41595e-05	1.28901e-05
í	0.0326021	0.356777	0.137404	0.101417	0.105567	0.0236239	0.0173536	0.0117523	0.0171297	0.0123728	0.0219796	0.0109859	0.151035
p	0.0018779	0.0517321	0.875514	0.0303854	0.00765938	0.0045085	0.00350151	0.013395	0.00330184	0.00127593	0.00105752	0.00170238	0.00408889
i	3.1016e-05	0.00224812	0.875649	0.0289415	0.032494	0.0521081	0.00243523	0.000734749	0.000660632	0.000754799	0.000209617	0.00121185	0.00252159
i	7.20707e-05	0.0167857	0.793142	0.119177	0.0261689	0.0411128	0.0016088	0.000423973	0.000591633	0.000312447	5.52653e-05	0.000124833	0.000423774
k	0.0397786	0.0466857	0.0152662	0.3747	0.149554	0.198103	0.121388	0.0146613	0.00956331	0.0081382	0.00906639	0.00316977	0.0099254
ω	3.88731e-05	0.000714915	0.0119787	0.081863	0.335356	0.478286	0.045494	0.0110509	0.0135639	0.0117225	0.00158679	0.00414943	0.00419511
ω	3.87627e-05	0.000599756	0.0035834	0.0319526	0.109192	0.752637	0.0689883	0.00525882	0.00889323	0.00621588	0.00362376	0.00300161	0.00601453
n	9.62887e-05	0.000976511	0.00230296	0.0885588	0.101596	0.225745	0.430443	0.0361551	0.0563005	0.0219011	0.0138629	0.00169095	0.0203705
y	0.00040412	0.00634264	0.000922374	0.0610962	0.0752718	0.0908518	0.265612	0.308529	0.111067	0.0226276	0.01572	0.00140089	0.0401549
i	0.000141935	0.00107164	0.00119755	0.0243895	0.0427449	0.223204	0.420099	0.115826	0.101333	0.0484054	0.00796429	0.000323031	0.0133001
é	8.29409e-06	0.000601196	0.001513	0.0191759	0.0343722	0.411982	0.385927	0.0315999	0.0444539	0.0386674	0.00916831	0.00558789	0.0169425
w	4.04835e-05	0.00202155	0.00422905	0.0126395	0.00494747	0.0304866	0.250009	0.335518	0.24951	0.0503106	0.0192873	0.00508004	0.0359212
ú	0.00049882	0.00192586	0.00324204	0.0129935	0.0199576	0.07226	0.190196	0.0721095	0.159436	0.292806	0.0485459	0.0296363	0.0963929
r	3.91929e-05	7.41079e-05	0.00013526	0.00322283	0.0029953	0.0925898	0.226491	0.0794151	0.277408	0.205992	0.0574565	0.0258385	0.028343
ú	0.000569735	0.000215435	0.000284581	0.0059155	0.00546288	0.0294312	0.163641	0.0252421	0.269774	0.428388	0.0579627	0.00291045	0.0102024
n	3.84054e-05	0.000543115	0.000132549	0.00235669	0.000687402	0.0131621	0.184752	0.091423	0.143064	0.234152	0.244017	0.0609416	0.024729
g	0.000195812	0.000237117	1.62877e-05	0.000510295	0.000350117	0.000414639	0.0286972	0.428419	0.335407	0.183406	0.017838	0.000792361	0.00371618
á	0.000681233	0.000580745	2.55116e-05	0.000419695	0.000337006	0.0022869	0.0564594	0.576108	0.114444	0.211739	0.0298803	0.00447157	0.0025665
i	1.48908e-05	8.40934e-05	0.000107316	0.00163451	0.00125491	0.00198961	0.0441472	0.0291932	0.110406	0.472998	0.277606	0.046129	0.0144354
l	4.53951e-06	0.000662258	0.0019262	0.0034234	0.00250761	0.00548318	0.00925719	0.014167	0.0643288	0.189782	0.21738	0.400161	0.0909178
ώ	5.70444e-06	0.000716052	0.000698951	0.00121572	0.000291002	0.00116913	0.00314139	0.0119177	0.0190764	0.0511683	0.0726357	0.785447	0.052517
b	1.06569e-06	2.00341e-05	2.29197e-05	8.09232e-05	7.06113e-05	0.0010218	0.00254255	0.00117442	0.00596427	0.035251	0.0353306	0.876982	0.0415382
h	4.95051e-05	0.000152315	0.000266143	0.0013326	0.0015888	0.00213343	0.0095963	0.0110784	0.0642995	0.529171	0.104752	0.135048	0.140532
ω	3.11853e-06	3.2386e-06	2.2947e-05	0.000608139	0.00323638	0.00194861	0.00542664	0.00132379	0.162724	0.323821	0.111371	0.250138	0.139373
</S>	9.63529e-06	1.04647e-05	9.69331e-06	0.000339445	0.000395018	0.00114345	0.00376379	0.000311376	0.0174402	0.101357	0.298071	0.111783	0.465366
