 	elle	a	déchiré	le	bas	de	son	pagne	</S>
w	0.915009	0.0460066	0.00333761	0.00875121	0.0154699	0.00772193	0.00298815	0.000543912	0.000172056
a	0.906985	0.0323513	0.00052994	0.0220322	0.0255354	0.00957768	0.00280167	0.00017355	1.32389e-05
a	0.143391	0.729602	0.0676717	0.0310341	0.00749349	0.00907731	0.0100169	4.23362e-05	0.00167159
p	0.0541139	0.445955	0.285152	0.0794124	0.0445132	0.0292272	0.0153624	0.00251554	0.0437488
a	0.0171052	0.126167	0.40539	0.263377	0.103217	0.0411923	0.00709787	0.0021764	0.034277
s	0.00619828	0.0895272	0.678457	0.141735	0.0414264	0.0156069	0.0034853	0.00454141	0.0190228
í	0.0147298	0.116656	0.586353	0.194281	0.0684229	0.0096105	0.00427066	0.000438716	0.00523742
t	0.0647092	0.111816	0.145923	0.276883	0.232141	0.0554351	0.0294495	0.0095755	0.0740686
s	0.0191159	0.0253369	0.237697	0.204518	0.396064	0.0472772	0.01148	0.0304789	0.0280323
é	0.00351546	0.00769465	0.0335253	0.160216	0.713826	0.0442057	0.00370641	0.0265493	0.00676125
y	0.00733879	0.0115079	0.0381895	0.137235	0.629006	0.0921146	0.0121661	0.0250577	0.0473839
á	0.00815389	0.0314582	0.17394	0.222055	0.400391	0.0730453	0.0199371	0.0404478	0.0305712
i	0.017142	0.00986143	0.0123493	0.0907497	0.377394	0.287763	0.154795	0.0202935	0.0296516
p	0.00292646	0.00697965	0.0173223	0.0510433	0.178215	0.339776	0.214317	0.15324	0.0361815
ú	0.000953642	0.00161998	0.00680993	0.00923899	0.0705866	0.0688624	0.0150022	0.818241	0.00868532
t	0.000282858	0.000242189	0.0076582	0.0117008	0.0506947	0.0413653	0.0108947	0.868139	0.00902242
a	0.00190493	0.000688295	0.00570841	0.00772496	0.040752	0.0125136	0.00399627	0.920415	0.00629689
l	0.000155407	0.00123583	0.00473516	0.0253899	0.0247751	0.121398	0.310434	0.218927	0.29295
á	0.00112339	0.00336769	0.0114681	0.0454965	0.0463109	0.171062	0.281469	0.157701	0.282002
w	0.0188548	0.00984142	0.00582995	0.0230893	0.0533323	0.105017	0.349023	0.259911	0.175102
a	0.0199457	0.0108824	0.0141491	0.0500526	0.133603	0.113575	0.415724	0.168679	0.0733897
</S>	0.00218853	0.00132916	0.00296416	0.0077547	0.0201023	0.0550865	0.289149	0.358602	0.262824
