 	la	tourterelle	est	prise	au	piège	</S>
e	0.850742	0.142628	0.00464997	2.86157e-05	0.00181679	0.000119082	1.60319e-05
d	0.0335984	0.958923	0.00581146	0.000983953	0.000321534	0.000250635	0.000110532
ú	0.0208691	0.976771	0.000664004	0.000470915	3.63604e-05	0.000602186	0.000586887
á	0.132656	0.846179	0.0174007	0.000561906	0.000466823	0.00104694	0.00168891
é	0.0708395	0.0188695	0.865717	0.0191237	0.00982817	0.000409886	0.0152121
m	0.0591353	0.00369803	0.545841	0.22614	0.148784	0.00626949	0.0101322
i	0.0685254	0.0120594	0.151375	0.206341	0.409663	0.0379812	0.114055
t	0.00653421	0.00663245	0.0221823	0.856153	0.0625167	0.0308626	0.0151189
u	5.74021e-05	0.00044152	0.00317748	0.938188	0.00422601	0.0442489	0.00966063
s	0.0118565	0.0128097	0.0284641	0.60796	0.10325	0.0484264	0.187233
á	0.0692361	0.0232083	0.0159246	0.382785	0.286762	0.144937	0.0771463
ó	0.00814823	0.00127933	0.0189518	0.0312045	0.336645	0.444688	0.159084
b	0.00297843	0.000821452	0.00672595	0.0476949	0.115211	0.713815	0.112754
ó	0.00174916	0.00112289	0.00432975	0.0290512	0.0440823	0.897265	0.0223992
y	0.000179592	8.04934e-05	0.0059309	0.0612691	0.0282691	0.855824	0.0484472
a	0.00177626	0.00089456	0.00776148	0.204624	0.0949288	0.559927	0.130088
</S>	0.00844008	0.000250304	0.0151018	0.00637644	0.291717	0.106004	0.57211
